unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_X2,admission,evidence,downgrade_notes,script_tier,rule_version
BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG,16,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG,17,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG,18,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG,19,主观题,,整题,MAYBE,完整题-有E1,E1,,倾向,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q20#1,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,20,主观题,1,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q20#2,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,20,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-QIZHONG-Q20#3,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,20,主观题,3,小问,MAYBE,完整题-有E1,E1,,倾向,2026-09-24-attribution-v1
BJ-2025-CY-ERMO-Q9,BJ-2025-CY-ERMO-Q9,BJ-2025-CY-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2025-CY-ERMO-Q12,BJ-2025-CY-ERMO-Q12,BJ-2025-CY-ERMO,12,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2025-CY-ERMO-Q18,BJ-2025-CY-ERMO-Q18,BJ-2025-CY-ERMO,18,主观题,,整题,MAYBE,完整题-有E1,E1,,倾向,2026-09-24-attribution-v1
BJ-2025-CY-ERMO-Q19,BJ-2025-CY-ERMO-Q19,BJ-2025-CY-ERMO,19,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2025-CY-ERMO-Q22,BJ-2025-CY-ERMO-Q22,BJ-2025-CY-ERMO,22,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q9,BJ-2023-FT-ERMO-Q9,BJ-2023-FT-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q10,BJ-2023-FT-ERMO-Q10,BJ-2023-FT-ERMO,10,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q11,BJ-2023-FT-ERMO-Q11,BJ-2023-FT-ERMO,11,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,倾向,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q12,BJ-2023-FT-ERMO-Q12,BJ-2023-FT-ERMO,12,选择题,,整题,IN,完整题-选择题照收,缺答案键,,倾向,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q13,BJ-2023-FT-ERMO-Q13,BJ-2023-FT-ERMO,13,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q16,BJ-2023-FT-ERMO-Q16,BJ-2023-FT-ERMO,16,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q17,BJ-2023-FT-ERMO-Q17,BJ-2023-FT-ERMO,17,主观题,,整题,MAYBE,不收-无E1,缺细则,,倾向,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q18#1,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO,18,主观题,1,小问,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q18#2,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO,18,主观题,2,小问,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q19,BJ-2023-FT-ERMO-Q19,BJ-2023-FT-ERMO,19,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q20,BJ-2023-FT-ERMO-Q20,BJ-2023-FT-ERMO,20,主观题,,整题,MAYBE,不收-无E1,缺细则,,倾向,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO,21,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-FT-ERMO-Q22,BJ-2023-FT-ERMO-Q22,BJ-2023-FT-ERMO,22,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q6,BJ-2020-BJ-GAOKAO-Q6,BJ-2020-BJ-GAOKAO,6,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q7,BJ-2020-BJ-GAOKAO-Q7,BJ-2020-BJ-GAOKAO,7,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q9,BJ-2020-BJ-GAOKAO-Q9,BJ-2020-BJ-GAOKAO,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q10,BJ-2020-BJ-GAOKAO-Q10,BJ-2020-BJ-GAOKAO,10,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q11,BJ-2020-BJ-GAOKAO-Q11,BJ-2020-BJ-GAOKAO,11,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q12,BJ-2020-BJ-GAOKAO-Q12,BJ-2020-BJ-GAOKAO,12,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q13,BJ-2020-BJ-GAOKAO-Q13,BJ-2020-BJ-GAOKAO,13,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q18,BJ-2020-BJ-GAOKAO-Q18,BJ-2020-BJ-GAOKAO,18,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q19#1,BJ-2020-BJ-GAOKAO-Q19,BJ-2020-BJ-GAOKAO,19,主观题,1,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q19#2,BJ-2020-BJ-GAOKAO-Q19,BJ-2020-BJ-GAOKAO,19,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q9,BJ-2023-CY-YIMO-Q9,BJ-2023-CY-YIMO,9,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q10,BJ-2023-CY-YIMO-Q10,BJ-2023-CY-YIMO,10,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,倾向,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q11,BJ-2023-CY-YIMO-Q11,BJ-2023-CY-YIMO,11,选择题,,整题,IN,完整题-选择题照收,缺答案键,,倾向,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q12,BJ-2023-CY-YIMO-Q12,BJ-2023-CY-YIMO,12,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q13,BJ-2023-CY-YIMO-Q13,BJ-2023-CY-YIMO,13,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q14,BJ-2023-CY-YIMO-Q14,BJ-2023-CY-YIMO,14,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q17,BJ-2023-CY-YIMO-Q17,BJ-2023-CY-YIMO,17,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q18,BJ-2023-CY-YIMO-Q18,BJ-2023-CY-YIMO,18,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q19#1,BJ-2023-CY-YIMO-Q19,BJ-2023-CY-YIMO,19,主观题,1,小问,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q19#2,BJ-2023-CY-YIMO-Q19,BJ-2023-CY-YIMO,19,主观题,2,小问,IN,不收-无E1,缺细则,,倾向,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q21,BJ-2023-CY-YIMO-Q21,BJ-2023-CY-YIMO,21,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q2,BJ-2024-CY-YIMO-Q2,BJ-2024-CY-YIMO,2,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q6,BJ-2024-CY-YIMO-Q6,BJ-2024-CY-YIMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q9,BJ-2024-CY-YIMO-Q9,BJ-2024-CY-YIMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q16,BJ-2024-CY-YIMO-Q16,BJ-2024-CY-YIMO,16,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q18#1,BJ-2024-CY-YIMO-Q18,BJ-2024-CY-YIMO,18,主观题,1,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-YIMO-Q18#2,BJ-2024-CY-YIMO-Q18,BJ-2024-CY-YIMO,18,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q9,BJ-2023-DC-ERMO-Q9,BJ-2023-DC-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q10,BJ-2023-DC-ERMO-Q10,BJ-2023-DC-ERMO,10,选择题,,整题,IN,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q11,BJ-2023-DC-ERMO-Q11,BJ-2023-DC-ERMO,11,选择题,,整题,IN,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q12,BJ-2023-DC-ERMO-Q12,BJ-2023-DC-ERMO,12,选择题,,整题,IN,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q13,BJ-2023-DC-ERMO-Q13,BJ-2023-DC-ERMO,13,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q15,BJ-2023-DC-ERMO-Q15,BJ-2023-DC-ERMO,15,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO,16,主观题,,整题,MAYBE,完整题-有E1,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO,17,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q18#1,BJ-2023-DC-ERMO-Q18,BJ-2023-DC-ERMO,18,主观题,1,小问,MAYBE,完整题-有E1,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q18#2,BJ-2023-DC-ERMO-Q18,BJ-2023-DC-ERMO,18,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q19#1,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO,19,主观题,1,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q19#2,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO,19,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q19#3,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO,19,主观题,3,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO,20,主观题,,整题,MAYBE,完整题-有E1,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-DC-ERMO-Q21,BJ-2023-DC-ERMO-Q21,BJ-2023-DC-ERMO,21,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-BJ-GAOKAO-Q9,BJ-2023-BJ-GAOKAO-Q9,BJ-2023-BJ-GAOKAO,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2023-BJ-GAOKAO-Q12,BJ-2023-BJ-GAOKAO-Q12,BJ-2023-BJ-GAOKAO,12,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-BJ-GAOKAO-Q13,BJ-2023-BJ-GAOKAO-Q13,BJ-2023-BJ-GAOKAO,13,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2023-BJ-GAOKAO-Q14,BJ-2023-BJ-GAOKAO-Q14,BJ-2023-BJ-GAOKAO,14,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-ERMO-Q9,BJ-2024-CY-ERMO-Q9,BJ-2024-CY-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-ERMO-Q10,BJ-2024-CY-ERMO-Q10,BJ-2024-CY-ERMO,10,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2024-CY-ERMO-Q16#1,BJ-2024-CY-ERMO-Q16,BJ-2024-CY-ERMO,16,主观题,1,小问,MAYBE,完整题-有E1,E1,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v1
BJ-2024-CY-ERMO-Q16#2,BJ-2024-CY-ERMO-Q16,BJ-2024-CY-ERMO,16,主观题,2,小问,MAYBE,完整题-有E1,E1,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v1
BJ-2024-CY-ERMO-Q18,BJ-2024-CY-ERMO-Q18,BJ-2024-CY-ERMO,18,主观题,,整题,MAYBE,完整题-有E1,E1,B1:rubric_unreadable_not_OUT;B2:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v1
BJ-2024-CY-ERMO-Q19#1,BJ-2024-CY-ERMO-Q19,BJ-2024-CY-ERMO,19,主观题,1,小问,MAYBE,完整题-有E1,E1,B1:rubric_unreadable_not_OUT;B2:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v1
BJ-2024-CY-ERMO-Q19#2,BJ-2024-CY-ERMO-Q19,BJ-2024-CY-ERMO,19,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-ERMO-Q19#3,BJ-2024-CY-ERMO-Q19,BJ-2024-CY-ERMO,19,主观题,3,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2024-CY-ERMO-Q20,BJ-2024-CY-ERMO-Q20,BJ-2024-CY-ERMO,20,主观题,,整题,MAYBE,完整题-有E1,E1,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v1
BJ-2022-BJ-GAOKAO-Q9,BJ-2022-BJ-GAOKAO-Q9,BJ-2022-BJ-GAOKAO,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2022-BJ-GAOKAO-Q10,BJ-2022-BJ-GAOKAO-Q10,BJ-2022-BJ-GAOKAO,10,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2022-BJ-GAOKAO-Q11,BJ-2022-BJ-GAOKAO-Q11,BJ-2022-BJ-GAOKAO,11,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2022-BJ-GAOKAO-Q12,BJ-2022-BJ-GAOKAO-Q12,BJ-2022-BJ-GAOKAO,12,选择题,,整题,IN,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2022-BJ-GAOKAO-Q18#1,BJ-2022-BJ-GAOKAO-Q18,BJ-2022-BJ-GAOKAO,18,主观题,1,小问,MAYBE,完整题-有E1,E1,,倾向,2026-09-24-attribution-v1
BJ-2022-BJ-GAOKAO-Q18#2,BJ-2022-BJ-GAOKAO-Q18,BJ-2022-BJ-GAOKAO,18,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2022-BJ-GAOKAO-Q21,BJ-2022-BJ-GAOKAO-Q21,BJ-2022-BJ-GAOKAO,21,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2025-DC-ERMO-Q9,BJ-2025-DC-ERMO-Q9,BJ-2025-DC-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2025-DC-ERMO-Q16,BJ-2025-DC-ERMO-Q16,BJ-2025-DC-ERMO,16,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2025-DC-ERMO-Q17,BJ-2025-DC-ERMO-Q17,BJ-2025-DC-ERMO,17,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2025-DC-ERMO-Q18#1,BJ-2025-DC-ERMO-Q18,BJ-2025-DC-ERMO,18,主观题,1,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2025-DC-ERMO-Q18#2,BJ-2025-DC-ERMO-Q18,BJ-2025-DC-ERMO,18,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2025-DC-ERMO-Q21,BJ-2025-DC-ERMO-Q21,BJ-2025-DC-ERMO,21,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q3,BJ-2023-CY-ERMO-Q3,BJ-2023-CY-ERMO,3,选择题,,整题,IN,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q4,BJ-2023-CY-ERMO-Q4,BJ-2023-CY-ERMO,4,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q9,BJ-2023-CY-ERMO-Q9,BJ-2023-CY-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q10,BJ-2023-CY-ERMO-Q10,BJ-2023-CY-ERMO,10,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,倾向,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q11,BJ-2023-CY-ERMO-Q11,BJ-2023-CY-ERMO,11,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,倾向,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q12,BJ-2023-CY-ERMO-Q12,BJ-2023-CY-ERMO,12,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q13,BJ-2023-CY-ERMO-Q13,BJ-2023-CY-ERMO,13,选择题,,整题,IN,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q14,BJ-2023-CY-ERMO-Q14,BJ-2023-CY-ERMO,14,选择题,,整题,IN,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q16#1,BJ-2023-CY-ERMO-Q16,BJ-2023-CY-ERMO,16,主观题,1,小问,MAYBE,不收-无E1,缺细则,,倾向,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q16#2,BJ-2023-CY-ERMO-Q16,BJ-2023-CY-ERMO,16,主观题,2,小问,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-CY-ERMO-Q17,BJ-2023-CY-ERMO-Q17,BJ-2023-CY-ERMO,17,主观题,,整题,MAYBE,不收-无E1,缺细则,,倾向,2026-09-24-attribution-v1
