unit_id,qid,canonical_qid,exam_id_canonical,num,type,subq,grain,归属_B3,admission,evidence,evidence_detail,script_tier,rule_version
BJ-2024-FT-YIMO-Q20,BJ-2024-FT-YIMO-Q20,BJ-2024-FT-YIMO-Q20,BJ-2024-FT-YIMO,20,主观题,,整题,OUT,完整题-有E1,E1,具名核实-Skill闭环记录（rubric_links.csv该题只有'存在候选'的正式评分材料候选行，未确认匹配；book-xuanbi-1.md独立核验已闭环，按Skill结论收） | book-xuanbi-1.md:307 本轮主观E1新闭环7题：2024丰台一模Q20、房山一模Q18(2)、西城二模Q17…,倾向,2026-09-24-attribution-v3
BJ-2024-FT-YIMO-Q21,BJ-2024-FT-YIMO-Q21,BJ-2024-FT-YIMO-Q21,BJ-2024-FT-YIMO,21,主观题,,整题,OUT,不收-无E1,缺细则-已核实,覆盖rubric_links.csv：该题正式评分材料候选行同为'存在候选'未确认匹配，book-xuanbi-1.md多轮核验确认只有整体等级表/等级条件，没有固定分点，最多E3。 | book-xuanbi-1.md:400 2024丰台一模Q21的正式载体只有整篇等级7—8／4—6／2—3／0—1; book-xuanbi-1.md:418 2024丰台一模Q21只有E3参考方向与同题0—8分等级条件，没有固定分点／角度槽; book-xuanbi-1.md:419 丰台一模Q21固定分点数0，继续未闭环,不明,2026-09-24-attribution-v3
BJ-2024-FT-ERMO-Q17,BJ-2024-FT-ERMO-Q17,BJ-2024-FT-ERMO-Q17,BJ-2024-FT-ERMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2024-FT-ERMO-Q19,BJ-2024-FT-ERMO-Q19,BJ-2024-FT-ERMO-Q19,BJ-2024-FT-ERMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2024-FT-ERMO-Q20,BJ-2024-FT-ERMO-Q20,BJ-2024-FT-ERMO-Q20,BJ-2024-FT-ERMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,确定,2026-09-24-attribution-v3
BJ-2024-HD-ERMO-Q20,BJ-2024-HD-ERMO-Q20,BJ-2024-HD-ERMO-Q20,BJ-2024-HD-ERMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,确定,2026-09-24-attribution-v3
BJ-2024-HD-ERMO-Q16,BJ-2024-HD-ERMO-Q16,BJ-2024-HD-ERMO-Q16,BJ-2024-HD-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2024-SJS-YIMO-Q17,BJ-2024-SJS-YIMO-Q17,BJ-2024-SJS-YIMO-Q17,BJ-2024-SJS-YIMO,17,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2024-SJS-YIMO-Q19#1,BJ-2024-SJS-YIMO-Q19,BJ-2024-SJS-YIMO-Q19,BJ-2024-SJS-YIMO,19,主观题,1,小问,OUT,收-具名例外,具名例外,具名例外:item_level_no_rubric，只覆盖Q19(1)，不扩张到同卷其他题目 | project-constitution.md:13 special_override：2026-08-27 用户明确特批 2024 石景山一模第19题第（1）问为题级无正式细则例外; project-constitution.md:50 用户于2026-08-27又明确特批必修二2024石景山一模第19题第（1）问为题级例外；该特批只覆盖这一小问，不扩张到同卷其他题目,不明,2026-09-24-attribution-v3
BJ-2024-SJS-YIMO-Q19#2,BJ-2024-SJS-YIMO-Q19,BJ-2024-SJS-YIMO-Q19,BJ-2024-SJS-YIMO,19,主观题,2,小问,OUT,不收-无E1,缺细则-已核实,该小问不在project-constitution:13/50给Q19(1)的题级例外范围内，且book-xuanbi-1.md独立核验确认Q19(2)只有重复参考答案，最多E3，不落入'待裁决'而是确认负例。 | book-xuanbi-1.md:400 2024石景山一模Q19（2）只有重复参考答案; book-xuanbi-1.md:418 2024石景山一模Q19（2）只有E3参考答案,不明,2026-09-24-attribution-v3
BJ-2024-SJS-YIMO-Q19#3,BJ-2024-SJS-YIMO-Q19,BJ-2024-SJS-YIMO-Q19,BJ-2024-SJS-YIMO,19,主观题,3,小问,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v3
BJ-2024-XC-YIMO-Q17,BJ-2024-XC-YIMO-Q17,BJ-2024-XC-YIMO-Q17,BJ-2024-XC-YIMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2024-XC-ERMO-Q19,BJ-2024-XC-ERMO-Q19,BJ-2024-XC-ERMO-Q19,BJ-2024-XC-ERMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-DC-YIMO-Q16,BJ-2025-DC-YIMO-Q16,BJ-2025-DC-YIMO-Q16,BJ-2025-DC-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-DC-YIMO-Q20,BJ-2025-DC-YIMO-Q20,BJ-2025-DC-YIMO-Q20,BJ-2025-DC-YIMO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-YQ-YIMO-Q16,BJ-2025-YQ-YIMO-Q16,BJ-2025-YQ-YIMO-Q16,BJ-2025-YQ-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-FS-YIMO-Q16#1,BJ-2025-FS-YIMO-Q16,BJ-2025-FS-YIMO-Q16,BJ-2025-FS-YIMO,16,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-FS-YIMO-Q16#3,BJ-2025-FS-YIMO-Q16,BJ-2025-FS-YIMO-Q16,BJ-2025-FS-YIMO,16,主观题,3,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-SJS-YIMO-Q20,BJ-2025-SJS-YIMO-Q20,BJ-2025-SJS-YIMO-Q20,BJ-2025-SJS-YIMO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v3
BJ-2025-XC-YIMO-Q16,BJ-2025-XC-YIMO-Q16,BJ-2025-XC-YIMO-Q16,BJ-2025-XC-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-XC-YIMO-Q17,BJ-2025-XC-YIMO-Q17,BJ-2025-XC-YIMO-Q17,BJ-2025-XC-YIMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-XC-YIMO-Q18,BJ-2025-XC-YIMO-Q18,BJ-2025-XC-YIMO-Q18,BJ-2025-XC-YIMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-FT-ERMO-Q16#1,BJ-2025-FT-ERMO-Q16,BJ-2025-FT-ERMO-Q16,BJ-2025-FT-ERMO,16,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-FT-ERMO-Q18,BJ-2025-FT-ERMO-Q18,BJ-2025-FT-ERMO-Q18,BJ-2025-FT-ERMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-CP-ERMO-Q16,BJ-2025-CP-ERMO-Q16,BJ-2025-CP-ERMO-Q16,BJ-2025-CP-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CP-ERMO-Q19,BJ-2025-CP-ERMO-Q19,BJ-2025-CP-ERMO-Q19,BJ-2025-CP-ERMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CP-ERMO-Q21,BJ-2025-CP-ERMO-Q21,BJ-2025-CP-ERMO-Q21,BJ-2025-CP-ERMO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-HD-ERMO-Q20,BJ-2025-HD-ERMO-Q20,BJ-2025-HD-ERMO-Q20,BJ-2025-HD-ERMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v3
BJ-2025-HD-ERMO-Q16,BJ-2025-HD-ERMO-Q16,BJ-2025-HD-ERMO-Q16,BJ-2025-HD-ERMO,16,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2025-XC-ERMO-Q16#1,BJ-2025-XC-ERMO-Q16,BJ-2025-XC-ERMO-Q16,BJ-2025-XC-ERMO,16,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-XC-ERMO-Q16#2,BJ-2025-XC-ERMO-Q16,BJ-2025-XC-ERMO-Q16,BJ-2025-XC-ERMO,16,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2025-XC-ERMO-Q18,BJ-2025-XC-ERMO-Q18,BJ-2025-XC-ERMO-Q18,BJ-2025-XC-ERMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v3
BJ-2025-XC-ERMO-Q19#1,BJ-2025-XC-ERMO-Q19,BJ-2025-XC-ERMO-Q19,BJ-2025-XC-ERMO,19,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-XC-ERMO-Q19#2,BJ-2025-XC-ERMO-Q19,BJ-2025-XC-ERMO-Q19,BJ-2025-XC-ERMO,19,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-DC-QIMO-Q16,BJ-2025-DC-QIMO-Q16,BJ-2025-DC-QIMO-Q16,BJ-2025-DC-QIMO,16,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2025-DC-QIMO-Q20,BJ-2025-DC-QIMO-Q20,BJ-2025-DC-QIMO-Q20,BJ-2025-DC-QIMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2025-CY-QIMO-Q20,BJ-2025-CY-QIMO-Q20,BJ-2025-CY-QIMO-Q20,BJ-2025-CY-QIMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2025-HD-QIZHONG-Q6,BJ-2025-HD-QIZHONG-Q6,BJ-2024-HD-QIZHONG-Q6,BJ-2024-HD-QIZHONG,6,选择题,,整题,OUT,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v3
BJ-2025-HD-QIMO-Q16,BJ-2025-HD-QIMO-Q16,BJ-2025-HD-QIMO-Q16,BJ-2025-HD-QIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-HD-QIMO-Q14,BJ-2025-HD-QIMO-Q14,BJ-2025-HD-QIMO-Q14,BJ-2025-HD-QIMO,14,选择题,,整题,OUT,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v3
BJ-2025-XC-QIMO-Q17#1,BJ-2025-XC-QIMO-Q17,BJ-2025-XC-QIMO-Q17,BJ-2025-XC-QIMO,17,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-XC-QIMO-Q20#1,BJ-2025-XC-QIMO-Q20,BJ-2025-XC-QIMO-Q20,BJ-2025-XC-QIMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-XC-QIMO-Q20#2,BJ-2025-XC-QIMO-Q20,BJ-2025-XC-QIMO-Q20,BJ-2025-XC-QIMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2026-DC-YIMO-Q16,BJ-2026-DC-YIMO-Q16,BJ-2026-DC-YIMO-Q16,BJ-2026-DC-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2026-CY-YIMO-Q16,BJ-2026-CY-YIMO-Q16,BJ-2026-CY-YIMO-Q16,BJ-2026-CY-YIMO,16,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2026-MTG-YIMO-Q16,BJ-2026-MTG-YIMO-Q16,BJ-2026-MTG-YIMO-Q16,BJ-2026-MTG-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2026-MTG-YIMO-Q20,BJ-2026-MTG-YIMO-Q20,BJ-2026-MTG-YIMO-Q20,BJ-2026-MTG-YIMO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2026-DC-ERMO-Q16,BJ-2026-DC-ERMO-Q16,BJ-2026-DC-ERMO-Q16,BJ-2026-DC-ERMO,16,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2026-DC-ERMO-Q20#1,BJ-2026-DC-ERMO-Q20,BJ-2026-DC-ERMO-Q20,BJ-2026-DC-ERMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
