unit_id,qid,canonical_qid,exam_id_canonical,num,type,subq,grain,归属_CU,admission,evidence,evidence_detail,script_tier,rule_version
BJ-2024-CY-QIZHONG-Q20#1,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q20#2,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2024-CY-QIZHONG-Q20#3,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,20,主观题,3,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q8,BJ-2025-CY-ERMO-Q8,BJ-2025-CY-ERMO-Q8,BJ-2025-CY-ERMO,8,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q10,BJ-2025-CY-ERMO-Q10,BJ-2025-CY-ERMO-Q10,BJ-2025-CY-ERMO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q11,BJ-2025-CY-ERMO-Q11,BJ-2025-CY-ERMO-Q11,BJ-2025-CY-ERMO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q12,BJ-2025-CY-ERMO-Q12,BJ-2025-CY-ERMO-Q12,BJ-2025-CY-ERMO,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q13,BJ-2025-CY-ERMO-Q13,BJ-2025-CY-ERMO-Q13,BJ-2025-CY-ERMO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q14,BJ-2025-CY-ERMO-Q14,BJ-2025-CY-ERMO-Q14,BJ-2025-CY-ERMO,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q17,BJ-2025-CY-ERMO-Q17,BJ-2025-CY-ERMO-Q17,BJ-2025-CY-ERMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q18,BJ-2025-CY-ERMO-Q18,BJ-2025-CY-ERMO-Q18,BJ-2025-CY-ERMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q20#1,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-CY-ERMO-Q20#2,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO-Q20,BJ-2025-CY-ERMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q8,BJ-2023-FT-ERMO-Q8,BJ-2023-FT-ERMO-Q8,BJ-2023-FT-ERMO,8,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q11,BJ-2023-FT-ERMO-Q11,BJ-2023-FT-ERMO-Q11,BJ-2023-FT-ERMO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q12,BJ-2023-FT-ERMO-Q12,BJ-2023-FT-ERMO-Q12,BJ-2023-FT-ERMO,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q13,BJ-2023-FT-ERMO-Q13,BJ-2023-FT-ERMO-Q13,BJ-2023-FT-ERMO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q17,BJ-2023-FT-ERMO-Q17,BJ-2023-FT-ERMO-Q17,BJ-2023-FT-ERMO,17,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q18#2,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO,18,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q20,BJ-2023-FT-ERMO-Q20,BJ-2023-FT-ERMO-Q20,BJ-2023-FT-ERMO,20,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-FT-ERMO-Q22,BJ-2023-FT-ERMO-Q22,BJ-2023-FT-ERMO-Q22,BJ-2023-FT-ERMO,22,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q10,BJ-2020-BJ-GAOKAO-Q10,BJ-2020-BJ-GAOKAO-Q10,BJ-2020-BJ-GAOKAO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q11,BJ-2020-BJ-GAOKAO-Q11,BJ-2020-BJ-GAOKAO-Q11,BJ-2020-BJ-GAOKAO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q12,BJ-2020-BJ-GAOKAO-Q12,BJ-2020-BJ-GAOKAO-Q12,BJ-2020-BJ-GAOKAO,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q13,BJ-2020-BJ-GAOKAO-Q13,BJ-2020-BJ-GAOKAO-Q13,BJ-2020-BJ-GAOKAO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q14,BJ-2020-BJ-GAOKAO-Q14,BJ-2020-BJ-GAOKAO-Q14,BJ-2020-BJ-GAOKAO,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q15,BJ-2020-BJ-GAOKAO-Q15,BJ-2020-BJ-GAOKAO-Q15,BJ-2020-BJ-GAOKAO,15,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q17#1,BJ-2020-BJ-GAOKAO-Q17,BJ-2020-BJ-GAOKAO-Q17,BJ-2020-BJ-GAOKAO,17,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q18,BJ-2020-BJ-GAOKAO-Q18,BJ-2020-BJ-GAOKAO-Q18,BJ-2020-BJ-GAOKAO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q19#1,BJ-2020-BJ-GAOKAO-Q19,BJ-2020-BJ-GAOKAO-Q19,BJ-2020-BJ-GAOKAO,19,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q19#2,BJ-2020-BJ-GAOKAO-Q19,BJ-2020-BJ-GAOKAO-Q19,BJ-2020-BJ-GAOKAO,19,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
BJ-2020-BJ-GAOKAO-Q20,BJ-2020-BJ-GAOKAO-Q20,BJ-2020-BJ-GAOKAO-Q20,BJ-2020-BJ-GAOKAO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-CY-YIMO-Q8,BJ-2023-CY-YIMO-Q8,BJ-2023-CY-YIMO-Q8,BJ-2023-CY-YIMO,8,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-CY-YIMO-Q10,BJ-2023-CY-YIMO-Q10,BJ-2023-CY-YIMO-Q10,BJ-2023-CY-YIMO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-CY-YIMO-Q11,BJ-2023-CY-YIMO-Q11,BJ-2023-CY-YIMO-Q11,BJ-2023-CY-YIMO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-CY-YIMO-Q12,BJ-2023-CY-YIMO-Q12,BJ-2023-CY-YIMO-Q12,BJ-2023-CY-YIMO,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-CY-YIMO-Q13,BJ-2023-CY-YIMO-Q13,BJ-2023-CY-YIMO-Q13,BJ-2023-CY-YIMO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-CY-YIMO-Q14,BJ-2023-CY-YIMO-Q14,BJ-2023-CY-YIMO-Q14,BJ-2023-CY-YIMO,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-CY-YIMO-Q19#2,BJ-2023-CY-YIMO-Q19,BJ-2023-CY-YIMO-Q19,BJ-2023-CY-YIMO,19,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-CY-YIMO-Q20#1,BJ-2023-CY-YIMO-Q20,BJ-2023-CY-YIMO-Q20,BJ-2023-CY-YIMO,20,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-CY-YIMO-Q20#2,BJ-2023-CY-YIMO-Q20,BJ-2023-CY-YIMO-Q20,BJ-2023-CY-YIMO,20,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q8,BJ-2024-CY-YIMO-Q8,BJ-2024-CY-YIMO-Q8,BJ-2024-CY-YIMO,8,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q10,BJ-2024-CY-YIMO-Q10,BJ-2024-CY-YIMO-Q10,BJ-2024-CY-YIMO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q11,BJ-2024-CY-YIMO-Q11,BJ-2024-CY-YIMO-Q11,BJ-2024-CY-YIMO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q12,BJ-2024-CY-YIMO-Q12,BJ-2024-CY-YIMO-Q12,BJ-2024-CY-YIMO,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q13,BJ-2024-CY-YIMO-Q13,BJ-2024-CY-YIMO-Q13,BJ-2024-CY-YIMO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q14,BJ-2024-CY-YIMO-Q14,BJ-2024-CY-YIMO-Q14,BJ-2024-CY-YIMO,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q17,BJ-2024-CY-YIMO-Q17,BJ-2024-CY-YIMO-Q17,BJ-2024-CY-YIMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q20#1,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q20#2,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO-Q20,BJ-2024-CY-YIMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v3
BJ-2024-CY-YIMO-Q21,BJ-2024-CY-YIMO-Q21,BJ-2024-CY-YIMO-Q21,BJ-2024-CY-YIMO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q8,BJ-2023-DC-ERMO-Q8,BJ-2023-DC-ERMO-Q8,BJ-2023-DC-ERMO,8,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q10,BJ-2023-DC-ERMO-Q10,BJ-2023-DC-ERMO-Q10,BJ-2023-DC-ERMO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q11,BJ-2023-DC-ERMO-Q11,BJ-2023-DC-ERMO-Q11,BJ-2023-DC-ERMO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q12,BJ-2023-DC-ERMO-Q12,BJ-2023-DC-ERMO-Q12,BJ-2023-DC-ERMO,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q13,BJ-2023-DC-ERMO-Q13,BJ-2023-DC-ERMO-Q13,BJ-2023-DC-ERMO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q14,BJ-2023-DC-ERMO-Q14,BJ-2023-DC-ERMO-Q14,BJ-2023-DC-ERMO,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO,17,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q18#1,BJ-2023-DC-ERMO-Q18,BJ-2023-DC-ERMO-Q18,BJ-2023-DC-ERMO,18,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q19#1,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO,19,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q19#2,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO,19,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q19#3,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO,19,主观题,3,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO,20,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q10,BJ-2023-BJ-GAOKAO-Q10,BJ-2023-BJ-GAOKAO-Q10,BJ-2023-BJ-GAOKAO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q11,BJ-2023-BJ-GAOKAO-Q11,BJ-2023-BJ-GAOKAO-Q11,BJ-2023-BJ-GAOKAO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q12,BJ-2023-BJ-GAOKAO-Q12,BJ-2023-BJ-GAOKAO-Q12,BJ-2023-BJ-GAOKAO,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q13,BJ-2023-BJ-GAOKAO-Q13,BJ-2023-BJ-GAOKAO-Q13,BJ-2023-BJ-GAOKAO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q14,BJ-2023-BJ-GAOKAO-Q14,BJ-2023-BJ-GAOKAO-Q14,BJ-2023-BJ-GAOKAO,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q15,BJ-2023-BJ-GAOKAO-Q15,BJ-2023-BJ-GAOKAO-Q15,BJ-2023-BJ-GAOKAO,15,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q19#1,BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO,19,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2023-BJ-GAOKAO-Q19#2,BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO,19,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2024-CY-ERMO-Q8,BJ-2024-CY-ERMO-Q8,BJ-2024-CY-ERMO-Q8,BJ-2024-CY-ERMO,8,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2024-CY-ERMO-Q10,BJ-2024-CY-ERMO-Q10,BJ-2024-CY-ERMO-Q10,BJ-2024-CY-ERMO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2024-CY-ERMO-Q11,BJ-2024-CY-ERMO-Q11,BJ-2024-CY-ERMO-Q11,BJ-2024-CY-ERMO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2024-CY-ERMO-Q12,BJ-2024-CY-ERMO-Q12,BJ-2024-CY-ERMO-Q12,BJ-2024-CY-ERMO,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-CY-ERMO-Q13,BJ-2024-CY-ERMO-Q13,BJ-2024-CY-ERMO-Q13,BJ-2024-CY-ERMO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2024-CY-ERMO-Q14,BJ-2024-CY-ERMO-Q14,BJ-2024-CY-ERMO-Q14,BJ-2024-CY-ERMO,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2022-BJ-GAOKAO-Q10,BJ-2022-BJ-GAOKAO-Q10,BJ-2022-BJ-GAOKAO-Q10,BJ-2022-BJ-GAOKAO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2022-BJ-GAOKAO-Q11,BJ-2022-BJ-GAOKAO-Q11,BJ-2022-BJ-GAOKAO-Q11,BJ-2022-BJ-GAOKAO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2022-BJ-GAOKAO-Q13,BJ-2022-BJ-GAOKAO-Q13,BJ-2022-BJ-GAOKAO-Q13,BJ-2022-BJ-GAOKAO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2022-BJ-GAOKAO-Q14,BJ-2022-BJ-GAOKAO-Q14,BJ-2022-BJ-GAOKAO-Q14,BJ-2022-BJ-GAOKAO,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2022-BJ-GAOKAO-Q15,BJ-2022-BJ-GAOKAO-Q15,BJ-2022-BJ-GAOKAO-Q15,BJ-2022-BJ-GAOKAO,15,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2022-BJ-GAOKAO-Q18#1,BJ-2022-BJ-GAOKAO-Q18,BJ-2022-BJ-GAOKAO-Q18,BJ-2022-BJ-GAOKAO,18,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v3
BJ-2025-DC-ERMO-Q8,BJ-2025-DC-ERMO-Q8,BJ-2025-DC-ERMO-Q8,BJ-2025-DC-ERMO,8,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2025-DC-ERMO-Q10,BJ-2025-DC-ERMO-Q10,BJ-2025-DC-ERMO-Q10,BJ-2025-DC-ERMO,10,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2025-DC-ERMO-Q11,BJ-2025-DC-ERMO-Q11,BJ-2025-DC-ERMO-Q11,BJ-2025-DC-ERMO,11,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2025-DC-ERMO-Q12,BJ-2025-DC-ERMO-Q12,BJ-2025-DC-ERMO-Q12,BJ-2025-DC-ERMO,12,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2025-DC-ERMO-Q13,BJ-2025-DC-ERMO-Q13,BJ-2025-DC-ERMO-Q13,BJ-2025-DC-ERMO,13,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2025-DC-ERMO-Q14,BJ-2025-DC-ERMO-Q14,BJ-2025-DC-ERMO-Q14,BJ-2025-DC-ERMO,14,选择题,,整题,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2025-DC-ERMO-Q17,BJ-2025-DC-ERMO-Q17,BJ-2025-DC-ERMO-Q17,BJ-2025-DC-ERMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v3
