book,uid,type,exam,exam_used_by_book,setq_tail,evidence
必修四文化,BJ-2026-CP-ERMO-Q4,选择题,BJ-2026-CP-ERMO,否（本书无此卷任何题）,条化、笔画简化，再到秦统一文字后的规范发展，如今已成为纯粹的记号字。形虽不似马，但字的精魂仍在，其演变历程折射出汉字发展的内在规律。对此理解正确的是（   ） ,词典判给本模块题肢2个；位置先验0.46
必修四文化,BJ-2026-CP-QIMO-Q1,选择题,BJ-2026-CP-QIMO,否（本书无此卷任何题）,1. 北京市昌平区整合丰富的红色资源，推出四条红色旅游主题线路，下图为其中一条线路的示意图。游客在游览中追忆峥嵘岁月、重温革命历史，其意义在于（   ） ,词典判给本模块题肢1个；位置先验0.50
必修四文化,BJ-2026-SJS-QIMO-Q18(1),主观题,BJ-2026-SJS-QIMO,是,结合材料，运用《哲学与文化》知识，阐述开展“乡村非遗漫游”的现实意义。（8分）,设问点名:《哲学与文化》
选必一,BJ-2023-FT-YIMO-Q15,选择题,BJ-2023-FT-YIMO,否（本书无此卷任何题）,岛峰会宣言》。我国在峰会中提出，二十国集团成员都是世界和地区大国，应该体现大国担当，发挥表率作用，为各国谋发展，为人类谋福祉，为世界谋进步。材料表明（   ） ,词典判给本模块题肢3个；位置先验0.80
选必一,BJ-2023-FT-YIMO-Q21,主观题,BJ-2023-FT-YIMO,否（本书无此卷任何题）,结合材料，运用《当代国际政治与经济》知识，说明“一带一路”为什么能成为深受欢迎的国际合作平台。,设问点名:《当代国际政治与经济》
选必一,BJ-2023-FT-ERMO-Q1,选择题,BJ-2023-FT-ERMO,否（本书无此卷任何题）,握住历史发展规律和大势，抓住历史变革时机，奋发有为，我们就能够更好前进。我们党正是在把握历史规律、发扬历史主动精神中不断开创伟业的。党领导人民发扬历史主动精神 ,词典判给本模块题肢2个；位置先验0.08
选必一,BJ-2023-FT-ERMO-Q14,选择题,BJ-2023-FT-ERMO,否（本书无此卷任何题）,现代化之路》的主旨讲话。他从世界政党的共同责任出发，着眼人类社会现代化进程，系统阐述了中国共产党关于探索现代化道路的认识，提出了全球文明倡议。下列选项正确的是 ,词典判给本模块题肢1个；位置先验0.69
选必一,BJ-2023-FT-ERMO-Q15,选择题,BJ-2023-FT-ERMO,否（本书无此卷任何题）,发出中国青年的声音：“倡议为青年搭建更多对话合作平台，使青年更多参与到可持续发展活动当中，与全球青年伙伴一起分享创新智慧、传递青春能量、共话绿色未来。”这说明 ,词典判给本模块题肢1个；位置先验0.82；书稿已收:B2
选必一,BJ-2023-FT-ERMO-Q18(2),主观题,BJ-2023-FT-ERMO,否（本书无此卷任何题）,结合材料，运用《当代国际政治与经济》知识，分析我国是如何坚定不移地推进高水平对外开放的。（6分）,设问点名:《当代国际政治与经济》
选必一,BJ-2023-CY-YIMO-Q15,选择题,BJ-2023-CY-YIMO,否（本书无此卷任何题）,献。我们比以往更容易“上热搜”、被围观，但我们手中的麦克风还不够多，音量还不够响，世界舞台上还有不少“麦霸”，关于中国的噪音、杂音还不少。提升中国的国际话语权 ,词典判给本模块题肢2个；位置先验0.80
选必一,BJ-2023-DC-ERMO-Q20,主观题,BJ-2023-DC-ERMO,否（本书无此卷任何题）,结合材料，运用《当代国际政治与经济》知识，谈谈中国方案什么能够得到世,设问点名:《当代国际政治与经济》
选必一,BJ-2023-BJ-GAOKAO-Q19(2),主观题,BJ-2023-BJ-GAOKAO,是,结合材料，运用《当代国际政治与经济》知识，分析北京自由贸易试验区的上述措施如何助力国 际循环。（7 分）,设问点名:《当代国际政治与经济》；细则书名:B2/X1；书稿已收:B2
选必一,BJ-2023-CY-ERMO-Q11,选择题,BJ-2023-CY-ERMO,否（本书无此卷任何题）,想作为基层理论宣讲的主线，突出群众主体地位，立足基层实际，创新基层理论宣讲的方式，加强传播手段和语言方式的创新，有力推动党的创新理论“飞入寻常百姓家”。上述举措,词典判给本模块题肢2个；位置先验0.04；书稿已收:B3
选必一,BJ-2023-CY-ERMO-Q12,选择题,BJ-2023-CY-ERMO,否（本书无此卷任何题）,区的议事会、民主恳谈会、民主听证会到党代表、人大代表、政协委员联合进社区，从线下“圆桌会”到线上“议事群”，民主参与的形式不断丰富、渠道不断拓展。全过程人民民主,词典判给本模块题肢3个；位置先验0.04；书稿已收:B3
选必一,BJ-2023-CY-ERMO-Q15,选择题,BJ-2023-CY-ERMO,否（本书无此卷任何题）, 候选与其它角色另列下方各节。 15.主权国家和国际组织在处理国际性问题上发挥着重要作用，是当今国际社会日益重要的行为体。下列表述与现实情况和学科理论相符的是 ,词典判给本模块题肢3个；位置先验0.80
选必一,BJ-2023-CY-ERMO-Q20(1),主观题,BJ-2023-CY-ERMO,否（本书无此卷任何题）,结合自己的关注与感受，运用《当代国际政治与经济》知识，完成下表。（6 分）,设问点名:《当代国际政治与经济》
选必一,BJ-2024-HD-QIZHONG-Q12,选择题,BJ-2024-HD-QIZHONG,否（本书无此卷任何题）,望。实现中国梦，保证人民安居乐业，国家安全是头等大事。越是接近实现中华民族伟大复兴的目标，越是需要增强忧患意识，努力把保障国家安全各项工作抓实抓牢抓好。这说明 ,词典判给本模块题肢3个；位置先验0.14
选必一,BJ-2024-HD-QIZHONG-Q13,选择题,BJ-2024-HD-QIZHONG,否（本书无此卷任何题）,下列说法正确的是 【图】2024年1月至7月，全国各口岸入境外国人1725.4万人次，同比增长129.9%；签发口岸签证84.6万证次，同比上升182.9%。 ,词典判给本模块题肢2个；位置先验0.07
选必一,BJ-2024-HD-QIZHONG-Q14,选择题,BJ-2024-HD-QIZHONG,否（本书无此卷任何题）,书写出中国特色大国外交的新篇章。某班学生开展时事播报活动。下列表格中，解读与时事对应恰当的是 | 序号 | 时事 | 解读 | |---|---|---| | ,词典判给本模块题肢3个；位置先验0.47；书稿已收:B2
选必一,BJ-2024-HD-QIZHONG-Q15,选择题,BJ-2024-HD-QIZHONG,否（本书无此卷任何题）,15．亚太经合组织（,词典判给本模块题肢1个；位置先验0.64；书稿已收:B2
选必一,BJ-2024-HD-QIZHONG-Q21(2),主观题,BJ-2024-HD-QIZHONG,否（本书无此卷任何题）,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。（9分）,设问点名:《当代国际政治与经济》；书稿已收:B2
选必一,BJ-2023-HD-ERMO-Q13,选择题,BJ-2023-HD-ERMO,否（本书无此卷任何题）,经济金融领域、新兴领域、周边区域合作等方面的新机制新规则，加强国际社会应对资源能源安全、粮食安全、网络信息安全等全球性挑战的能力。下列与此议题相符合的观点是。 ,词典判给本模块题肢3个；位置先验0.08；书稿已收:B2
选必一,BJ-2023-DC-YIMO-Q19,主观题,BJ-2023-DC-YIMO,否（本书无此卷任何题）,结合材料，运用《经济与社会》和《当代国际政治与经济》知识，谈谈你对“投资中国就是投资未来”的认识。,设问点名:《经济与社会》/《当代国际政治与经济》；细则书名:B2/X1；书稿已收:B2
选必一,BJ-2023-DC-YIMO-Q12,选择题,BJ-2023-DC-YIMO,否（本书无此卷任何题）,来源：；原卷 SH,词典判给本模块题肢3个；位置先验0.04
选必一,BJ-2023-HD-YIMO-Q21(2),主观题,BJ-2023-HD-YIMO,否（本书无此卷任何题）,“讲故事”是国际文明交流的有效方式之一。运用《当代国际政治与经济》知识，借助“一带一路”倡议和实践，谈谈如何讲好中国和平发展的故事。（6分）,设问点名:《当代国际政治与经济》；细则书名:X1；书稿已收:B2
选必一,BJ-2023-XC-YIMO-Q8,选择题,BJ-2023-XC-YIMO,否（本书无此卷任何题）,是联合国“全球共享太空” 倡议的重要组成部分。中国与多个国家及联合国外空司、欧洲航天局等航天机构和组织签署了合作协议，实施了形式多样的合作项目。对此评价正确的是,词典判给本模块题肢3个；位置先验0.04
选必一,BJ-2023-XC-ERMO-Q15,选择题,BJ-2023-XC-ERMO,否（本书无此卷任何题）,。 15．服务贸易日益成为对外贸易发展的新引擎、深化对外开放的新动力。 原题图表（原图 WMF，须与题面同版保留）：Q15_chart.wmf。原件路径：；SH,词典判给本模块题肢2个；位置先验0.82；书稿已收:B2
选必一,BJ-2023-HD-QIZHONG-Q14,选择题,BJ-2023-HD-QIZHONG,否（本书无此卷任何题）,内涵。10年来，“一带一路”倡议从谋篇布局的“大写意”发展为精谨细腻的“工笔画”，成为最受欢迎的国际公共产品和最大规模的国际合作平台。这是因为“一带一路”倡议 ,词典判给本模块题肢1个；位置先验0.50
选必一,BJ-2023-HD-QIZHONG-Q15,选择题,BJ-2023-HD-QIZHONG,否（本书无此卷任何题）,"员达成一致，邀请非洲联盟（非盟）成为正式成员。非盟55个成员国一直争取在全球机构中发挥有意义的作用,非盟加入二十国集团是非洲成为全球性力量的重要一步。这意味着 ",词典判给本模块题肢1个；位置先验0.67
选必一,BJ-2023-HD-QIZHONG-Q16,主观题,BJ-2023-HD-QIZHONG,否（本书无此卷任何题）,结合材料，运用《中国特色社会主义》和《当代国际政治与经济》知识，分析资本主义与社会主义的关系。,设问点名:《中国特色社会主义》/《当代国际政治与经济》
选必一,BJ-2023-HD-QIZHONG-Q23,主观题,BJ-2023-HD-QIZHONG,否（本书无此卷任何题）,结合材料，运用《当代国际政治与经济》知识，谈谈你对“中国的责任与担当”的理解。,设问点名:《当代国际政治与经济》
选必一,BJ-2024-DC-YIMO-Q15,选择题,BJ-2024-DC-YIMO,是,太平洋扇区长期观测的空白，与长城站、中山站、昆仑站、泰山站一起，构成南极观测网，为我国和全世界科学工作者持续探索自然奥秘、勇攀科学高峰提供有力保障。建设秦岭站 ,词典判给本模块题肢1个；位置先验0.80；书稿已收:CU/PH
选必一,BJ-2024-HD-YIMO-Q8,选择题,BJ-2024-HD-YIMO,是,议，及时向有关主管机关或其他有关单位发送司法建议书，变定分止争、化解矛盾为提前预防、综合治理，努力做到“抓末端，治已病；抓前端，治未病”。可见，司法建议的提出 ,词典判给本模块题肢2个；位置先验0.04；书稿已收:B3
选必一,BJ-2024-FT-YIMO-Q20,主观题,BJ-2024-FT-YIMO,是,DF S5f5486bfc3ba p6）符号/字面的客观差异，不是候选转写误差；题面仍以原卷 S4800d0b858f 为准，符号用“❖”、文字用“意向协议”。,细则书名:X1；书稿已收:B2
选必一,BJ-2024-FT-ERMO-Q2,选择题,BJ-2024-FT-ERMO,是,0后”甚至“00后”青年党员主打的宣讲团队，用小切口、身边事讲述着党的创新理论，让越来越多年轻人与新思想碰出火花、产生共鸣。让有信仰的青年来讲信仰，其意义在于 ,词典判给本模块题肢4个；位置先验0.02；书稿已收:B3/CU
选必一,BJ-2024-FT-ERMO-Q9,选择题,BJ-2024-FT-ERMO,是,9．没有民主就没有社会主义，就没有社会主义的现代化。对此，以下判断正确的是 ,词典判给本模块题肢4个；位置先验0.09；书稿已收:RE
选必一,BJ-2024-SJS-YIMO-Q19(2),主观题,BJ-2024-SJS-YIMO,是,结合材料，运用《当代国际政治与经济》知识，分析中国新能源汽车企业从“走 出去”到“扎下根”的原因。（8 分）,设问点名:《当代国际政治与经济》
选必一,BJ-2025-FT-ERMO-Q2,选择题,BJ-2025-FT-ERMO,是,社区干 部开展 单位的办理和答 复情况问题                                   议事活动        及时进行评价这一工作制度,词典判给本模块题肢2个；位置先验0.02；书稿已收:B3
选必一,BJ-2025-HD-ERMO-Q13,选择题,BJ-2025-HD-ERMO,是,13. 学习逻辑思维有助于提升我们的思维水平。某同学将逻辑思维规则运用到《当代国际政治与 经济》的学习过程中。下列表述正确的是 ,解析点名:RE/X1；词典判给本模块题肢3个；位置先验0.08；书稿已收:RE
选必一,BJ-2025-DC-QIMO-Q20,主观题,BJ-2025-DC-QIMO,是,运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。,设问点名:《当代国际政治与经济》；细则书名:X1；书稿已收:B2
选必一,BJ-2025-DC-QIMO-Q2,选择题,BJ-2025-DC-QIMO,是,邓小平同志是改革开放的总设计师，以他为主创立的邓小平理论，深刻回答了什么是社会主义、怎样 建设社会主义这一根本问题，深刻揭示了社会主义本质。邓小平理论（  ） ,考查语:X1；词典判给本模块题肢1个
选必一,BJ-2025-HD-QIZHONG-Q12,选择题,BJ-2025-HD-QIZHONG,否（本书无此卷任何题）,梦，保证人民安居乐业，国家安全是头等大事。 越是接近实现中华民族伟大复兴的目标，越是需要增强忧患意识，努力把保障国家安全各项工作抓实抓牢抓好。这说明（   ） ,词典判给本模块题肢3个；位置先验0.14
选必一,BJ-2025-HD-QIZHONG-Q13,选择题,BJ-2025-HD-QIZHONG,否（本书无此卷任何题）,时过境免签等一系列便利外国人来华政策措施，吸引了更多外国游客来到中国。越来越多外国游客通过短视频、社交平台分享中国游的体验。下列说法正确的是（       ） ,词典判给本模块题肢2个；位置先验0.12
选必一,BJ-2025-HD-QIZHONG-Q15,选择题,BJ-2025-HD-QIZHONG,否（本书无此卷任何题）,本节只放原卷角色的原生文字层；OCR 候选与其它角色另列下方各节。 15. 亚太经合组织（,词典判给本模块题肢1个；位置先验0.67
选必一,BJ-2026-FT-YIMO-Q19,主观题,BJ-2026-FT-YIMO,是,结合材料，运用《当代国际政治与经济》知识，说明中国在全球可持续发展中彰显了怎样的大国情怀与担当。,设问点名:《当代国际政治与经济》
选必一,BJ-2026-YQ-YIMO-Q19(2),主观题,BJ-2026-YQ-YIMO,是,结合材料二，运用《当代国际政治与经济》知识，说明中国“推动重塑全球能源治理格局”的,设问点名:《当代国际政治与经济》
选必一,BJ-2026-FS-YIMO-Q4,选择题,BJ-2026-FS-YIMO,是,文章，原创的区域经 济研究成果数量依然较少，“十五五”规划建议提出“创新实施马克思主义理论研究 和建设工程，加快构建中国哲学社会科学自主知识体系”。对此，需要 ,词典判给本模块题肢3个；位置先验0.08；书稿已收:CU/PH
选必一,BJ-2026-TZ-YIMO-Q15,选择题,BJ-2026-TZ-YIMO,是,改造、乡村振兴等重 点工作进展。干部用百姓话讲实在事，现场解答老旧小区加装电梯、停车位改造等民生关 切，形成了群众出题、干部答题、大家评题的治理闭环。这一举措 ,词典判给本模块题肢2个；位置先验0.82；书稿已收:B3
选必一,BJ-2026-TZ-YIMO-Q19,主观题,BJ-2026-TZ-YIMO,是,结合材料，运用《当代国际政治与经济》知识，分析中国元首外交如何为世界注人稳定性,设问点名:《当代国际政治与经济》
选必一,BJ-2026-MTG-YIMO-Q1,选择题,BJ-2026-MTG-YIMO,是,。 | 中共中央在香山时期，指挥渡江战役、解放全中国，筹备中国人民政治协商会议，起草《中国人民政治协商会议共同纲领》。 | 对上述历史事件的意义，表述正确的有 ,词典判给本模块题肢2个；位置先验0.08；书稿已收:CU
选必一,BJ-2026-CP-ERMO-Q15,选择题,BJ-2026-CP-ERMO,否（本书无此卷任何题）,生能源、节能环保、清洁生产等领域优势，运用中国技术、产品和经验，推动绿色“一带一路”合作蓬勃发展，为当地可持续发展贡献力量。这说明，共建“一带一路”（   ） ,词典判给本模块题肢1个；位置先验0.80
选必一,BJ-2026-CP-ERMO-Q21,主观题,BJ-2026-CP-ERMO,否（本书无此卷任何题）,结合材料，运用《当代国际政治与经济》知识，自拟题目，撰写一篇短评。要求：观点明确，逻辑清晰，论述合理，150字左右。,设问点名:《当代国际政治与经济》；细则书名:X1
选必一,BJ-2026-CY-ERMO-Q20(2),主观题,BJ-2026-CY-ERMO,是,"结合材料,运用《当代国际政治与经济》知识，分析人类命运共同体理念为什么能维护世界和平与发展。(6分)",设问点名:《当代国际政治与经济》；细则书名:X1
选必一,BJ-2026-SJS-ERMO-Q18,主观题,BJ-2026-SJS-ERMO,是,结合材料，运用《当代国际政治与经济》知识，分析中国与东盟经贸合作能够提质升级的原因。,设问点名:《当代国际政治与经济》
选必一,BJ-2026-XC-ERMO-Q19(2),主观题,BJ-2026-XC-ERMO,是,结合材料，运用《当代国际政治与经济》知识，为释放数据价值、繁荣数字经济提2条建议，并说明理由。（4分）,设问点名:《当代国际政治与经济》；细则书名:X1
选必一,BJ-2026-SY-ERMO-Q20,主观题,BJ-2026-SY-ERMO,是,结合材料，运用《当代国际政治与经济》知识，谈谈对“今天的中国，明天的世界”的,设问点名:《当代国际政治与经济》
选必一,BJ-2026-SY-ERMO-Q9,选择题,BJ-2026-SY-ERMO,是,留言中，有不少真知灼见：“推动城乡产业融合发展”“搭建人工智能高素 质人才对外交流平台”“推动传统文化走进校园”… “十五五”规划编制工作开展网络征求意见活动 ,词典判给本模块题肢2个；位置先验0.09；书稿已收:B3
选必一,BJ-2026-DC-QIMO-Q7,选择题,BJ-2026-DC-QIMO,是,本节只放原卷角色的原生文字层；OCR 候选与其它角色另列下方各节。 7. 某高中举办“科技+体育”运动会，设置四大项目：“,词典判给本模块题肢2个；书稿已收:RE
选必一,BJ-2026-FT-QIMO-Q20,主观题,BJ-2026-FT-QIMO,否（本书无此卷任何题）,目党的二十大报告提出，中国推动构建新型国际关系，致力于扩大同各国利益的汇合点。结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。,设问点名:《当代国际政治与经济》；细则书名:X1；书稿已收:MI
选必一,BJ-2026-FT-QIMO-Q14,选择题,BJ-2026-FT-QIMO,否（本书无此卷任何题）,“二线”加强监管一阻断金融风险一防止国家税收流失 ③海南岛内要素自由流通一激发企业活力一增冊企业盈利 ④海南自由贸易港全岛封关一创新制度型开放一统筹发展与安全 ,词典判给本模块题肢1个；位置先验0.53；书稿已收:B2
选必一,BJ-2026-CP-QIMO-Q14,选择题,BJ-2026-CP-QIMO,否（本书无此卷任何题）,过，将拍摄的作物叶片颜色、土壤湿度情况等数据传输至中央决策平台，生成精准的施肥、灌溉方案。<br>◆⋯⋯ | | --- | 对上述材料分析正确的是（   ） ,词典判给本模块题肢2个；位置先验0.50
选必一,BJ-2026-CP-QIMO-Q15,选择题,BJ-2026-CP-QIMO,否（本书无此卷任何题）,中国智慧与中国方案，提出全球治理倡议。该倡议的核心原则是奉行主权平等、遵守国际法治、践行多边主义、倡导以人为本、注重行动导向。据此，下列说法正确的是（   ） ,词典判给本模块题肢4个；位置先验0.67
选必一,BJ-2026-CP-QIMO-Q20(2),主观题,BJ-2026-CP-QIMO,否（本书无此卷任何题）,结合材料，运用《当代国际政治与经济》知识，分析北京“两区”建设的措施何以彰显我国国际竞争优势。,设问点名:《当代国际政治与经济》
选必一,BJ-2026-HD-QIZHONG-Q9,选择题,BJ-2026-HD-QIZHONG,是,的思考，12岁的“小钓友”提出了增加亲水垂钓区、改善水生态的建议。一老一少的建言里，藏着对首都“蓝天碧水”与“民生温度”的共同期待。“十五五”规划建言征集活动 ,词典判给本模块题肢4个；位置先验0.06；书稿已收:B3/PH
选必一,BJ-2026-SJS-QIMO-Q19(2),主观题,BJ-2026-SJS-QIMO,是,结合材料二，运用《当代国际政治与经济》知识，阐明中国关于人工智能全球治理的主张为何能得到国际社会的广泛共鸣。（8分）,设问点名:《当代国际政治与经济》
选必一,BJ-2026-BJ-GAOKAO-Q20,主观题,BJ-2026-BJ-GAOKAO,否（本书无此卷任何题）,结合材料，运用《当代国际政治与经济》知识，分析我国软法影响全球数据治理的原因及路径。,设问点名:《当代国际政治与经济》；细则书名:X1；书稿已收:B2
选必一,BJ-2026-BJ-GAOKAO-Q14,选择题,BJ-2026-BJ-GAOKAO,否（本书无此卷任何题）,关系】 GNI（国民总收入） ＝GDP（国内生产总值） ＋ 本国从国外获得的投资和劳务收入 － 外国从本国获得的投资和劳务收入 结合以上材料，以下分析正确的是 ,词典判给本模块题肢1个；位置先验0.65；书稿已收:B2
