book,block,raw,key,own_probe,best,best_probe,top,node,verdict,own_exam_status
philosophy,B1018,2025年西城期末第18题,BJ-2025-XC-QIMO-Q18,0/5,BJ-2025-HD-QIMO-Q18,5/5,"{""BJ-2025-HD-QIMO-Q18"": 5}",31　价值观的导向作用,bank_stem_missing_no_redirect,已有MD，尚未逐卷独立验收
philosophy,B1023,2025年丰台一模第18题第（3）问,BJ-2025-FT-YIMO-Q18,0/5,,0/5,{},31　价值观的导向作用,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B1033,2026年东城期末第16题,BJ-2026-DC-QIMO-Q16,0/5,,0/5,{},31　价值观的导向作用,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B1042,2025年海淀期末第22题,BJ-2025-HD-QIMO-Q22,0/5,,0/5,{},31　价值观的导向作用,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B1070,2025年西城期末第18题,BJ-2025-XC-QIMO-Q18,0/5,BJ-2025-HD-QIMO-Q18,5/5,"{""BJ-2025-HD-QIMO-Q18"": 5}",32　价值判断与价值选择,bank_stem_missing_no_redirect,已有MD，尚未逐卷独立验收
philosophy,B1076,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",32　价值判断与价值选择,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
philosophy,B1085,2026年东城期末第16题,BJ-2026-DC-QIMO-Q16,0/5,,0/5,{},32　价值判断与价值选择,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
culture,B0030,2026 年海淀一模第 16 题,BJ-2026-HD-YIMO-Q16,0/5,,0/5,{},09　优秀文化塑造人,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
culture,B0047,2026 年东城期末第 16 题,BJ-2026-DC-QIMO-Q16,0/5,,0/5,{},20　传承和弘扬中华优秀传统文化,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
culture,B0052,2026 年顺义一模第 21 题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2026-HD-ERMO-Q21,1/5,"{""BJ-2026-HD-ERMO-Q21"": 1}",21　创造性转化和创新性发展,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
culture,B0068,2025 年海淀期末第 22 题,BJ-2025-HD-QIMO-Q22,0/5,,0/5,{},35　弘扬和培育中华民族精神,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi1,B0015,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2022-BJ-GAOKAO-Q21,1/5,"{""BJ-2022-BJ-GAOKAO-Q21"": 1, ""BJ-2023-DC-ERMO-Q21"": 1, ""BJ-2023-DC-YIMO-Q20"": 1}",01　机遇,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi1,B0050,2025年海淀一模第21题第（2）问,BJ-2025-HD-YIMO-Q21,0/5,BJ-2023-BJ-GAOKAO-Q19,1/5,"{""BJ-2023-BJ-GAOKAO-Q19"": 1, ""BJ-2023-FT-ERMO-Q18"": 1, ""BJ-2024-HD-QIZHONG-Q21"": 1}",04　合作,weak_or_bank_text_unusable,Q22学生层补充已合入；只完成受限范围独立复核与主控原图检查。Q22手写连续文字/身份/批注者/分值未决；整卷待复核、未验收。
xuanbi1,B0063,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2022-BJ-GAOKAO-Q21,1/5,"{""BJ-2022-BJ-GAOKAO-Q21"": 1, ""BJ-2023-DC-ERMO-Q21"": 1, ""BJ-2023-DC-YIMO-Q20"": 1}",04　合作,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi1,B0160,2025年海淀一模第21题第（2）问,BJ-2025-HD-YIMO-Q21,0/5,BJ-2023-BJ-GAOKAO-Q19,1/5,"{""BJ-2023-BJ-GAOKAO-Q19"": 1, ""BJ-2023-FT-ERMO-Q18"": 1, ""BJ-2024-HD-QIZHONG-Q21"": 1}",11　贸资：贸易投资自由化便利化,weak_or_bank_text_unusable,Q22学生层补充已合入；只完成受限范围独立复核与主控原图检查。Q22手写连续文字/身份/批注者/分值未决；整卷待复核、未验收。
xuanbi1,B0206,2026年通州期末第3题,BJ-2026-TZ-QIMO-Q3,0/5,,0/5,{},13　开：高水平对外开放,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi1,B0268,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2022-BJ-GAOKAO-Q21,1/5,"{""BJ-2022-BJ-GAOKAO-Q21"": 1, ""BJ-2023-DC-ERMO-Q21"": 1, ""BJ-2023-DC-YIMO-Q20"": 1}",17　共体：人类命运共同体,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi1,B0308,2026年顺义一模第21题,BJ-2026-SY-YIMO-Q21,0/5,BJ-2022-BJ-GAOKAO-Q21,1/5,"{""BJ-2022-BJ-GAOKAO-Q21"": 1, ""BJ-2023-DC-ERMO-Q21"": 1, ""BJ-2023-DC-YIMO-Q20"": 1}",21　智慧,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0004,2026东城期末 第10题,BJ-2026-DC-QIMO-Q10,0/5,,0/5,{},01　平等原则,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0009,2026东城期末 第10题,BJ-2026-DC-QIMO-Q10,0/5,,0/5,{},02　自愿原则与意思自治,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0019,2026朝阳一模 第18题：知识产权司法保护（调、惩、辨）,BJ-2026-CY-YIMO-Q18,1/5,BJ-2026-CY-YIMO-Q18,1/5,"{""BJ-2026-CY-YIMO-Q18"": 1}",03　公平原则与利益衡量,weak_or_bank_text_unusable,全部现有来源转换已验收（Sonnet转写修补、异工位独立复核、主控亲审与合后验证）；仅保留不影响作答的有界/次要残留，见 shared_conversion_state.bounded_residual
xuanbi2,B0029,2026东城期末 第10题,BJ-2026-DC-QIMO-Q10,0/5,,0/5,{},03　公平原则与利益衡量,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0036,2026海淀期末 第18题·第（2）问：示范合同、信用监管,BJ-2026-HD-QIMO-Q18,1/5,BJ-2023-CY-ERMO-Q18,1/5,"{""BJ-2023-CY-ERMO-Q18"": 1, ""BJ-2023-HD-YIMO-Q18"": 1, ""BJ-2024-CY-YIMO-Q19"": 1}",04　诚信原则与全面履行,weak_or_bank_text_unusable,21 questions; user-approved bounded student-sample residuals; exact 3-file delta merged; global postmerge checks pass; state prepared; ready for batch acceptance.
xuanbi2,B0040,2025西城期末 第19题：唤醒词商标抢注与不正当竞争,BJ-2025-XC-QIMO-Q19,0/5,BJ-2025-HD-QIMO-Q19,3/5,"{""BJ-2025-HD-QIMO-Q19"": 3}",04　诚信原则与全面履行,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0044,2025昌平二模 第20题·案例二：信用卡合同与透支违约,BJ-2025-CP-ERMO-Q20,0/5,,0/5,{},04　诚信原则与全面履行,weak_or_bank_text_unusable,22题部分合入；Q20三列两行与Q22并列双框已精确结构化；Q16书法及Q18/Q22学生手写仍未决
xuanbi2,B0071,2024丰台二模 第17题：民法典保护生态环境的作用,BJ-2024-FT-ERMO-Q17,1/5,BJ-2024-FT-ERMO-Q17,1/5,"{""BJ-2024-FT-ERMO-Q17"": 1}",06　绿色原则与生态公共利益,weak_or_bank_text_unusable,全部现有来源转换已验收（题文/图表/E3/E1/学生层经Sonnet转写修补、异工位独立复核、主控亲审与合后验证）；仅保留不影响作答的有界残留，见 shared_conversion_state.bounded_residual
xuanbi2,B0086,2026朝阳一模 第18题：知识产权司法保护（调、惩、辨）,BJ-2026-CY-YIMO-Q18,1/5,BJ-2026-CY-YIMO-Q18,1/5,"{""BJ-2026-CY-YIMO-Q18"": 1}",07　权利义务统一、权利边界与公共利益,weak_or_bank_text_unusable,全部现有来源转换已验收（Sonnet转写修补、异工位独立复核、主控亲审与合后验证）；仅保留不影响作答的有界/次要残留，见 shared_conversion_state.bounded_residual
xuanbi2,B0091,2025昌平二模 第20题·案例二：信用卡合同与透支违约,BJ-2025-CP-ERMO-Q20,0/5,,0/5,{},07　权利义务统一、权利边界与公共利益,weak_or_bank_text_unusable,22题部分合入；Q20三列两行与Q22并列双框已精确结构化；Q16书法及Q18/Q22学生手写仍未决
xuanbi2,B0101,2026丰台期末 第11题,BJ-2026-FT-QIMO-Q11,0/5,,0/5,{},07　权利义务统一、权利边界与公共利益,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0102,2025丰台一模 第10题,BJ-2025-FT-YIMO-Q10,1/5,BJ-2025-FT-YIMO-Q10,1/5,"{""BJ-2025-FT-YIMO-Q10"": 1}",07　权利义务统一、权利边界与公共利益,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0121,2025顺义一模 第19题·第（2）问：定分止争的个人、企业与社会价值,BJ-2025-SY-YIMO-Q19,1/5,BJ-2025-SY-YIMO-Q19,1/5,"{""BJ-2025-SY-YIMO-Q19"": 1}",08　以事实为根据、以法律为准绳与公平正义,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0122,2026通州一模 第20题：自甘风险、组织者安全义务,BJ-2026-TZ-YIMO-Q20,1/5,BJ-2026-TZ-YIMO-Q20,1/5,"{""BJ-2026-TZ-YIMO-Q20"": 1}",08　以事实为根据、以法律为准绳与公平正义,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0127,2026丰台期末 第11题,BJ-2026-FT-QIMO-Q11,0/5,,0/5,{},08　以事实为根据、以法律为准绳与公平正义,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0137,2025昌平二模 第20题·案例二：信用卡合同与透支违约,BJ-2025-CP-ERMO-Q20,0/5,,0/5,{},01　民事主体、行为能力与民事法律行为效力,weak_or_bank_text_unusable,22题部分合入；Q20三列两行与Q22并列双框已精确结构化；Q16书法及Q18/Q22学生手写仍未决
xuanbi2,B0143,2026海淀一模 第18题·第（3）问：隐私与虚假治疗/消费欺诈,BJ-2026-HD-YIMO-Q18,0/5,,0/5,{},02　人格权、隐私权与个人信息,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0175,2026东城期末 第10题,BJ-2026-DC-QIMO-Q10,0/5,,0/5,{},03　物权、担保物权、相邻关系与共有,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0198,2024东城二模 第19题·第（1）问：仓储费合同纠纷民事起诉状,BJ-2024-DC-ERMO-Q19,1/5,BJ-2024-DC-ERMO-Q19,1/5,"{""BJ-2024-DC-ERMO-Q19"": 1}",01　合同成立、生效、履行、解除与违约责任,weak_or_bank_text_unusable,r3_full 268项完整sources/assets/questions已由controller_merge合入；B1全包审查发现的M1由r2定点补录并经B2核验，B2发现的M2由r3定点纠正并经B3复核pass；主控亲看P04 Q12三栏图并比对Markdown。仅有界定的学生图像/非评分讲评微字及Q18来源元数据minor残留，均affects_answering=false；完整卷待正式验收。
xuanbi2,B0203,2025昌平二模 第20题·案例二：信用卡合同与透支违约,BJ-2025-CP-ERMO-Q20,0/5,,0/5,{},01　合同成立、生效、履行、解除与违约责任,weak_or_bank_text_unusable,22题部分合入；Q20三列两行与Q22并列双框已精确结构化；Q16书法及Q18/Q22学生手写仍未决
xuanbi2,B0204,2025门头沟一模 第20题·案例二：简历不诚信与劳动合同解除,BJ-2025-MTG-YIMO-Q20,1/5,BJ-2025-MTG-YIMO-Q20,1/5,"{""BJ-2025-MTG-YIMO-Q20"": 1}",01　合同成立、生效、履行、解除与违约责任,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0230,2026海淀一模 第18题·第（3）问：隐私与虚假治疗/消费欺诈,BJ-2026-HD-YIMO-Q18,0/5,,0/5,{},02　一般侵权、归责原则与特殊侵权,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0232,2025海淀期末 第20题：缺陷产品致财产损害,BJ-2025-HD-QIMO-Q20,1/5,BJ-2025-HD-QIMO-Q20,1/5,"{""BJ-2025-HD-QIMO-Q20"": 1}",02　一般侵权、归责原则与特殊侵权,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0233,2025海淀期末 第20题：禁止饲养危险动物致害,BJ-2025-HD-QIMO-Q20,1/5,BJ-2025-HD-QIMO-Q20,1/5,"{""BJ-2025-HD-QIMO-Q20"": 1}",02　一般侵权、归责原则与特殊侵权,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0240,2025朝阳期末 第20题·案例二：数据抓取与不正当竞争,BJ-2025-CY-QIMO-Q20,1/5,BJ-2025-CY-QIMO-Q20,1/5,"{""BJ-2025-CY-QIMO-Q20"": 1}",02　一般侵权、归责原则与特殊侵权,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0241,2025朝阳期末 第20题·案例三：旅游经营者安全保障义务与侵权责任,BJ-2025-CY-QIMO-Q20,1/5,BJ-2025-CY-QIMO-Q20,1/5,"{""BJ-2025-CY-QIMO-Q20"": 1}",02　一般侵权、归责原则与特殊侵权,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0245,2024丰台一模 第17题：好意同乘侵权责任与减责,BJ-2024-FT-YIMO-Q17,1/5,BJ-2024-FT-YIMO-Q17,1/5,"{""BJ-2024-FT-YIMO-Q17"": 1}",02　一般侵权、归责原则与特殊侵权,weak_or_bank_text_unusable,全部现有来源转换已验收（Sonnet转写修补、异工位独立复核、主控亲审与合后验证）；仅保留不影响作答的有界/次要残留，见 shared_conversion_state.bounded_residual
xuanbi2,B0247,2026通州一模 第20题：自甘风险、组织者安全义务,BJ-2026-TZ-YIMO-Q20,1/5,BJ-2026-TZ-YIMO-Q20,1/5,"{""BJ-2026-TZ-YIMO-Q20"": 1}",02　一般侵权、归责原则与特殊侵权,weak_or_bank_text_unusable,已有MD，尚未逐卷独立验收
xuanbi2,B0270,2026朝阳一模 第18题：知识产权司法保护（调、惩、辨）,BJ-2026-CY-YIMO-Q18,1/5,BJ-2026-CY-YIMO-Q18,1/5,"{""BJ-2026-CY-YIMO-Q18"": 1}",03　著作权、专利权、商标权与商业秘密,weak_or_bank_text_unusable,全部现有来源转换已验收（Sonnet转写修补、异工位独立复核、主控亲审与合后验证）；仅保留不影响作答的有界/次要残留，见 shared_conversion_state.bounded_residual
