unit_id,qid,exam_id_raw,exam_id_canonical,num,type,subq,grain,content_fingerprint,script_tier,归属_B1,归属_B2,归属_B3,归属_PH,归属_CU,归属_X1,归属_X2,归属_MI,归属_RE,admission,evidence,evidence_detail,downgrade_notes,dup_of,dup_covered_by,conflict_script_out,identity_redirect,canonical_qid,rule_version,source,ruled
BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,11,选择题,,整题,cfb0e45bdb105412,倾向,OUT,MAYBE,MAYBE,OUT,OUT,OUT,MAYBE,OUT,IN,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q11,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,12,选择题,,整题,397ba5a6b6b76a20,不明,OUT,MAYBE,MAYBE,OUT,OUT,OUT,MAYBE,MAYBE,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q12,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,13,选择题,,整题,b660b66836059d64,倾向,OUT,COLLECTED,MAYBE,OUT,OUT,OUT,IN,MAYBE,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q13,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,14,选择题,,整题,456b8697e3818cd4,不明,MAYBE,MAYBE,MAYBE,MAYBE,OUT,MAYBE,IN,MAYBE,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q14,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,15,选择题,,整题,b87199cc7a3c953d,不明,MAYBE,MAYBE,MAYBE,OUT,MAYBE,IN,OUT,OUT,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q15,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,16,主观题,,整题,0154c428a9664efc,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q16,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q17#1,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,17,主观题,1,小问,0d9fafd68b2dfa77,不明,MAYBE,MAYBE,IN,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,,,,,BJ-2023-FT-YIMO-Q17,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q17#2,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,17,主观题,2,小问,3e9da95c16c38ebd,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q17,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,18,主观题,,整题,96c4f5a0706608b7,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,,,,,BJ-2023-FT-YIMO-Q18,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,19,主观题,,整题,df26c546ca0fc607,倾向,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,IN,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,,,,,BJ-2023-FT-YIMO-Q19,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,20,主观题,,整题,b7df49700029e76e,倾向,MAYBE,IN,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,,,,,BJ-2023-FT-YIMO-Q20,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,21,主观题,,整题,a004d4f051e05c66,倾向,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,IN,MAYBE,MAYBE,MAYBE,不收-无E1,E3,逐题已匹配参考答案,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,,,,,BJ-2023-FT-YIMO-Q21,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,22,主观题,,整题,e4e55fc4abdf4008,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,E3,逐题已匹配参考答案,"关联但不合并(疑似跨卷复用/串题,非duplicate_registration_alias):dup_of=BJ-2026-FT-YIMO-Q21",BJ-2026-FT-YIMO-Q21,bixiu3;philosophy,,,BJ-2023-FT-YIMO-Q22,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q1,BJ-2024-CY-QIZHONG-Q1,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,1,选择题,,整题,0a1ebc59155af9d0,倾向,MAYBE,MAYBE,MAYBE,COLLECTED,COLLECTED,OUT,OUT,OUT,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q1,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q2,BJ-2024-CY-QIZHONG-Q2,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,2,选择题,,整题,db162bb9f0823329,倾向,OUT,MAYBE,MAYBE,MAYBE,COLLECTED,OUT,OUT,OUT,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q2,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,3,选择题,,整题,debf65a43d457a83,不明,OUT,MAYBE,MAYBE,COLLECTED,MAYBE,MAYBE,OUT,OUT,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q3,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q4,BJ-2024-CY-QIZHONG-Q4,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,4,选择题,,整题,31028e73e5d619e9,不明,OUT,MAYBE,MAYBE,COLLECTED,MAYBE,OUT,OUT,MAYBE,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q4,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q5,BJ-2024-CY-QIZHONG-Q5,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,5,选择题,,整题,e3429d2390489998,不明,OUT,MAYBE,MAYBE,COLLECTED,MAYBE,MAYBE,OUT,MAYBE,COLLECTED,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q5,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,6,选择题,,整题,1ae314775c42fe6b,不明,OUT,MAYBE,MAYBE,COLLECTED,COLLECTED,MAYBE,MAYBE,OUT,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q6,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q7,BJ-2024-CY-QIZHONG-Q7,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,7,选择题,,整题,e6bf83e49ecc6a51,不明,OUT,MAYBE,MAYBE,MAYBE,IN,MAYBE,MAYBE,MAYBE,COLLECTED,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q7,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q8,BJ-2024-CY-QIZHONG-Q8,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,8,选择题,,整题,11e3cbc2ec1597c1,不明,OUT,MAYBE,MAYBE,MAYBE,MAYBE,OUT,OUT,MAYBE,COLLECTED,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q8,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q9,BJ-2024-CY-QIZHONG-Q9,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,9,选择题,,整题,a21a135e8b321100,不明,OUT,MAYBE,MAYBE,MAYBE,MAYBE,OUT,MAYBE,MAYBE,COLLECTED,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q9,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,10,选择题,,整题,e6d0dc9cf4ce1880,不明,MAYBE,MAYBE,MAYBE,COLLECTED,OUT,OUT,MAYBE,OUT,COLLECTED,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q10,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,11,选择题,,整题,7dbc78815c4f5fd1,倾向,OUT,MAYBE,MAYBE,OUT,OUT,OUT,MAYBE,OUT,COLLECTED,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q11,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,12,选择题,,整题,7c1f0b743d4b2acf,不明,MAYBE,COLLECTED,MAYBE,OUT,OUT,MAYBE,MAYBE,OUT,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q12,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,13,选择题,,整题,fe9a935259cd29cd,不明,MAYBE,COLLECTED,MAYBE,OUT,OUT,MAYBE,MAYBE,OUT,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q13,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,14,选择题,,整题,376a796379d7bea9,不明,MAYBE,COLLECTED,MAYBE,OUT,OUT,MAYBE,OUT,OUT,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q14,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,15,选择题,,整题,d86615ff941fff78,不明,MAYBE,MAYBE,MAYBE,OUT,OUT,COLLECTED,OUT,OUT,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2024-CY-QIZHONG-Q15,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,16,主观题,,整题,c8d9e313d17db3d0,不明,MAYBE,OUT,MAYBE,COLLECTED,MAYBE,MAYBE,MAYBE,OUT,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,,,,,,BJ-2024-CY-QIZHONG-Q16,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,17,主观题,,整题,6df618fa12fca3e3,不明,OUT,MAYBE,OUT,COLLECTED,COLLECTED,OUT,MAYBE,MAYBE,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,,,,,BJ-2024-CY-QIZHONG-Q17,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,18,主观题,,整题,56bcdba45c6858e6,不明,OUT,OUT,MAYBE,OUT,OUT,MAYBE,MAYBE,MAYBE,COLLECTED,完整题-有E1,E1,逐题已匹配正式评分材料,,,,,,BJ-2024-CY-QIZHONG-Q18,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,19,主观题,,整题,6556aea5a0204728,倾向,OUT,MAYBE,OUT,OUT,OUT,OUT,MAYBE,COLLECTED,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,,,,,,BJ-2024-CY-QIZHONG-Q19,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q20#1,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,20,主观题,1,小问,f6bf080250e34fc3,不明,OUT,COLLECTED,MAYBE,OUT,OUT,COLLECTED,MAYBE,OUT,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,,,,,BJ-2024-CY-QIZHONG-Q20,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q20#2,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,20,主观题,2,小问,2ce83915135e63fc,不明,OUT,COLLECTED,MAYBE,OUT,OUT,COLLECTED,MAYBE,OUT,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,,,,,BJ-2024-CY-QIZHONG-Q20,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2024-CY-QIZHONG-Q20#3,BJ-2024-CY-QIZHONG-Q20,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,20,主观题,3,小问,d739b455ccacf7aa,倾向,OUT,COLLECTED,MAYBE,OUT,OUT,COLLECTED,MAYBE,OUT,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,,,,,BJ-2024-CY-QIZHONG-Q20,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2025-CY-ERMO-Q1,BJ-2025-CY-ERMO-Q1,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,1,选择题,,整题,b902a035fb8fe0de,倾向,MAYBE,COLLECTED,IN,COLLECTED,COLLECTED,MAYBE,OUT,OUT,OUT,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2025-CY-ERMO-Q1,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2025-CY-ERMO-Q2,BJ-2025-CY-ERMO-Q2,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,2,选择题,,整题,deb1662e2d4c758f,不明,OUT,MAYBE,MAYBE,COLLECTED,MAYBE,OUT,OUT,OUT,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2025-CY-ERMO-Q2,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2025-CY-ERMO-Q3,BJ-2025-CY-ERMO-Q3,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,3,选择题,,整题,38fda3e1a730cd01,不明,OUT,MAYBE,MAYBE,COLLECTED,COLLECTED,OUT,OUT,MAYBE,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2025-CY-ERMO-Q3,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2025-CY-ERMO-Q4,BJ-2025-CY-ERMO-Q4,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,4,选择题,,整题,0acdd85e3518abe7,不明,OUT,MAYBE,MAYBE,COLLECTED,COLLECTED,MAYBE,OUT,MAYBE,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2025-CY-ERMO-Q4,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2025-CY-ERMO-Q5,BJ-2025-CY-ERMO-Q5,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,5,选择题,,整题,f50a75502ae91dcd,不明,OUT,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,OUT,MAYBE,COLLECTED,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2025-CY-ERMO-Q5,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2025-CY-ERMO-Q6,BJ-2025-CY-ERMO-Q6,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,6,选择题,,整题,9e136fbec3fe52ff,不明,OUT,MAYBE,MAYBE,MAYBE,MAYBE,OUT,OUT,MAYBE,COLLECTED,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2025-CY-ERMO-Q6,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
BJ-2025-CY-ERMO-Q7,BJ-2025-CY-ERMO-Q7,BJ-2025-CY-ERMO,BJ-2025-CY-ERMO,7,选择题,,整题,38bddd64b83de29c,不明,OUT,MAYBE,MAYBE,COLLECTED,MAYBE,MAYBE,OUT,COLLECTED,COLLECTED,完整题-选择题照收,E3,逐题已匹配参考答案,,,,,,BJ-2025-CY-ERMO-Q7,2026-09-24-attribution-v3,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json+skill_overrides.json,no
