卷,题号,题肢,题型,模块,判定来源,conf,why,unit_id
BJ-2023-DC-ERMO,3,②,选择题(题肢),X1,首判(c005),中,党的责任担当属党的性质宗旨；政党交流、国际组织功能属国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q3
BJ-2023-DC-ERMO,3,③,选择题(题肢),X1,首判(c005),中,党的责任担当属党的性质宗旨；政党交流、国际组织功能属国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q3
BJ-2023-DC-ERMO,3,④,选择题(题肢),X1,首判(c005),中,党的责任担当属党的性质宗旨；政党交流、国际组织功能属国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-ERMO-Q3
BJ-2023-DC-YIMO,12,A,选择题(题肢),X1,首判(c006),高,国际调解院、主权国家权利、外交政策、国际组织分类属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q12
BJ-2023-DC-YIMO,12,B,选择题(题肢),X1,首判(c006),高,国际调解院、主权国家权利、外交政策、国际组织分类属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q12
BJ-2023-DC-YIMO,12,C,选择题(题肢),X1,首判(c006),高,国际调解院、主权国家权利、外交政策、国际组织分类属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q12
BJ-2023-DC-YIMO,12,D,选择题(题肢),X1,首判(c006),高,国际调解院、主权国家权利、外交政策、国际组织分类属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-DC-YIMO-Q12
BJ-2023-FT-ERMO,14,①,选择题(题肢),X1,首判(c007),中,政党性质作用、人类命运共同体属选必一；文明交流互鉴涉文化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q14
BJ-2023-FT-ERMO,14,②,选择题(题肢),X1,首判(c007),中,政党性质作用、人类命运共同体属选必一；文明交流互鉴涉文化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q14
BJ-2023-FT-ERMO,14,③,选择题(题肢),X1,首判(c007),中,政党性质作用、人类命运共同体属选必一；文明交流互鉴涉文化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q14
BJ-2023-FT-ERMO,14,④,选择题(题肢),X1,首判(c007),中,政党性质作用、人类命运共同体属选必一；文明交流互鉴涉文化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q14
BJ-2023-FT-ERMO,15,①,选择题(题肢),X1,升级复判(escc01),中,国际组织、全球合作属X1；无经济与社会知识点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q15
BJ-2023-FT-ERMO,15,④,选择题(题肢),X1,升级复判(escc01),中,国际组织、全球合作属X1；无经济与社会知识点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q15
BJ-2023-FT-ERMO,2,①,选择题(题肢),X1,升级复判(escc01),高,各历史阶段对现代化的贡献、中国式现代化属B1剔除清单（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q2
BJ-2023-FT-ERMO,2,③,选择题(题肢),X1,升级复判(escc01),高,各历史阶段对现代化的贡献、中国式现代化属B1剔除清单（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q2
BJ-2023-FT-ERMO,4,④,选择题(题肢),X1,首判(c006),中,文化遗产传承、文明交流互鉴属文化；民心相通兼涉国际交往（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-ERMO-Q4
BJ-2023-FT-YIMO,15,①,选择题(题肢),X1,首判(c007),高,G20性质、全球治理、国家利益出发点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q15
BJ-2023-FT-YIMO,15,②,选择题(题肢),X1,首判(c007),高,G20性质、全球治理、国家利益出发点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q15
BJ-2023-FT-YIMO,15,③,选择题(题肢),X1,首判(c007),高,G20性质、全球治理、国家利益出发点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q15
BJ-2023-FT-YIMO,15,④,选择题(题肢),X1,首判(c007),高,G20性质、全球治理、国家利益出发点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-FT-YIMO-Q15
BJ-2023-HD-ERMO,12,A,选择题(题肢),X1,首判(c008),高,美英法政治体制运作规则，属选必一国家政体与政党制度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q12
BJ-2023-HD-ERMO,12,B,选择题(题肢),X1,首判(c008),高,美英法政治体制运作规则，属选必一国家政体与政党制度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q12
BJ-2023-HD-ERMO,12,C,选择题(题肢),X1,首判(c008),高,美英法政治体制运作规则，属选必一国家政体与政党制度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q12
BJ-2023-HD-ERMO,12,D,选择题(题肢),X1,首判(c008),高,美英法政治体制运作规则，属选必一国家政体与政党制度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q12
BJ-2023-HD-ERMO,13,①,选择题(题肢),X1,升级复判(escc01),高,国际组织与全球治理议题属X1；卡1列国际组织性质排除B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q13
BJ-2023-HD-ERMO,13,②,选择题(题肢),X1,升级复判(escc01),高,国际组织与全球治理议题属X1；卡1列国际组织性质排除B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q13
BJ-2023-HD-ERMO,13,③,选择题(题肢),X1,升级复判(escc01),高,国际组织与全球治理议题属X1；卡1列国际组织性质排除B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q13
BJ-2023-HD-ERMO,13,④,选择题(题肢),X1,升级复判(escc01),高,国际组织与全球治理议题属X1；卡1列国际组织性质排除B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q13
BJ-2023-HD-QIZHONG,12,①,选择题(题肢),X1,首判(c008),高,熊猫外交、法国单一制与半总统制、国家利益，属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q12
BJ-2023-HD-QIZHONG,12,②,选择题(题肢),X1,首判(c008),高,熊猫外交、法国单一制与半总统制、国家利益，属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q12
BJ-2023-HD-QIZHONG,12,③,选择题(题肢),X1,首判(c008),高,熊猫外交、法国单一制与半总统制、国家利益，属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q12
BJ-2023-HD-QIZHONG,12,④,选择题(题肢),X1,首判(c008),高,熊猫外交、法国单一制与半总统制、国家利益，属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q12
BJ-2023-HD-QIZHONG,13,A,选择题(题肢),X1,升级复判(escc01),中,联合国机构、国际合作属X1；文化遗产涉CU；C民族关系属B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q13
BJ-2023-HD-QIZHONG,13,D,选择题(题肢),X1,升级复判(escc01),中,联合国机构、国际合作属X1；文化遗产涉CU；C民族关系属B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q13
BJ-2023-HD-QIZHONG,14,①,选择题(题肢),X1,升级复判(escc01),低,一带一路、国际贸易投资平台属X1；开放经济是否在B2待核（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q14
BJ-2023-HD-QIZHONG,14,②,选择题(题肢),X1,升级复判(escc01),低,一带一路、国际贸易投资平台属X1；开放经济是否在B2待核（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q14
BJ-2023-HD-QIZHONG,14,③,选择题(题肢),X1,升级复判(escc01),低,一带一路、国际贸易投资平台属X1；开放经济是否在B2待核（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q14
BJ-2023-HD-QIZHONG,14,④,选择题(题肢),X1,升级复判(escc01),低,一带一路、国际贸易投资平台属X1；开放经济是否在B2待核（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q14
BJ-2023-HD-QIZHONG,15,A,选择题(题肢),X1,升级复判(escc01),高,非盟、G20国际组织性质属X1；卡1列排除B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q15
BJ-2023-HD-QIZHONG,15,B,选择题(题肢),X1,升级复判(escc01),高,非盟、G20国际组织性质属X1；卡1列排除B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q15
BJ-2023-HD-QIZHONG,15,C,选择题(题肢),X1,升级复判(escc01),高,非盟、G20国际组织性质属X1；卡1列排除B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q15
BJ-2023-HD-QIZHONG,15,D,选择题(题肢),X1,升级复判(escc01),高,非盟、G20国际组织性质属X1；卡1列排除B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q15
BJ-2023-HD-QIZHONG,4,②,选择题(题肢),X1,首判(c008),中,新三样出口：扩大内需、创新驱动、外贸提质升级，必修二为主，外贸涉选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q4
BJ-2023-HD-QIZHONG,4,③,选择题(题肢),X1,首判(c008),中,新三样出口：扩大内需、创新驱动、外贸提质升级，必修二为主，外贸涉选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q4
BJ-2023-HD-QIZHONG,6,①,选择题(题肢),X1,升级复判(escc01),低,人民币国际储备、汇率与世界经济属X1；经济实力可涉B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q6
BJ-2023-HD-QIZHONG,6,②,选择题(题肢),X1,升级复判(escc01),低,人民币国际储备、汇率与世界经济属X1；经济实力可涉B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q6
BJ-2023-HD-QIZHONG,6,③,选择题(题肢),X1,升级复判(escc01),低,人民币国际储备、汇率与世界经济属X1；经济实力可涉B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q6
BJ-2023-HD-QIZHONG,6,④,选择题(题肢),X1,升级复判(escc01),低,人民币国际储备、汇率与世界经济属X1；经济实力可涉B2（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q6
BJ-2023-HD-YIMO,14,A,选择题(题肢),X1,升级复判(escc01),高,全球安全倡议、国家利益、国际和平属X1；无经济与社会考点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q14
BJ-2023-HD-YIMO,14,B,选择题(题肢),X1,升级复判(escc01),高,全球安全倡议、国家利益、国际和平属X1；无经济与社会考点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q14
BJ-2023-HD-YIMO,14,C,选择题(题肢),X1,升级复判(escc01),高,全球安全倡议、国家利益、国际和平属X1；无经济与社会考点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q14
BJ-2023-HD-YIMO,14,D,选择题(题肢),X1,升级复判(escc01),高,全球安全倡议、国家利益、国际和平属X1；无经济与社会考点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q14
BJ-2023-HD-YIMO,15,A,选择题(题肢),X1,首判(c009),中,绿色贸易与绿色低碳发展属B2开放、新发展理念；负责任大国属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q15
BJ-2023-HD-YIMO,15,C,选择题(题肢),X1,首判(c009),中,绿色贸易与绿色低碳发展属B2开放、新发展理念；负责任大国属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q15
BJ-2023-HD-YIMO,15,D,选择题(题肢),X1,首判(c009),中,绿色贸易与绿色低碳发展属B2开放、新发展理念；负责任大国属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q15
BJ-2023-XC-ERMO,14,①,选择题(题肢),X1,升级复判(escc02),中,义利观、亲诚惠容、合作共赢均为中国外交政策知识，未考开放经济（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-ERMO-Q14
BJ-2023-XC-ERMO,14,②,选择题(题肢),X1,升级复判(escc02),中,义利观、亲诚惠容、合作共赢均为中国外交政策知识，未考开放经济（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-ERMO-Q14
BJ-2023-XC-ERMO,14,③,选择题(题肢),X1,升级复判(escc02),中,义利观、亲诚惠容、合作共赢均为中国外交政策知识，未考开放经济（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-ERMO-Q14
BJ-2023-XC-ERMO,14,④,选择题(题肢),X1,升级复判(escc02),中,义利观、亲诚惠容、合作共赢均为中国外交政策知识，未考开放经济（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-ERMO-Q14
BJ-2023-XC-ERMO,15,①,选择题(题肢),X1,首判(c010),中,服务贸易顺逆差、结构、新业态属开放经济；②全球化不平衡属X1；缺答案键（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-ERMO-Q15
BJ-2023-XC-ERMO,15,②,选择题(题肢),X1,首判(c010),中,服务贸易顺逆差、结构、新业态属开放经济；②全球化不平衡属X1；缺答案键（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-ERMO-Q15
BJ-2023-XC-ERMO,15,③,选择题(题肢),X1,首判(c010),中,服务贸易顺逆差、结构、新业态属开放经济；②全球化不平衡属X1；缺答案键（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-ERMO-Q15
BJ-2023-XC-ERMO,15,④,选择题(题肢),X1,首判(c010),中,服务贸易顺逆差、结构、新业态属开放经济；②全球化不平衡属X1；缺答案键（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-ERMO-Q15
BJ-2023-XC-YIMO,8,①,选择题(题肢),X1,首判(c010),高,联合国作用、国际关系决定因素、共同利益，属X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-YIMO-Q8
BJ-2023-XC-YIMO,8,②,选择题(题肢),X1,首判(c010),高,联合国作用、国际关系决定因素、共同利益，属X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-YIMO-Q8
BJ-2023-XC-YIMO,8,③,选择题(题肢),X1,首判(c010),高,联合国作用、国际关系决定因素、共同利益，属X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-YIMO-Q8
BJ-2023-XC-YIMO,8,④,选择题(题肢),X1,首判(c010),高,联合国作用、国际关系决定因素、共同利益，属X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-YIMO-Q8
BJ-2023-XC-YIMO,9,①,选择题(题肢),X1,首判(c010),中,降低贸易成本：开放、关税壁垒、对外投资、基础设施；关税壁垒兼X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-YIMO-Q9
BJ-2023-XC-YIMO,9,②,选择题(题肢),X1,首判(c010),中,降低贸易成本：开放、关税壁垒、对外投资、基础设施；关税壁垒兼X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-YIMO-Q9
BJ-2023-XC-YIMO,9,③,选择题(题肢),X1,首判(c010),中,降低贸易成本：开放、关税壁垒、对外投资、基础设施；关税壁垒兼X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-YIMO-Q9
BJ-2024-DC-YIMO,15,③,选择题(题肢),X1,首判(c016),中,思维存在同一性、合规律合目的、物质基础属PH；命运共同体属X1；拼搏精神关文化弱（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-DC-YIMO-Q15
BJ-2024-HD-ERMO,12,④,选择题(题肢),X1,首判(c018),中,市场基础制度、政府与市场、价格机制属B2；外资国民待遇负面清单兼可用X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-ERMO-Q12
BJ-2024-HD-ERMO,9,②,选择题(题肢),X1,首判(c018),中,重复诉讼、管辖属X2诉讼；一国两制/特别行政区可用X1国家结构形式（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-ERMO-Q9
BJ-2024-HD-ERMO,9,③,选择题(题肢),X1,首判(c018),中,重复诉讼、管辖属X2诉讼；一国两制/特别行政区可用X1国家结构形式（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-ERMO-Q9
BJ-2024-HD-QIZHONG,13,②,选择题(题肢),X1,首判(c019),中,入境游拉动经济、双循环与外贸属经济；公共外交属当代国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-QIZHONG-Q13
BJ-2024-HD-QIZHONG,13,③,选择题(题肢),X1,首判(c019),中,入境游拉动经济、双循环与外贸属经济；公共外交属当代国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-QIZHONG-Q13
BJ-2024-HD-QIZHONG,13,④,选择题(题肢),X1,首判(c019),中,入境游拉动经济、双循环与外贸属经济；公共外交属当代国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-QIZHONG-Q13
BJ-2024-HD-QIZHONG,13,②,选择题(题肢),X1,首判(c019),中,入境游拉动经济、双循环与外贸属经济；公共外交属当代国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-QIZHONG-Q13
BJ-2024-HD-QIZHONG,13,③,选择题(题肢),X1,首判(c019),中,入境游拉动经济、双循环与外贸属经济；公共外交属当代国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-QIZHONG-Q13
BJ-2024-HD-QIZHONG,13,④,选择题(题肢),X1,首判(c019),中,入境游拉动经济、双循环与外贸属经济；公共外交属当代国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-QIZHONG-Q13
BJ-2024-SY-ERMO,4,②,选择题(题肢),X1,首判(c021),高,文化民族性世界性、文明多样性属文化；②国家利益出发点属选必一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SY-ERMO-Q4
BJ-2025-DC-ERMO,8,C,选择题(题肢),X1,首判(c028),中,物流降本属经济发展；A简化审批一网通办涉政府职能，B2/B3边界未定（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-DC-ERMO-Q8
BJ-2025-DC-QIMO,8,B,选择题(题肢),X1,首判(c028),中,引进外资、营造公平投资环境属开放型经济；引进来走出去亦见X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-DC-QIMO-Q8
BJ-2025-DC-QIMO,8,C,选择题(题肢),X1,首判(c028),中,引进外资、营造公平投资环境属开放型经济；引进来走出去亦见X1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-DC-QIMO-Q8
BJ-2025-HD-ERMO,13,A,选择题(题肢),X1,首判(c034),高,划分、充分条件、三段论、选言，内容取自国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-ERMO-Q13
BJ-2025-HD-ERMO,13,B,选择题(题肢),X1,首判(c034),高,划分、充分条件、三段论、选言，内容取自国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-ERMO-Q13
BJ-2025-HD-ERMO,13,C,选择题(题肢),X1,首判(c034),高,划分、充分条件、三段论、选言，内容取自国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-ERMO-Q13
BJ-2025-HD-ERMO,13,D,选择题(题肢),X1,首判(c034),高,划分、充分条件、三段论、选言，内容取自国际政治（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-ERMO-Q13
BJ-2026-BJ-GAOKAO,14,②,选择题(题肢),X1,首判(c041),中,GNI与GDP、走出去属开放经济；贸易壁垒涉经济全球化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-BJ-GAOKAO-Q14
BJ-2026-BJ-GAOKAO,14,③,选择题(题肢),X1,首判(c041),中,GNI与GDP、走出去属开放经济；贸易壁垒涉经济全球化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-BJ-GAOKAO-Q14
BJ-2026-BJ-GAOKAO,14,④,选择题(题肢),X1,首判(c041),中,GNI与GDP、走出去属开放经济；贸易壁垒涉经济全球化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-BJ-GAOKAO-Q14
BJ-2026-BJ-GAOKAO,15,A,选择题(题肢),X1,首判(c041),高,双边合作、国际秩序、新型国际关系、人类命运共同体（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-BJ-GAOKAO-Q15
BJ-2026-BJ-GAOKAO,15,B,选择题(题肢),X1,首判(c041),高,双边合作、国际秩序、新型国际关系、人类命运共同体（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-BJ-GAOKAO-Q15
BJ-2026-BJ-GAOKAO,15,C,选择题(题肢),X1,首判(c041),高,双边合作、国际秩序、新型国际关系、人类命运共同体（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-BJ-GAOKAO-Q15
BJ-2026-BJ-GAOKAO,15,D,选择题(题肢),X1,首判(c041),高,双边合作、国际秩序、新型国际关系、人类命运共同体（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-BJ-GAOKAO-Q15
BJ-2026-CP-ERMO,14,④,选择题(题肢),X1,首判(c042),中,①科技创新产业链升级属经济；②中华文化走出去属文化；国际竞争涉国际经济（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CP-ERMO-Q14
BJ-2026-CP-ERMO,15,①,选择题(题肢),X1,首判(c042),中,一带一路、全球生态治理、传统安全属选必一；走出去兼必修二（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CP-ERMO-Q15
BJ-2026-CP-ERMO,15,②,选择题(题肢),X1,首判(c042),中,一带一路、全球生态治理、传统安全属选必一；走出去兼必修二（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CP-ERMO-Q15
BJ-2026-CP-ERMO,15,③,选择题(题肢),X1,首判(c042),中,一带一路、全球生态治理、传统安全属选必一；走出去兼必修二（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CP-ERMO-Q15
BJ-2026-CP-ERMO,15,④,选择题(题肢),X1,首判(c042),中,一带一路、全球生态治理、传统安全属选必一；走出去兼必修二（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CP-ERMO-Q15
