类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id,备注
漏收,BJ-2025-XC-QIMO,2025西城期末,20(1),主观题,主,完整题-有E1,首判(s040),中,读图说明全球汽车产业出口竞争格局变化，国际经济竞争兼产业竞争力,BJ-2025-XC-QIMO-Q20#1,
漏收,BJ-2026-BJ-GAOKAO,2026北京高考,14,选择题,跨,完整题-选择题照收,首判(c041),中,GNI与GDP、走出去属开放经济；贸易壁垒涉经济全球化,BJ-2026-BJ-GAOKAO-Q14,
漏收,BJ-2026-BJ-GAOKAO,2026北京高考,15,选择题,主,完整题-选择题照收,首判(c041),高,双边合作、国际秩序、新型国际关系、人类命运共同体,BJ-2026-BJ-GAOKAO-Q15,
漏收,BJ-2026-BJ-GAOKAO,2026北京高考,20,主观题,主,收-具名例外,升级复判(escs05),中,设问点名当代国际；细则综合国力、多极化、多边主义、联合国,BJ-2026-BJ-GAOKAO-Q20,
漏收,BJ-2026-CP-ERMO,2026昌平二模,14,选择题,跨,完整题-选择题照收,首判(c042),中,①科技创新产业链升级属经济；②中华文化走出去属文化；国际竞争涉国际经济,BJ-2026-CP-ERMO-Q14,
漏收,BJ-2026-CP-ERMO,2026昌平二模,15,选择题,主,完整题-选择题照收,首判(c042),中,一带一路、全球生态治理、传统安全属选必一；走出去兼必修二,BJ-2026-CP-ERMO-Q15,
漏收,BJ-2026-CP-ERMO,2026昌平二模,21,主观题,主,完整题-有E1,首判(s042),高,设问点名当代国际政治与经济；细则国家利益、全球治理、经济全球化,BJ-2026-CP-ERMO-Q21,
漏收,BJ-2026-CP-QIMO,2026昌平期末,14,选择题,主,完整题-选择题照收,首判(c042),中,新质生产力、数据要素、乡村振兴属经济；中非合作命运共同体属选必一,BJ-2026-CP-QIMO-Q14,
漏收,BJ-2026-CP-QIMO,2026昌平期末,15,选择题,主,完整题-选择题照收,金标(gold_final),高,全球治理倡议、金砖银行、国际调解院、可持续发展议程,BJ-2026-CP-QIMO-Q15,
漏收,BJ-2026-CP-QIMO,2026昌平期末,20(1),主观题,主,完整题-有E1,首判(s043),中,图表经济信息；细则落开放型经济、与世界共享机遇，属X1开放；外资与营收兼B2,BJ-2026-CP-QIMO-Q20#1,
漏收,BJ-2026-CP-QIMO,2026昌平期末,20(2),主观题,主,完整题-有E1,首判(s043),高,设问点名X1；细则含双循环、人才第一资源、产业结构优化升级等B2角度,BJ-2026-CP-QIMO-Q20#2,
漏收,BJ-2026-CY-ERMO,2026朝阳二模,1,选择题,跨,完整题-选择题照收,首判(c042),中,正确肢①以人民为中心②创新高质量发展属经济；④中国式现代化属必修一,BJ-2026-CY-ERMO-Q1,
漏收,BJ-2026-DC-QIMO,2026东城期末,21,主观题,跨,完整题-有E1,升级复判(escs05),低,综合所学区域协调发展；细则无得分点，按设问材料推断,BJ-2026-DC-QIMO-Q21,
漏收,BJ-2026-DC-QIMO,2026东城期末,6,选择题,跨,完整题-选择题照收,升级复判(escc04),低,题面为空，讲评片段仅见“人类命运共同体”，无法核推理归属,BJ-2026-DC-QIMO-Q6,
漏收,BJ-2026-FT-ERMO,2026丰台二模,22,主观题,跨,完整题-有E1,首判(s051),中,细则党的领导、唯物辩证法、中国式现代化；拓展含新质生产力、超前思维、国际竞争,BJ-2026-FT-ERMO-Q22,
漏收,BJ-2026-FT-QIMO,2026丰台期末,14,选择题,跨,完整题-选择题照收,首判(c050),中,海南自贸港封关：高水平开放、制度型开放、要素流动,BJ-2026-FT-QIMO-Q14,
漏收,BJ-2026-FT-QIMO,2026丰台期末,15,选择题,主,完整题-选择题照收,金标(gold_final),中,裁定：判断关键是亚投行作用；Skill将国际组织性质/专门性列为必修二排除，可持续发展仅作背景,BJ-2026-FT-QIMO-Q15,
漏收,BJ-2026-FT-QIMO,2026丰台期末,20,主观题,主,完整题-有E1,升级复判(escs06),中,评分块内题面点名《当代国际政治与经济》扩大利益汇合点；题面栏为空,BJ-2026-FT-QIMO-Q20,
漏收,BJ-2026-FT-YIMO,2026丰台一模,17,主观题,跨,完整题-有E1,首判(s052),中,设问点名《政治与法治》；仅参考答案：三者统一、科学民主立法；末条参与全球生态治理属X1,BJ-2026-FT-YIMO-Q17,
漏收,BJ-2026-HD-QIZHONG,2026海淀期中,1,选择题,跨,完整题-选择题照收,首判(c052),中,①历史时期贡献②基本国情③中特必由之路属B1；④国家利益属X1；缺答案键,BJ-2026-HD-QIZHONG-Q1,
漏收,BJ-2026-HD-QIZHONG,2026海淀期中,12,选择题,主,完整题-选择题照收,首判(c053),中,题肢考全球治理、国际秩序、发展模式，主属X1；B2仅绿色开放发展理念边缘可用,BJ-2026-HD-QIZHONG-Q12,
漏收,BJ-2026-HD-YIMO,2026海淀一模,3,选择题,主,完整题-选择题照收,首判(c053),中,①②思维间接性、感性认识属思维；③④和平发展、国家利益落脚点属X1,BJ-2026-HD-YIMO-Q3,
漏收,BJ-2026-SJS-ERMO,2026石景山二模,18,主观题,主,完整题-有E1,首判(s055),高,设问点名当代国际政治与经济；E1国家利益、经济全球化、命运共同体,BJ-2026-SJS-ERMO-Q18,
漏收,BJ-2026-SJS-QIMO,2026石景山期末,19(2),主观题,主,收-具名例外,首判(s055),中,设问点名当代国际政治与经济；E3参考时代潮流、命运共同体、全球治理观,BJ-2026-SJS-QIMO-Q19#2,
漏收,BJ-2026-SJS-QIMO,2026石景山期末,4,选择题,跨,收-具名例外,首判(c054),中,统一大市场属经济；①行政裁量权属法治政府；④外贸,BJ-2026-SJS-QIMO-Q4,
漏收,BJ-2026-SY-ERMO,2026顺义二模,20,主观题,主,完整题-有E1,首判(s056),高,设问点名当代国际；细则新型国际关系、独立自主外交、全球化,BJ-2026-SY-ERMO-Q20,
漏收,BJ-2026-TZ-QIMO,2026通州期末,21,主观题,跨,完整题-有E1,升级复判(escs07),低,综合运用：党中央统揽全局、新发展理念与开放就业、理论创新引领实践；无细则,BJ-2026-TZ-QIMO-Q21,
漏收,BJ-2026-XC-QIMO,2026西城期末,2,选择题,跨,完整题-选择题照收,首判(c058),中,开放格局、比较优势属必修二/选必一；①党的决策涉必修三；③改革开放地位属必修一,BJ-2026-XC-QIMO-Q2,
漏收,BJ-2026-YQ-YIMO,2026延庆一模,19(2),主观题,主,完整题-有E1,升级复判(escs07),高,设问点名当代国际政治与经济；细则国家利益、时代潮流、命运共同体,BJ-2026-YQ-YIMO-Q19#2,
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,16,主观题,主,完整题-有E1（题库回溯确认，2026-09-24 归属表返修）,升级复判(escs01),中,点名中国特色社会主义与国际政治经济；细则含社会基本矛盾、人类命运共同体,BJ-2023-HD-QIZHONG-Q16,待核证据转正：bank.py get 已定位正式评分材料/rubric_status已匹配
漏收,BJ-2023-HD-QIZHONG,2024海淀期中,23,主观题,主,完整题-有E1（题库回溯确认，2026-09-24 归属表返修）,首判(s010),中,设问点名当代国际政治与经济；细则多极化/全球化/外交/全球治理；仅参考答案提高水平开放,BJ-2023-HD-QIZHONG-Q23,待核证据转正：bank.py get 已定位正式评分材料/rubric_status已匹配
待核证据,BJ-2024-DC-YIMO,2024东城一模,16,主观题,跨,待裁决-证据未核实（题目md写明细则PPTX“已独立裁定为本卷详细题级评分主载体”，幻灯片26列有“16题阅卷细则”，rubric_links为“存在候选”，2026-09-24二次返修改回待核）,首判(s017),中,设问点名哲学与文化，细则哲3文4；写国际关系或命运共同体可得1分；细则未确认,BJ-2024-DC-YIMO-Q16,改回待核：此前因bank.py字面匹配误转负“不收-无E1”，实际题目md/rubric_links显示存在候选细则材料，未达“明确无E1”标准，改回待核证据，不计入漏收（2026-09-24二次返修更正）
漏收,BJ-2024-FT-ERMO,2024丰台二模,18(3),主观题,跨,完整题-有E1（题库回溯确认，2026-09-24 归属表返修）,升级复判(escs02),中,第3问点名《经济与社会》四角度；比较优势、两个市场可作X1角度,BJ-2024-FT-ERMO-Q18#3,待核证据转正：bank.py get 已定位正式评分材料/rubric_status已匹配
漏收,BJ-2025-DC-QIMO,2025东城期末,20,主观题,主,完整题-有E1（题库回溯确认，2026-09-24 归属表返修）,首判(s032),中,设问点名《当代国际政治与经济》；细则资源优化配置/市场秩序/消费者利益有B2角度,BJ-2025-DC-QIMO-Q20,待核证据转正：bank.py get 已定位正式评分材料/rubric_status已匹配
漏收,BJ-2025-HD-ERMO,2025海淀二模,22,主观题,跨,完整题-有E1（题库回溯确认，2026-09-24 归属表返修）,首判(s036),中,综合短文；细则列中国梦/现代化、全球化、企业经营、文化传播、法律、个人价值、党的领导,BJ-2025-HD-ERMO-Q22,待核证据转正：bank.py get 已定位正式评分材料/rubric_status已匹配
待核证据,BJ-2025-SJS-YIMO,2025石景山一模,17,主观题,主,待裁决-证据未核实,升级复判(escs04),中,两设问分别点名政治与法治、当代国际政治与经济；无细则,BJ-2025-SJS-YIMO-Q17,待核证据仍待核：bank.py 显示存在候选/存在冲突，未确认匹配
漏收,BJ-2026-CY-ERMO,2026朝阳二模,20(2),主观题,主,完整题-有E1（题库回溯确认，2026-09-24 归属表返修）,首判(s043),中,设问点名X1；细则三角度正文未转写，无法核PH角度,BJ-2026-CY-ERMO-Q20#2,待核证据转正：bank.py get 已定位正式评分材料/rubric_status已匹配
漏收,BJ-2026-FS-ERMO,2026房山二模,13,选择题,跨,完整题-选择题照收,首判(s049),高,选择题答C；②创新投入③国有经济布局属B2；④金融全球化属X1,BJ-2026-FS-ERMO-Q13,证据修正：该题为3分选择题，题库有四个选项、参考答案C，原文注明“未提供独立客观题正式细则”；按规则选择题照收，无需独立E1，原“不收-无E1”系误将其当主观题判定所致，改列入漏收（2026-09-24二次返修更正）
待核证据,BJ-2026-FT-QIMO,2026丰台期末,21,主观题,主,待裁决-证据未核实,升级复判(escs06),中,设问点名选必一，题目考四大全球倡议与人类命运共同体；细则缺失,BJ-2026-FT-QIMO-Q21,待核证据仍待核：bank.py 显示存在候选/存在冲突，未确认匹配
不收-无E1,BJ-2026-HD-QIZHONG,2026海淀期中,22(2),主观题,跨,不收-无E1（题库回溯确认，2026-09-24 归属表返修）,升级复判(escs06),低,综合运用所学谈民族复兴，细则缺失；可用发展观、百年变局、中国道路、党的领导,BJ-2026-HD-QIZHONG-Q22#2,待核证据转负：bank.py 未见正式评分材料/明确无E1
待核证据,BJ-2026-SJS-YIMO,2026石景山一模,20,主观题,主,待裁决-证据未核实,首判(s056),高,设问点名当代国际政治与经济；同卷细则共商共建共享、全球化,BJ-2026-SJS-YIMO-Q20,待核证据仍待核：bank.py 显示存在候选/存在冲突，未确认匹配
待核证据,BJ-2026-TZ-YIMO,2026通州一模,19,主观题,主,待裁决-证据未核实,金标(gold_final),中,设问点名当代国际政治与经济，元首外交；无细则,BJ-2026-TZ-YIMO-Q19,待核证据仍待核：bank.py 显示存在候选/存在冲突，未确认匹配
不收-无E1,BJ-2026-XC-ERMO,2026西城二模,19(2),主观题,主,不收-无E1（题库回溯确认，2026-09-24 归属表返修）,首判(s058),中,设问点名《当代国际政治与经济》；答案角度主权平等、开放合作等；细则缺失降级,BJ-2026-XC-ERMO-Q19#2,待核证据转负：bank.py 未见正式评分材料/明确无E1
待核证据,BJ-2026-XC-YIMO,2026西城一模,20(1),主观题,主,待裁决-证据未核实,升级复判(escs07),低,概括东盟贸易图表信息，答案落区域经济一体化；B2角度存疑,BJ-2026-XC-YIMO-Q20#1,待核证据仍待核：bank.py 显示存在候选/存在冲突，未确认匹配
漏收,BJ-2026-FS-ERMO,2026房山二模,21,主观题,跨,完整题-有E1,首判(s050),中,综合题；细则含新发展理念、党的全面领导、长征精神谱系、矛盾联系发展、人类命运共同体、科学思维 | 原题只有一问，按整题判；细则多模块角度同#1，至少2个模块,BJ-2026-FS-ERMO-Q21,OCR误切合并：questions.csv 仅 ocr_candidate 变体带 subq_hint，native/visual_checked 均无小问标注；书稿题面原文核对该题实为单问，原 2 条小问级候选（BJ-2026-FS-ERMO-Q21#1、BJ-2026-FS-ERMO-Q21#2）合并为整题
