类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id
漏收,BJ-2024-HD-QIZHONG,2025海淀期中,3,选择题,主,完整题-选择题照收,升级复判(escc03),中,二次元经济、创新作用、消费潜力、新增长点属经济与社会；④肢缺,BJ-2025-HD-QIZHONG-Q3
漏收,BJ-2024-HD-YIMO,2024海淀一模,1,选择题,跨,完整题-选择题照收,首判(c020),中,长征精神/精神谱系属CU；①以人民为中心有B2/B3角度；③④新时代表述归B1,BJ-2024-HD-YIMO-Q1
漏收,BJ-2024-SJS-YIMO,2024石景山一模,2,选择题,跨,完整题-选择题照收,首判(c020),中,实践历史性、生产力与生产关系属PH；③农业现代化有B2角度,BJ-2024-SJS-YIMO-Q2
漏收,BJ-2024-SY-ERMO,2024顺义二模,17,主观题,主,收-具名例外,首判(s024),中,答案物权平等保护属法律与生活；保护产权激发创新、市场经济基石属经济；生产关系调整,BJ-2024-SY-ERMO-Q17
漏收,BJ-2024-SY-ERMO,2024顺义二模,19(1),主观题,主,收-具名例外,升级复判(escs03),高,设问限定社会主义基本经济制度：分配、市场与政府、所有制；政治与法治属第2问,BJ-2024-SY-ERMO-Q19#1
漏收,BJ-2025-CP-ERMO,2025昌平二模,1,选择题,跨,完整题-选择题照收,首判(c024),中,正确项人心向背、B自我革命属党的领导；C公平共享涉经济；D主要考古语理解,BJ-2025-CP-ERMO-Q1
漏收,BJ-2025-CY-QIMO,2025朝阳期末,2,选择题,跨,完整题-选择题照收,首判(c026),中,D整体把握联系属哲学；B、C传统文化继承属文化；A基本公共服务属B2,BJ-2025-CY-QIMO-Q2
漏收,BJ-2025-FT-ERMO,2025丰台二模,21,主观题,跨,完整题-有E1,首判(s034),中,答案：唯物论辩证法、党的领导、对外开放；材料全面从严治党、基层治理可用B3,BJ-2025-FT-ERMO-Q21
漏收,BJ-2025-HD-YIMO,2025海淀一模,11,选择题,跨,完整题-选择题照收,首判(c035),中,合伙企业、有限公司、营利法人属选必二创业；①企业所得税涉必修二税收,BJ-2025-HD-YIMO-Q11
漏收,BJ-2025-SJS-YIMO,2025石景山一模,7,选择题,跨,完整题-选择题照收,金标(gold_final),低,裁定：题肢缺；传统产业顺应消费趋向创新，经济、哲学、创新思维均可能，拿不准一并标跨,BJ-2025-SJS-YIMO-Q7
漏收,BJ-2025-SY-YIMO,2025顺义一模,6,选择题,跨,完整题-选择题照收,首判(c037),中,主项、联言判断、划分、关系判断；③识别越级需知财政/货币政策层级,BJ-2025-SY-YIMO-Q6
漏收,BJ-2025-SY-YIMO,2025顺义一模,9,选择题,跨,完整题-选择题照收,首判(c037),中,政府便民服务、全民守法、执法司法属必修三；①公共服务可用必修二角度,BJ-2025-SY-YIMO-Q9
漏收,BJ-2025-XC-QIMO,2025西城期末,16,主观题,跨,完整题-有E1,金标(gold_final),低,裁定：题面缺，设问点名册不可知；E1(1)文化传承与文化产业、(2)资源配置与政务公开，三册均跨,BJ-2025-XC-QIMO-Q16
漏收,BJ-2025-XC-YIMO,2025西城一模,8,选择题,跨,完整题-选择题照收,首判(c039),中,政务服务效能、公民义务属B3；宏观调控市场监管属B2；图缺,BJ-2025-XC-YIMO-Q8
漏收,BJ-2026-CP-ERMO,2026昌平二模,12,选择题,主,完整题-选择题照收,首判(c041),高,研发投入、实体经济、产业结构优化，均经济；图表仅为图片,BJ-2026-CP-ERMO-Q12
漏收,BJ-2026-CP-ERMO,2026昌平二模,13,选择题,主,完整题-选择题照收,升级复判(escc04),中,①公共服务均等化非平均化；②政府职能不因试点拓宽；④治理现代化,BJ-2026-CP-ERMO-Q13
漏收,BJ-2026-CP-ERMO,2026昌平二模,14,选择题,主,完整题-选择题照收,首判(c042),中,①科技创新产业链升级属经济；②中华文化走出去属文化；国际竞争涉国际经济,BJ-2026-CP-ERMO-Q14
漏收,BJ-2026-CP-ERMO,2026昌平二模,15,选择题,跨,完整题-选择题照收,首判(c042),中,一带一路、全球生态治理、传统安全属选必一；走出去兼必修二,BJ-2026-CP-ERMO-Q15
漏收,BJ-2026-CP-ERMO,2026昌平二模,2,选择题,跨,完整题-选择题照收,升级复判(escc04),中,①规律③人为联系④尊重规律为前提属哲学；②政府履行生态惠民职能,BJ-2026-CP-ERMO-Q2
漏收,BJ-2026-CP-ERMO,2026昌平二模,20,主观题,主,完整题-有E1,首判(s042),高,设问点名经济与社会；细则扩大内需、宏观调控、市场决定性作用,BJ-2026-CP-ERMO-Q20
漏收,BJ-2026-CP-ERMO,2026昌平二模,22,主观题,主,完整题-有E1,首判(s042),中,综合题；必答党的领导(B3)；创新开放以人民为中心(B2)；系统观念从实际出发(PH)；超前思维(MI),BJ-2026-CP-ERMO-Q22
漏收,BJ-2026-CP-QIMO,2026昌平期末,1,选择题,跨,完整题-选择题照收,首判(c042),中,正确肢②④革命文化、理想信念属文化；①社会主义制度确立属必修一,BJ-2026-CP-QIMO-Q1
漏收,BJ-2026-CP-QIMO,2026昌平期末,12,选择题,主,完整题-选择题照收,首判(c042),中,市场配置资源、生态补偿、区域协调属经济；①所有权涉物权,BJ-2026-CP-QIMO-Q12
漏收,BJ-2026-CP-QIMO,2026昌平期末,13,选择题,主,完整题-选择题照收,首判(c042),高,零基预算、财政支出结构与资金效益属必修二财政,BJ-2026-CP-QIMO-Q13
漏收,BJ-2026-CP-QIMO,2026昌平期末,14,选择题,主,完整题-选择题照收,首判(c042),中,新质生产力、数据要素、乡村振兴属经济；中非合作命运共同体属选必一,BJ-2026-CP-QIMO-Q14
漏收,BJ-2026-CP-QIMO,2026昌平期末,18,主观题,跨,完整题-有E1,首判(s042),中,设问点名法律与生活，考著作权侵权；法治价值含规范市场秩序、公平竞争、营商环境,BJ-2026-CP-QIMO-Q18
漏收,BJ-2026-CP-QIMO,2026昌平期末,20(1),主观题,跨,完整题-有E1,首判(s043),中,图表经济信息；细则落开放型经济、与世界共享机遇，属X1开放；外资与营收兼B2,BJ-2026-CP-QIMO-Q20#1
漏收,BJ-2026-CP-QIMO,2026昌平期末,20(2),主观题,跨,完整题-有E1,首判(s043),高,设问点名X1；细则含双循环、人才第一资源、产业结构优化升级等B2角度,BJ-2026-CP-QIMO-Q20#2
漏收,BJ-2026-CP-QIMO,2026昌平期末,21,主观题,跨,完整题-有E1,金标(gold_final),低,细则只要求两本教材三角度；答案战略步骤道路自信属必修一，制度优势属政治,BJ-2026-CP-QIMO-Q21
漏收,BJ-2026-CP-QIMO,2026昌平期末,4,选择题,跨,完整题-选择题照收,首判(c042),中,①价值与需要、②新旧事物属哲学；③④传统文化、文化与经济交融,BJ-2026-CP-QIMO-Q4
漏收,BJ-2026-CY-ERMO,2026朝阳二模,9,选择题,跨,完整题-选择题照收,首判(c042),中,①文化自觉属文化；③法治化、④法治政府属必修三；决定性作用涉经济,BJ-2026-CY-ERMO-Q9
漏收,BJ-2026-CY-YIMO,2026朝阳一模,1,选择题,跨,完整题-选择题照收,首判(c044),中,从实际出发、出发点、务实作为；②新发展格局时代错置需B2,BJ-2026-CY-YIMO-Q1
漏收,BJ-2026-CY-YIMO,2026朝阳一模,18,主观题,跨,完整题-有E1,金标(gold_final),中,裁定：E1关键词有维护市场秩序(B2)与法治环境/法治社会三选一(B3)，均为得分角度,BJ-2026-CY-YIMO-Q18
漏收,BJ-2026-DC-ERMO,2026东城二模,1,选择题,跨,完整题-选择题照收,升级复判(escc04),中,①党的领导最大优势（必修三保留项）；③道路、④根本原因属必修一,BJ-2026-DC-ERMO-Q1
漏收,BJ-2026-DC-ERMO,2026东城二模,4,选择题,跨,完整题-选择题照收,首判(c045),中,认识与实践、对立统一属哲学；聚合思维属思维；数据要素涉经济，拿不准标跨,BJ-2026-DC-ERMO-Q4
漏收,BJ-2026-DC-ERMO,2026东城二模,9,选择题,跨,完整题-选择题照收,首判(c046),中,公民政治权利、柔性执法、公共政策属必修三；B肢以人民为中心可涉必修二,BJ-2026-DC-ERMO-Q9
漏收,BJ-2026-DC-QIMO,2026东城期末,14,选择题,跨,完整题-选择题照收,首判(c047),中,国际竞争实质、全球治理均属选必一；B肢企业出海涉经济；无答案键,BJ-2026-DC-QIMO-Q14
漏收,BJ-2026-DC-YIMO,2026东城一模,11,选择题,跨,完整题-选择题照收,首判(c048),高,肖像声音权益、法人类型、举证责任属选必二；A所得税涉必修二税收,BJ-2026-DC-YIMO-Q11
漏收,BJ-2026-FS-ERMO,2026房山二模,1,选择题,跨,完整题-选择题照收,升级复判(escc04),中,历史时期与成就属必修一；④把握社会主义建设规律属科学执政,BJ-2026-FS-ERMO-Q1
漏收,BJ-2026-FT-YIMO,2026丰台一模,3,选择题,跨,完整题-选择题照收,首判(c050),中,地方人大协同立法属B3；④京津冀协同发展战略涉区域协调发展,BJ-2026-FT-YIMO-Q3
漏收,BJ-2026-HD-QIMO,2026海淀期末,15,选择题,跨,完整题-选择题照收,首判(c052),中,检核表法、创造性、综合思维属思维；③公共服务供给对接人民需求涉政府职能,BJ-2026-HD-QIMO-Q15
漏收,BJ-2026-HD-QIMO,2026海淀期末,4,选择题,跨,完整题-选择题照收,首判(c052),中,①辩证否定、②人民主体属哲学；③文化与经济交融、④传统民本思想转化属文化,BJ-2026-HD-QIMO-Q4
漏收,BJ-2026-HD-QIZHONG,2026海淀期中,10,选择题,跨,完整题-选择题照收,首判(c052),中,民族区域自治、民族关系、自治权属B3；③区域发展差距涉B2,BJ-2026-HD-QIZHONG-Q10
漏收,BJ-2026-HD-YIMO,2026海淀一模,18(3),主观题,跨,完整题-有E1,升级复判(escs06),低,题面为空，E1只给第1、2问，缺第3问（约7分）内容，无法判定,BJ-2026-HD-YIMO-Q18#3
漏收,BJ-2026-MTG-YIMO,2026门头沟一模,11,选择题,跨,完整题-选择题照收,首判(c054),中,反不正当竞争、专利/商业秘密；③维护市场秩序有经济角度,BJ-2026-MTG-YIMO-Q11
漏收,BJ-2026-MTG-YIMO,2026门头沟一模,3,选择题,跨,完整题-选择题照收,首判(c053),中,思想道德素养、公共文化服务属文化；A社会保障B2；C政府职能涉B3,BJ-2026-MTG-YIMO-Q3
漏收,BJ-2026-SJS-QIMO,2026石景山期末,19(1),主观题,主,收-具名例外,首判(s055),中,设问点名经济与社会；E3参考新质生产力、现代化产业体系、高质量发展,BJ-2026-SJS-QIMO-Q19#1
漏收,BJ-2026-SJS-QIMO,2026石景山期末,20(1),主观题,跨,收-具名例外,首判(s055),中,综合题；E3参考党的领导、政府职能、新发展理念、按规律办事、创新思维,BJ-2026-SJS-QIMO-Q20#1
漏收,BJ-2026-SJS-QIMO,2026石景山期末,20(2),主观题,跨,收-具名例外,升级复判(escs06),中,E3角度：党的领导、政府职能、新发展理念、按规律办事、创新思维,BJ-2026-SJS-QIMO-Q20#2
漏收,BJ-2026-SJS-QIMO,2026石景山期末,6,选择题,跨,收-具名例外,首判(c055),中,答①④：①高质量发展B2，④辩证/系统观念PH；②历史方位主要矛盾B1,BJ-2026-SJS-QIMO-Q6
漏收,BJ-2026-XC-ERMO,2026西城二模,11,选择题,跨,完整题-选择题照收,首判(c058),中,婚前财产、夫妻共同财产属选必二；抵押融资与公司有限责任涉必修二,BJ-2026-XC-ERMO-Q11
漏收,BJ-2026-XC-ERMO,2026西城二模,9,选择题,跨,完整题-选择题照收,首判(c058),中,财产权人身权救济属选必二；政府履职、居委会调解涉必修三；市场调节价涉必修二,BJ-2026-XC-ERMO-Q9
漏收,BJ-2026-XC-QIMO,2026西城期末,17,主观题,跨,完整题-有E1,首判(s058),中,运用法律知识析反不正当竞争/未保法；细则价值分析含法治观念(B3)、公平竞争市场(B2),BJ-2026-XC-QIMO-Q17
漏收,BJ-2026-XC-QIMO,2026西城期末,20(1),主观题,跨,完整题-有E1,首判(s058),高,设问点名国际政治与经济；细则角度1含绿色发展/新发展理念、有为政府+有效市场(B2),BJ-2026-XC-QIMO-Q20#1
漏收,BJ-2026-XC-QIMO,2026西城期末,20(2),主观题,跨,完整题-有E1,升级复判(escs07),中,题面仅一问(点名国际政治与经济)；细则含新发展理念/有为政府有效市场,BJ-2026-XC-QIMO-Q20#2
待核证据,BJ-2024-HD-YIMO,2024海淀一模,17(3),主观题,跨,待裁决-证据未核实,升级复判(escs02),中,第3问点名《政治与法治》依法行政；细则替代含宏观调控B2,BJ-2024-HD-YIMO-Q17#3
待核证据,BJ-2024-SJS-YIMO,2024石景山一模,17,主观题,跨,待裁决-证据未核实,首判(s023),中,要约承诺合同成立、民法基本原则；答案意义含要素市场化改革、市场秩序,BJ-2024-SJS-YIMO-Q17
待核证据,BJ-2024-SJS-YIMO,2024石景山一模,20,主观题,跨,待裁决-证据未核实,首判(s024),中,综合运用所学；答案角度党的领导、制度优势、经济社会发展、国家治理、文化自信,BJ-2024-SJS-YIMO-Q20
待核证据,BJ-2025-CY-YIMO,2025朝阳一模,17(1),主观题,跨,待裁决-证据未核实,升级复判(escs03),低,题面缺失，无法核实第1问考查册别,BJ-2025-CY-YIMO-Q17#1
待核证据,BJ-2025-SY-YIMO,2025顺义一模,17,主观题,跨,待裁决-证据未核实,首判(s038),中,(1)假言/选言判断属推理；(2)点名政治与法治；细则政府宏观调控职能有B2角度,BJ-2025-SY-YIMO-Q17
待核证据,BJ-2025-SY-YIMO,2025顺义一模,19,主观题,跨,待裁决-证据未核实,首判(s038),中,(1)点名法律与生活；(2)细则含社会治理公平正义及维护公平市场竞争秩序角度,BJ-2025-SY-YIMO-Q19
待核证据,BJ-2026-CP-QIMO,2026昌平期末,19(1),主观题,主,待裁决-证据未核实,首判(s042),中,第1问点名经济与社会；细则政府经济职能、有效市场有为政府、新发展理念；证据待裁决降级,BJ-2026-CP-QIMO-Q19#1
待核证据,BJ-2026-CY-YIMO,2026朝阳一模,21,主观题,跨,待裁决-证据未核实,首判(s046),中,细则要求三模块；人大立法、三者统一属B3；历史唯物主义属PH；高质量发展仅弱B2,BJ-2026-CY-YIMO-Q21
待核证据,BJ-2026-FT-YIMO,2026丰台一模,21,主观题,跨,待裁决-证据未核实,金标(gold_final),低,综合题；细则结构为识变应变求变辩证统一；材料含高质量发展与党的领导,BJ-2026-FT-YIMO-Q21
待核证据,BJ-2026-TZ-YIMO,2026通州一模,21,主观题,跨,待裁决-证据未核实,升级复判(escs07),低,综合运用：实干(实践观)、党员干部政绩观与河长制、民生；无细则,BJ-2026-TZ-YIMO-Q21
待核证据,BJ-2026-XC-YIMO,2026西城一模,21,主观题,跨,待裁决-证据未核实,升级复判(escs07),中,答案角度：党的领导、人民立场、中国式现代化、守正创新、实践观,BJ-2026-XC-YIMO-Q21
