类别,卷,届别标签,题号_小问,题型,主或跨,证据状态,判定来源,conf,why,unit_id,备注
漏收,BJ-2026-CP-ERMO,2026昌平二模,6,选择题,主,完整题-选择题照收,首判(c041),高,性质判断换位、排中律、选言联言判断负判断，均推理,BJ-2026-CP-ERMO-Q6,
漏收,BJ-2026-CP-ERMO,2026昌平二模,7,选择题,主,完整题-选择题照收,首判(c041),高,A-C简单判断、完全归纳、演绎类比属推理；正确D超前思维属思维,BJ-2026-CP-ERMO-Q7,
漏收,BJ-2026-CP-QIMO,2026昌平期末,5,选择题,主,完整题-选择题照收,首判(c042),高,设问考概念外延关系，属推理,BJ-2026-CP-QIMO-Q5,
漏收,BJ-2026-CP-QIMO,2026昌平期末,6,选择题,主,完整题-选择题照收,首判(c042),高,设问考三段论规则，属推理,BJ-2026-CP-QIMO-Q6,
漏收,BJ-2026-CP-QIMO,2026昌平期末,7,选择题,主,完整题-选择题照收,首判(c042),中,概念外延、类比推理、定义、判断属推理；D思维具体抽象涉思维,BJ-2026-CP-QIMO-Q7,
漏收,BJ-2026-CY-QIZHONG,2026朝阳期中,11,选择题,主,完整题-选择题照收,首判(c044),高,三段论补大前提，演绎推理规则,BJ-2026-CY-QIZHONG-Q11,
漏收,BJ-2026-CY-YIMO,2026朝阳一模,7,选择题,跨,完整题-选择题照收,首判(c045),中,形象/逻辑思维、超前思维、科学思维与推理可靠性；哲学认识论角度不明显,BJ-2026-CY-YIMO-Q7,
漏收,BJ-2026-SY-ERMO,2026顺义二模,18(1),主观题,主,完整题-有E1,升级复判(escs07),高,设问点名逻辑与思维；细则矛盾律(推理)+科学思维客观性(思维),BJ-2026-SY-ERMO-Q18#1,
漏收,BJ-2026-SY-ERMO,2026顺义二模,4,选择题,主,完整题-选择题照收,首判(c056),中,设问考概念外延关系，判断须用按劳/按要素分配知识,BJ-2026-SY-ERMO-Q4,
漏收,BJ-2026-SY-ERMO,2026顺义二模,7,选择题,主,完整题-选择题照收,首判(c056),中,①准确运用概念；②③④社区治理与法治保障,BJ-2026-SY-ERMO-Q7,
漏收,BJ-2026-XC-ERMO,2026西城二模,6,选择题,跨,完整题-选择题照收,首判(c058),中,联想、创新思维特征、想象属思维；④类比属推理；扬弃涉辩证否定,BJ-2026-XC-ERMO-Q6,
待核证据,BJ-2025-CY-YIMO,2025朝阳一模,17(2),主观题,跨,待裁决-证据未核实,升级复判(escs03),低,题面缺失，无法核实第2问考查册别,BJ-2025-CY-YIMO-Q17#2,待核证据仍待核：bank.py 显示存在候选/存在冲突，未确认匹配
待核证据,BJ-2025-HD-YIMO,2025海淀一模,21(2),主观题,跨,待裁决-证据未核实,升级复判(escs04),低,题面与(2)设问均缺失，无细则，无法判定,BJ-2025-HD-YIMO-Q21#2,待核证据仍待核：bank.py 显示存在候选/存在冲突，未确认匹配
不收-无E1,BJ-2026-XC-ERMO,2026西城二模,18(4),主观题,跨,不收-无E1（题库回溯确认，2026-09-24 归属表返修）,升级复判(escs07),中,设问点名逻辑与思维·提升思维品质；推理角度存疑标跨,BJ-2026-XC-ERMO-Q18#4,待核证据转负：bank.py 未见正式评分材料/明确无E1
漏收,BJ-2023-HD-YIMO,2023海淀一模,18,主观题,跨,完整题-有E1（题库回溯确认，2026-09-24 归属表返修）,升级复判(escs01),低,该题只有一问（8分，完善表格），“（一）至（四）”是表格栏目而非小问；侵权责任构成要件填空+对案件事实分析+法律效果及意义，民法典适用，题干以三段论框架组织,BJ-2023-HD-YIMO-Q18,假小问合并：原按18(1)-18(4)误列4行，现合并为整题（2026-09-24二次返修）
