卷,题号,题肢,题型,模块,判定来源,conf,why,unit_id
BJ-2023-HD-ERMO,7,②,选择题(题肢),B3,升级复判(escc01),中,共建共治共享、执法主体属B3；同一性斗争性属PH；无经济点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q7
BJ-2023-HD-ERMO,7,③,选择题(题肢),B3,升级复判(escc01),中,共建共治共享、执法主体属B3；同一性斗争性属PH；无经济点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q7
BJ-2023-HD-ERMO,7,④,选择题(题肢),B3,升级复判(escc01),中,共建共治共享、执法主体属B3；同一性斗争性属PH；无经济点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-ERMO-Q7
BJ-2023-HD-QIZHONG,10,①,选择题(题肢),B3,首判(c008),中,政府回应诉求、行政服务属必修三；提高资源利用效率可作必修二角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q10
BJ-2023-HD-QIZHONG,10,②,选择题(题肢),B3,首判(c008),中,政府回应诉求、行政服务属必修三；提高资源利用效率可作必修二角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q10
BJ-2023-HD-QIZHONG,10,④,选择题(题肢),B3,首判(c008),中,政府回应诉求、行政服务属必修三；提高资源利用效率可作必修二角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q10
BJ-2023-HD-QIZHONG,11,乙,选择题(题肢),B3,首判(c008),中,黄牛票治理：市场秩序与监管为主；经营者告知义务、消费者权益涉选必二（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q11
BJ-2023-HD-QIZHONG,11,丁,选择题(题肢),B3,首判(c008),中,黄牛票治理：市场秩序与监管为主；经营者告知义务、消费者权益涉选必二（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q11
BJ-2023-HD-QIZHONG,13,C,选择题(题肢),B3,升级复判(escc01),中,联合国机构、国际合作属X1；文化遗产涉CU；C民族关系属B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q13
BJ-2023-HD-QIZHONG,2,②,选择题(题肢),B3,升级复判(escc01),高,初级阶段、中国式现代化、中国梦属B1；②党的领导（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-QIZHONG-Q2
BJ-2023-HD-YIMO,2,①,选择题(题肢),B3,首判(c009),中,设问折射党，考初心使命与执政；②④涉土地制度、分配制度，B2角度弱（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q2
BJ-2023-HD-YIMO,2,②,选择题(题肢),B3,首判(c009),中,设问折射党，考初心使命与执政；②④涉土地制度、分配制度，B2角度弱（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q2
BJ-2023-HD-YIMO,2,③,选择题(题肢),B3,首判(c009),中,设问折射党，考初心使命与执政；②④涉土地制度、分配制度，B2角度弱（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q2
BJ-2023-HD-YIMO,2,④,选择题(题肢),B3,首判(c009),中,设问折射党，考初心使命与执政；②④涉土地制度、分配制度，B2角度弱（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-HD-YIMO-Q2
BJ-2023-XC-YIMO,14,③,选择题(题肢),B3,首判(c011),中,名誉权、管辖、举证责任属法律与生活；③公民监督权涉必修三（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2023-XC-YIMO-Q14
BJ-2024-CY-ERMO,13,B,选择题(题肢),B3,首判(c012),中,单一制、特别行政区高度自治属X1国家结构形式；B肢国家安全观可涉B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-CY-ERMO-Q13
BJ-2024-DC-YIMO,1,④,选择题(题肢),B3,金标(gold_final),中,裁定：④党领导人民奋斗创造幸福生活属初心使命B3，未涉边界卡B1清单(发展史/理论地位等)，不标B1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-DC-YIMO-Q1
BJ-2024-FT-YIMO,1,③,选择题(题肢),B3,首判(c017),中,长征精神革命文化、红色血脉(CU)；③党的初心使命属B3；②现代化新征程属B1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-FT-YIMO-Q1
BJ-2024-HD-QIZHONG,12,①,选择题(题肢),B3,升级复判(escc03),低,总体国家安全观；①国家利益涉X1，④新发展格局涉B2，国家安全归属存疑（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-QIZHONG-Q12
BJ-2024-HD-QIZHONG,12,②,选择题(题肢),B3,升级复判(escc03),低,总体国家安全观；①国家利益涉X1，④新发展格局涉B2，国家安全归属存疑（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-QIZHONG-Q12
BJ-2024-HD-QIZHONG,12,③,选择题(题肢),B3,升级复判(escc03),低,总体国家安全观；①国家利益涉X1，④新发展格局涉B2，国家安全归属存疑（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-QIZHONG-Q12
BJ-2024-HD-QIZHONG,12,④,选择题(题肢),B3,升级复判(escc03),低,总体国家安全观；①国家利益涉X1，④新发展格局涉B2，国家安全归属存疑（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-HD-QIZHONG-Q12
BJ-2024-HD-YIMO,1,①,选择题(题肢),B3,首判(c020),中,长征精神/精神谱系属CU；①以人民为中心有B2/B3角度；③④新时代表述归B1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-YIMO-Q1
BJ-2024-HD-YIMO,12,③,选择题(题肢),B3,首判(c020),中,企业经营、供求与市场主体属B2；③政府为人民服务有B3角度（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-HD-YIMO-Q12
BJ-2024-SJS-YIMO,1,①,选择题(题肢),B3,首判(c020),中,依法执政、党对军队绝对领导、思想政治工作属B3党的领导与建设（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SJS-YIMO-Q1
BJ-2024-SJS-YIMO,1,②,选择题(题肢),B3,首判(c020),中,依法执政、党对军队绝对领导、思想政治工作属B3党的领导与建设（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SJS-YIMO-Q1
BJ-2024-SJS-YIMO,1,③,选择题(题肢),B3,首判(c020),中,依法执政、党对军队绝对领导、思想政治工作属B3党的领导与建设（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SJS-YIMO-Q1
BJ-2024-SJS-YIMO,1,④,选择题(题肢),B3,首判(c020),中,依法执政、党对军队绝对领导、思想政治工作属B3党的领导与建设（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SJS-YIMO-Q1
BJ-2024-SJS-YIMO,13,③,选择题(题肢),B3,金标(gold_final),低,裁定：④道德教化、守信氛围有文化/道德建设角度但为错肢，CU用处存疑，按拿不准标跨并暂缓（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SJS-YIMO-Q13
BJ-2024-SJS-YIMO,7,②,选择题(题肢),B3,首判(c021),中,概念外延关系属推理；各肢须用财产权/国体政体/主要矛盾/领土知识（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SJS-YIMO-Q7
BJ-2024-SY-ERMO,11,①,选择题(题肢),B3,首判(c022),高,名誉权侵权、上诉、举证责任属X2；①批评监督权涉B3公民政治权利（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SY-ERMO-Q11
BJ-2024-SY-ERMO,15,①,选择题(题肢),B3,首判(c022),中,单一制央地关系属X1国家结构形式；①国务院领导地方行政机关涉B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SY-ERMO-Q15
BJ-2024-SY-ERMO,15,②,选择题(题肢),B3,首判(c022),中,单一制央地关系属X1国家结构形式；①国务院领导地方行政机关涉B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SY-ERMO-Q15
BJ-2024-SY-ERMO,3,③,选择题(题肢),B3,首判(c021),中,文化与经济交融；矛盾分析法属哲学；逆向思维属思维；①仅泛论经济（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-SY-ERMO-Q3
BJ-2024-XC-YIMO,2,②,选择题(题肢),B3,首判(c023),中,实事求是、实践目的属哲学；①③产业带动致富、要素投入用经济（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2024-XC-YIMO-Q2
BJ-2025-BJ-GAOKAO,1,④,选择题(题肢),B3,首判(c023),中,传承革命文化、文化价值属文化；②社会主义制度创立属必修一；④党的初心使命（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-BJ-GAOKAO-Q1
BJ-2025-FS-YIMO,1,A,选择题(题肢),B3,升级复判(escc03),中,答B科技创新动力支撑属B2；C新时代、第二个百年目标属B1；A国家安全根本（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-FS-YIMO-Q1
BJ-2025-FS-YIMO,2,A,选择题(题肢),B3,首判(c030),高,正确肢D统筹兼顾、C整体部分属哲学；A良法之治、B全过程人民民主属必修三（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-FS-YIMO-Q2
BJ-2025-FS-YIMO,2,B,选择题(题肢),B3,首判(c030),高,正确肢D统筹兼顾、C整体部分属哲学；A良法之治、B全过程人民民主属必修三（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-FS-YIMO-Q2
BJ-2025-SY-YIMO,14,②,选择题(题肢),B3,升级复判(escc04),低,国家安全以政治安全为根本、国际安全为依托；公民国家安全意识可涉必修三（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-SY-YIMO-Q14
BJ-2025-XC-QIMO,1,②,选择题(题肢),B3,首判(c038),中,群众观点、社会进步标准属哲学；共同记忆涉文化；缺答案键（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-XC-QIMO-Q1
BJ-2025-XC-QIMO,1,③,选择题(题肢),B3,首判(c038),中,群众观点、社会进步标准属哲学；共同记忆涉文化；缺答案键（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-XC-QIMO-Q1
BJ-2025-XC-YIMO,13,A,选择题(题肢),B3,首判(c039),中,全国统一大市场、劳动力市场属B2；A异地执法司法涉B3；题面缺D（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2025-XC-YIMO-Q13
BJ-2026-CP-ERMO,13,②,选择题(题肢),B3,升级复判(escc04),中,①公共服务均等化非平均化；②政府职能不因试点拓宽；④治理现代化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CP-ERMO-Q13
BJ-2026-CP-ERMO,13,④,选择题(题肢),B3,升级复判(escc04),中,①公共服务均等化非平均化；②政府职能不因试点拓宽；④治理现代化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CP-ERMO-Q13
BJ-2026-CP-ERMO,2,②,选择题(题肢),B3,升级复判(escc04),中,①规律③人为联系④尊重规律为前提属哲学；②政府履行生态惠民职能（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CP-ERMO-Q2
BJ-2026-CP-QIMO,3,④,选择题(题肢),B3,升级复判(escc04),中,①最高价值标准②主要矛盾③联系客观性属哲学；④政府治理文化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CP-QIMO-Q3
BJ-2026-CY-QIZHONG,9,①,选择题(题肢),B3,升级复判(escc04),中,铸牢中华民族共同体意识属必修三；②文化基因用文化；④物质基础错位（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CY-QIZHONG-Q9
BJ-2026-CY-QIZHONG,9,②,选择题(题肢),B3,升级复判(escc04),中,铸牢中华民族共同体意识属必修三；②文化基因用文化；④物质基础错位（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CY-QIZHONG-Q9
BJ-2026-CY-QIZHONG,9,③,选择题(题肢),B3,升级复判(escc04),中,铸牢中华民族共同体意识属必修三；②文化基因用文化；④物质基础错位（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CY-QIZHONG-Q9
BJ-2026-CY-QIZHONG,9,④,选择题(题肢),B3,升级复判(escc04),中,铸牢中华民族共同体意识属必修三；②文化基因用文化；④物质基础错位（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-CY-QIZHONG-Q9
BJ-2026-DC-ERMO,2,①,选择题(题肢),B3,升级复判(escc04),中,②辩证否定④社会意识属哲学；③中华文明特性；无思维知识（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-DC-ERMO-Q2
BJ-2026-DC-QIMO,1,③,选择题(题肢),B3,首判(c046),中,中华民族现代文明、凝聚力量属文化；③党和国家政治品格涉必修三；无答案键（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-DC-QIMO-Q1
BJ-2026-DC-YIMO,9,②,选择题(题肢),B3,首判(c048),中,①根本动力属哲学社会基本矛盾；②③依法治国/学校依法履职；④现代化建设属必修一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-DC-YIMO-Q9
BJ-2026-DC-YIMO,9,③,选择题(题肢),B3,首判(c048),中,①根本动力属哲学社会基本矛盾；②③依法治国/学校依法履职；④现代化建设属必修一（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-DC-YIMO-Q9
BJ-2026-FS-ERMO,1,④,选择题(题肢),B3,升级复判(escc04),中,历史时期与成就属必修一；④把握社会主义建设规律属科学执政（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-FS-ERMO-Q1
BJ-2026-FS-YIMO,10,①,选择题(题肢),B3,首判(c049),中,肖像权保护、著作权、侵权责任与举证属法律与生活；①守法意识可涉B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-FS-YIMO-Q10
BJ-2026-FS-YIMO,13,C,选择题(题肢),B3,首判(c049),中,国有经济、实体经济与科技创新属经济；C党组织作用属B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-FS-YIMO-Q13
BJ-2026-FT-ERMO,12,③,选择题(题肢),B3,首判(c049),中,市场主体活力、要素市场化配置属经济；③宏观调控与政府治理跨B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-FT-ERMO-Q12
BJ-2026-FT-QIMO,1,①,选择题(题肢),B3,首判(c050),中,④文化凝聚力量；③社会意识与社会存在；①党的领导；②主题表述属B1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-FT-QIMO-Q1
BJ-2026-FT-QIMO,11,③,选择题(题肢),B3,升级复判(escc05),中,四案例为民事/劳动/安保义务法律；③公正司法④法治德治属必修三；无经济考点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-FT-QIMO-Q11
BJ-2026-FT-QIMO,11,④,选择题(题肢),B3,升级复判(escc05),中,四案例为民事/劳动/安保义务法律；③公正司法④法治德治属必修三；无经济考点（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-FT-QIMO-Q11
BJ-2026-FT-QIMO,9,①,选择题(题肢),B3,升级复判(escc05),低,题面取自Q8切片串行OCR：人民政协职能属必修三；③弘扬科学精神涉文化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-FT-QIMO-Q9
BJ-2026-FT-QIMO,9,②,选择题(题肢),B3,升级复判(escc05),低,题面取自Q8切片串行OCR：人民政协职能属必修三；③弘扬科学精神涉文化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-FT-QIMO-Q9
BJ-2026-FT-QIMO,9,④,选择题(题肢),B3,升级复判(escc05),低,题面取自Q8切片串行OCR：人民政协职能属必修三；③弘扬科学精神涉文化（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-FT-QIMO-Q9
BJ-2026-HD-QIMO,15,③,选择题(题肢),B3,首判(c052),中,检核表法、创造性、综合思维属思维；③公共服务供给对接人民需求涉政府职能（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-HD-QIMO-Q15
BJ-2026-HD-QIMO,2,③,选择题(题肢),B3,首判(c052),中,①②④全面观点/价值选择/主要矛盾属哲学；③党员为人民服务宗旨属B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-HD-QIMO-Q2
BJ-2026-HD-QIMO,8,①,选择题(题肢),B3,首判(c052),中,婚姻登记、个人信息处理原则属X2；①②行政便民依法行政涉B3；CU角色不明（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-HD-QIMO-Q8
BJ-2026-HD-QIMO,8,②,选择题(题肢),B3,首判(c052),中,婚姻登记、个人信息处理原则属X2；①②行政便民依法行政涉B3；CU角色不明（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-HD-QIMO-Q8
BJ-2026-HD-YIMO,1,②,选择题(题肢),B3,首判(c053),中,③④长征精神属革命文化；②初心使命B3；①社会主义发展史归B1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-HD-YIMO-Q1
BJ-2026-HD-YIMO,15,④,选择题(题肢),B3,首判(c053),高,国家利益、联合国、全球治理属X1；④法律体系涉B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-HD-YIMO-Q15
BJ-2026-MTG-YIMO,1,①,选择题(题肢),B3,升级复判(escc05),中,建国历史意义属必修一；③赶考精神作为精神财富涉文化；①统一战线涉必修三（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-MTG-YIMO-Q1
BJ-2026-MTG-YIMO,2,④,选择题(题肢),B3,升级复判(escc05),中,抗战历史意义与民族复兴属必修一；④党是主心骨说明党的领导地位可入必修三（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-MTG-YIMO-Q2
BJ-2026-MTG-YIMO,3,C,选择题(题肢),B3,首判(c053),中,思想道德素养、公共文化服务属文化；A社会保障B2；C政府职能涉B3（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-MTG-YIMO-Q3
BJ-2026-SJS-QIMO,1,②,选择题(题肢),B3,首判(c054),中,③抗战精神/民族精神属文化；②党的全面领导属必修三；①历史阶段属B1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-SJS-QIMO-Q1
BJ-2026-SJS-QIMO,4,①,选择题(题肢),B3,首判(c054),中,统一大市场属经济；①行政裁量权属法治政府；④外贸（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-SJS-QIMO-Q4
BJ-2026-SJS-QIMO,6,③,选择题(题肢),B3,首判(c055),中,答①④：①高质量发展B2，④辩证/系统观念PH；②历史方位主要矛盾B1（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-SJS-QIMO-Q6
BJ-2026-SJS-QIMO,7,①,选择题(题肢),B3,首判(c055),高,全面从严治党、作风建设、党的纯洁性，均为必修三党建（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-SJS-QIMO-Q7
BJ-2026-SJS-QIMO,7,②,选择题(题肢),B3,首判(c055),高,全面从严治党、作风建设、党的纯洁性，均为必修三党建（无法机械核对该题肢是否已被其它入口单独收录，如实列出供人工核对）,BJ-2026-SJS-QIMO-Q7
