卷,届别标签,题号_小问,题型,最终rel,证据状态,判定来源,conf,why,unit_id
BJ-2023-HD-YIMO,2023海淀一模,12,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),中,司法保护、督促依法履职属B3；公益诉讼程序属X2；生态仅背景（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-YIMO-Q12
BJ-2023-HD-YIMO,2023海淀一模,14,选择题,(未列为相关),完整题-选择题照收,升级复判(escc01),高,全球安全倡议、国家利益、国际和平属X1；无经济与社会考点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-YIMO-Q14
BJ-2023-HD-YIMO,2023海淀一模,16,主观题,(未列为相关),待裁决-证据未核实,升级复判(escs01),中,点名政治与法治；批注与答案为人大代表、科学民主立法、法治政府、基层治理（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-HD-YIMO-Q16
BJ-2023-XC-ERMO,2023西城二模,10,选择题,(未列为相关),完整题-选择题照收,升级复判(escc02),中,诉前禁止令、侵权、诉讼调解属X2；③公正司法属B3；无经济角度（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-XC-ERMO-Q10
BJ-2023-XC-ERMO,2023西城二模,14,选择题,(未列为相关),完整题-选择题照收,升级复判(escc02),中,义利观、亲诚惠容、合作共赢均为中国外交政策知识，未考开放经济（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-XC-ERMO-Q14
BJ-2023-XC-ERMO,2023西城二模,17,主观题,(未列为相关),完整题-有E1,升级复判(escs01),中,细则三角度：文化需求、人民主体地位、地方特色；无经济得分角度（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-XC-ERMO-Q17
BJ-2023-XC-ERMO,2023西城二模,18,主观题,(未列为相关),完整题-有E1,升级复判(escs01),中,设问运用国际知识；细则为经济全球化必然性、开放合作、应对全球挑战（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-XC-ERMO-Q18
BJ-2023-XC-ERMO,2023西城二模,19,主观题,(未列为相关),完整题-有E1,升级复判(escs01),高,中特制度优势；细则为党的领导、人大政协职能、民主集中制（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-XC-ERMO-Q19
BJ-2023-XC-ERMO,2023西城二模,5,选择题,(未列为相关),完整题-选择题照收,升级复判(escc02),中,意识反映、联系观点、矛盾相对性均为哲学；经济仅作背景词（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-XC-ERMO-Q5
BJ-2023-XC-YIMO,2023西城一模,18,主观题,(未列为相关),完整题-有E1,升级复判(escs01),高,全过程人民民主入法的政治意义；细则为党的领导、人民民主、国家治理（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-XC-YIMO-Q18
BJ-2023-XC-YIMO,2023西城一模,19(1),主观题,(未列为相关),完整题-有E1,升级复判(escs01),中,运用法律知识；细则为诚信告知义务、全面履行合同、公平；市场秩序仅社会效果（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-XC-YIMO-Q19#1
BJ-2023-XC-YIMO,2023西城一模,19(2),主观题,(未列为相关),完整题-有E1,升级复判(escs01),中,法律角度谈诚信；细则为法律义务、交易安全秩序，替代含核心价值观（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-XC-YIMO-Q19#2
BJ-2023-XC-YIMO,2023西城一模,20,主观题,(未列为相关),完整题-有E1,升级复判(escs01),中,数字外交原因；细则为信息化多极化、国家利益、话语权；对内以人民为中心（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2023-XC-YIMO-Q20
BJ-2024-CY-ERMO,2024朝阳二模,20,主观题,(未列为相关),完整题-有E1,升级复判(escs02),中,设问点名《当代国际政治与经济》，全球气候治理原则与共识属X1；无B2得分角度（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-CY-ERMO-Q20
BJ-2024-DC-YIMO,2024东城一模,18(3),主观题,(未列为相关),待裁决-证据未核实,升级复判(escs02),中,第3问点名《逻辑与思维》，辩证否定、超前思维、对立统一；细则称只用经济分析为问题（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-DC-YIMO-Q18#3
BJ-2024-HD-QIZHONG,2025海淀期中,10,选择题,(未列为相关),完整题-选择题照收,升级复判(escc02),中,多元共治、科学立法属B3；③④诉讼与侵权责任属X2；无经济角度（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-HD-QIZHONG-Q10
BJ-2024-HD-QIZHONG,2025海淀期中,10,选择题,(未列为相关),完整题-选择题照收,升级复判(escc03),中,多方参与治理、立法关注特殊群体属B3；③④诉讼对象与责任需X2；无经济考点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-HD-QIZHONG-Q10
BJ-2024-HD-QIZHONG,2025海淀期中,11,选择题,(未列为相关),完整题-选择题照收,升级复判(escc02),高,司法局普法、公正司法辨析、协商民主、基层治理法治化均属B3（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-HD-QIZHONG-Q11
BJ-2024-HD-QIZHONG,2025海淀期中,14,选择题,(未列为相关),完整题-选择题照收,升级复判(escc02),高,政体元首、人类命运共同体、一中原则、区域组织均属X1（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-HD-QIZHONG-Q14
BJ-2024-HD-QIZHONG,2025海淀期中,15,选择题,(未列为相关),完整题-选择题照收,升级复判(escc02),中,APEC性质、结盟辨析、中国与国际组织属X1；无经济知识考点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-HD-QIZHONG-Q15
BJ-2024-HD-QIZHONG,2025海淀期中,15,选择题,(未列为相关),完整题-选择题照收,升级复判(escc03),中,APEC性质、多边主义、结盟、融入国际社会均属国际组织/X1（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-HD-QIZHONG-Q15
BJ-2024-HD-QIZHONG,2025海淀期中,19,主观题,(未列为相关),完整题-有E1,升级复判(escs02),高,设问点名《政治与法治》，细则党的先进性、从严治党、依规治党、依法治国；经济仅背景（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-HD-QIZHONG-Q19
BJ-2024-HD-QIZHONG,2025海淀期中,19,主观题,(未列为相关),完整题-有E1,升级复判(escs04),高,点名政治与法治；细则党的建设、从严治党、党内法规，无经济角度（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-HD-QIZHONG-Q19
BJ-2024-HD-QIZHONG,2025海淀期中,21(1),主观题,(未列为相关),完整题-有E1,升级复判(escs02),中,细则科学立法、良法、人人平等、保障人权属B3；婚姻家庭男女平等或涉X2（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-HD-QIZHONG-Q21#1
BJ-2024-HD-QIZHONG,2025海淀期中,21(1),主观题,(未列为相关),完整题-有E1,升级复判(escs04),中,(1)法治知识评良法；细则良法符合国情，涉夫妻债务权利义务（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-HD-QIZHONG-Q21#1
BJ-2024-HD-QIZHONG,2025海淀期中,21(2),主观题,(未列为相关),完整题-有E1,升级复判(escs02),中,设问点名《当代国际政治与经济》；细则“服务人民民主专政国家性质”1分涉B3（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-HD-QIZHONG-Q21#2
BJ-2024-HD-QIZHONG,2025海淀期中,21(2),主观题,(未列为相关),完整题-有E1,升级复判(escs04),中,(2)设问截断；细则外交背景宗旨目标准则，含国家性质（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-HD-QIZHONG-Q21#2
BJ-2024-XC-ERMO,2024西城二模,10,选择题,(未列为相关),完整题-选择题照收,金标(gold_final),中,尊重他国主权、单边措施、和平解决争端属国际政治；无经济知识（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2024-XC-ERMO-Q10
BJ-2025-CP-ERMO,2025昌平二模,18,主观题,(未列为相关),完整题-有E1,金标(gold_final),高,设问点名政治与法治；细则人民民主专政、全过程人民民主、人大与基层自治（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-CP-ERMO-Q18
BJ-2025-CY-QIMO,2025朝阳期末,17,主观题,(未列为相关),待裁决-证据未核实,升级复判(escs03),中,设问点名政治与法治：基层立法联系点、政协协商、基层自治，无经济设问；无细则（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-CY-QIMO-Q17
BJ-2025-DC-ERMO,2025东城二模,9,选择题,(未列为相关),完整题-选择题照收,升级复判(escc03),中,和平共处五项原则、多极化、多边主义、全球治理均为选必一；无经济与社会考点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-DC-ERMO-Q9
BJ-2025-HD-ERMO,2025海淀二模,21,主观题,(未列为相关),待裁决-证据未核实,金标(gold_final),高,设问点名当代国际政治与经济；细则联合国地位作用、中国地位与贡献（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-HD-ERMO-Q21
BJ-2025-SJS-YIMO,2025石景山一模,17,主观题,(未列为相关),待裁决-证据未核实,升级复判(escs04),中,两设问分别点名政治与法治、当代国际政治与经济；无细则（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-SJS-YIMO-Q17
BJ-2025-XC-ERMO,2025西城二模,18,主观题,(未列为相关),完整题-有E1,升级复判(escs05),中,设问点名法律与生活；细则民事行为能力、过错责任，无经济知识（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-XC-ERMO-Q18
BJ-2025-XC-ERMO,2025西城二模,20,主观题,(未列为相关),完整题-有E1,升级复判(escs05),中,细则党的性质宗旨、文化需求供给、群众主体、中国式现代化（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-XC-ERMO-Q20
BJ-2025-YQ-YIMO,2025延庆一模,17,主观题,(未列为相关),完整题-有E1,升级复判(escs05),中,设问点名政治与法治；细则协商民主、科学民主立法、有机统一（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2025-YQ-YIMO-Q17
BJ-2026-BJ-GAOKAO,2026北京高考,18(2),主观题,(未列为相关),收-具名例外,升级复判(escs05),中,设问点名政治与法治；细则政府职能、依法行政、基层治理（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-BJ-GAOKAO-Q18#2
BJ-2026-BJ-GAOKAO,2026北京高考,20,主观题,(未列为相关),收-具名例外,升级复判(escs05),中,设问点名当代国际；细则综合国力、多极化、多边主义、联合国（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-BJ-GAOKAO-Q20
BJ-2026-CY-QIMO,2026朝阳期末,14,选择题,(未列为相关),完整题-选择题照收,升级复判(escc04),中,多极化、全球治理、国际经济规则、多边开发机构均属选必一（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-CY-QIMO-Q14
BJ-2026-CY-QIMO,2026朝阳期末,15,选择题,(未列为相关),完整题-选择题照收,升级复判(escc04),中,APEC性质、争端解决、区域经济一体化均属选必一国际组织与全球化（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-CY-QIMO-Q15
BJ-2026-CY-QIMO,2026朝阳期末,7,选择题,(未列为相关),完整题-选择题照收,升级复判(escc04),高,全面从严治党责任制；C党不履行经济社会发展职能属党政关系（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-CY-QIMO-Q7
BJ-2026-CY-QIZHONG,2026朝阳期中,7,选择题,(未列为相关),完整题-选择题照收,升级复判(escc04),中,①②③实事求是与认识论；④文化产业两个效益统一；城市发展仅背景（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-CY-QIZHONG-Q7
BJ-2026-FT-QIMO,2026丰台期末,11,选择题,(未列为相关),完整题-选择题照收,升级复判(escc05),中,四案例为民事/劳动/安保义务法律；③公正司法④法治德治属必修三；无经济考点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-FT-QIMO-Q11
BJ-2026-FT-QIMO,2026丰台期末,15,选择题,(未列为相关),完整题-选择题照收,金标(gold_final),中,裁定：判断关键是亚投行作用；Skill将国际组织性质/专门性列为必修二排除，可持续发展仅作背景（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-FT-QIMO-Q15
BJ-2026-FT-QIMO,2026丰台期末,21,主观题,(未列为相关),待裁决-证据未核实,升级复判(escs06),中,设问点名选必一，题目考四大全球倡议与人类命运共同体；细则缺失（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-FT-QIMO-Q21
BJ-2026-SY-ERMO,2026顺义二模,1,选择题,(未列为相关),完整题-选择题照收,升级复判(escc05),中,①④现代化目标、道路属必修一；②③国际地位与共同繁荣涉国际政治；无经济考点（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-SY-ERMO-Q1
BJ-2026-SY-ERMO,2026顺义二模,15,选择题,(未列为相关),完整题-选择题照收,升级复判(escc05),高,国际组织性质、主权让渡、人类命运共同体均属当代国际政治与经济（chk=错收，供参考，非唯一依据；本表以“已收(小问精确)且最终rel未affirm本模块相关”为主判据）,BJ-2026-SY-ERMO-Q15
