asset_id,source_id,kind,page,path,note
S74dee7282b3f-p003,S74dee7282b3f,page_render,3,assets/S74dee7282b3f/pages/p003.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p004,S74dee7282b3f,page_render,4,assets/S74dee7282b3f/pages/p004.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p005,S74dee7282b3f,page_render,5,assets/S74dee7282b3f/pages/p005.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p006,S74dee7282b3f,page_render,6,assets/S74dee7282b3f/pages/p006.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p007,S74dee7282b3f,page_render,7,assets/S74dee7282b3f/pages/p007.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p008,S74dee7282b3f,page_render,8,assets/S74dee7282b3f/pages/p008.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p009,S74dee7282b3f,page_render,9,assets/S74dee7282b3f/pages/p009.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p010,S74dee7282b3f,page_render,10,assets/S74dee7282b3f/pages/p010.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p011,S74dee7282b3f,page_render,11,assets/S74dee7282b3f/pages/p011.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p012,S74dee7282b3f,page_render,12,assets/S74dee7282b3f/pages/p012.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p013,S74dee7282b3f,page_render,13,assets/S74dee7282b3f/pages/p013.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p014,S74dee7282b3f,page_render,14,assets/S74dee7282b3f/pages/p014.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p015,S74dee7282b3f,page_render,15,assets/S74dee7282b3f/pages/p015.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p016,S74dee7282b3f,page_render,16,assets/S74dee7282b3f/pages/p016.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p017,S74dee7282b3f,page_render,17,assets/S74dee7282b3f/pages/p017.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p018,S74dee7282b3f,page_render,18,assets/S74dee7282b3f/pages/p018.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p019,S74dee7282b3f,page_render,19,assets/S74dee7282b3f/pages/p019.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p020,S74dee7282b3f,page_render,20,assets/S74dee7282b3f/pages/p020.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p021,S74dee7282b3f,page_render,21,assets/S74dee7282b3f/pages/p021.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p022,S74dee7282b3f,page_render,22,assets/S74dee7282b3f/pages/p022.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p023,S74dee7282b3f,page_render,23,assets/S74dee7282b3f/pages/p023.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p024,S74dee7282b3f,page_render,24,assets/S74dee7282b3f/pages/p024.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p025,S74dee7282b3f,page_render,25,assets/S74dee7282b3f/pages/p025.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p026,S74dee7282b3f,page_render,26,assets/S74dee7282b3f/pages/p026.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p027,S74dee7282b3f,page_render,27,assets/S74dee7282b3f/pages/p027.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p028,S74dee7282b3f,page_render,28,assets/S74dee7282b3f/pages/p028.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p029,S74dee7282b3f,page_render,29,assets/S74dee7282b3f/pages/p029.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p030,S74dee7282b3f,page_render,30,assets/S74dee7282b3f/pages/p030.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p031,S74dee7282b3f,page_render,31,assets/S74dee7282b3f/pages/p031.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p032,S74dee7282b3f,page_render,32,assets/S74dee7282b3f/pages/p032.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p033,S74dee7282b3f,page_render,33,assets/S74dee7282b3f/pages/p033.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p034,S74dee7282b3f,page_render,34,assets/S74dee7282b3f/pages/p034.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p035,S74dee7282b3f,page_render,35,assets/S74dee7282b3f/pages/p035.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p036,S74dee7282b3f,page_render,36,assets/S74dee7282b3f/pages/p036.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p037,S74dee7282b3f,page_render,37,assets/S74dee7282b3f/pages/p037.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p038,S74dee7282b3f,page_render,38,assets/S74dee7282b3f/pages/p038.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p039,S74dee7282b3f,page_render,39,assets/S74dee7282b3f/pages/p039.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p040,S74dee7282b3f,page_render,40,assets/S74dee7282b3f/pages/p040.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p041,S74dee7282b3f,page_render,41,assets/S74dee7282b3f/pages/p041.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p042,S74dee7282b3f,page_render,42,assets/S74dee7282b3f/pages/p042.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p043,S74dee7282b3f,page_render,43,assets/S74dee7282b3f/pages/p043.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p044,S74dee7282b3f,page_render,44,assets/S74dee7282b3f/pages/p044.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p045,S74dee7282b3f,page_render,45,assets/S74dee7282b3f/pages/p045.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p046,S74dee7282b3f,page_render,46,assets/S74dee7282b3f/pages/p046.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p047,S74dee7282b3f,page_render,47,assets/S74dee7282b3f/pages/p047.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p048,S74dee7282b3f,page_render,48,assets/S74dee7282b3f/pages/p048.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-p049,S74dee7282b3f,page_render,49,assets/S74dee7282b3f/pages/p049.png,含图表/扫描内容的整页图，供显式打开核验
S74dee7282b3f-img-000,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-000.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-001,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-001.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-002,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-002.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-003,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-003.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-004,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-004.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-005,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-005.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-006,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-006.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-007,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-007.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-008,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-008.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-009,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-009.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-010,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-010.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-011,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-011.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-012,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-012.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-013,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-013.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-014,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-014.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-015,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-015.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-016,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-016.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-017,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-017.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-018,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-018.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-019,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-019.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-020,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-020.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-021,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-021.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-022,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-022.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-023,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-023.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-024,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-024.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-025,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-025.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-026,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-026.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-027,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-027.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-028,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-028.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-029,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-029.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-030,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-030.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-031,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-031.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-032,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-032.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-033,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-033.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-034,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-034.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-035,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-035.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-036,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-036.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-037,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-037.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-038,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-038.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-039,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-039.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-040,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-040.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-041,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-041.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-042,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-042.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-043,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-043.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-044,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-044.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-045,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-045.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-046,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-046.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-047,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-047.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S74dee7282b3f-img-048,S74dee7282b3f,embedded_image,,assets/S74dee7282b3f/embedded/img-048.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-p001,S848e2ed7e079,page_render,1,assets/S848e2ed7e079/pages/p001.png,含图表/扫描内容的整页图，供显式打开核验
S848e2ed7e079-p002,S848e2ed7e079,page_render,2,assets/S848e2ed7e079/pages/p002.png,含图表/扫描内容的整页图，供显式打开核验
S848e2ed7e079-p004,S848e2ed7e079,page_render,4,assets/S848e2ed7e079/pages/p004.png,含图表/扫描内容的整页图，供显式打开核验
S848e2ed7e079-p005,S848e2ed7e079,page_render,5,assets/S848e2ed7e079/pages/p005.png,含图表/扫描内容的整页图，供显式打开核验
S848e2ed7e079-p007,S848e2ed7e079,page_render,7,assets/S848e2ed7e079/pages/p007.png,含图表/扫描内容的整页图，供显式打开核验
S848e2ed7e079-p009,S848e2ed7e079,page_render,9,assets/S848e2ed7e079/pages/p009.png,含图表/扫描内容的整页图，供显式打开核验
S848e2ed7e079-img-000,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-000.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-001,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-001.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-002,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-002.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-003,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-003.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-004,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-004.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-005,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-005.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-006,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-006.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-007,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-007.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-008,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-008.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-009,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-009.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-010,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-010.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-011,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-011.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-012,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-012.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-013,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-013.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-014,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-014.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S848e2ed7e079-img-015,S848e2ed7e079,embedded_image,,assets/S848e2ed7e079/embedded/img-015.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
S184eb642c0ab-p001,S184eb642c0ab,page_render,1,assets/S184eb642c0ab/pages/p001.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p001,Sc8fc293be186,page_render,1,assets/Sc8fc293be186/pages/p001.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p002,Sc8fc293be186,page_render,2,assets/Sc8fc293be186/pages/p002.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p003,Sc8fc293be186,page_render,3,assets/Sc8fc293be186/pages/p003.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p004,Sc8fc293be186,page_render,4,assets/Sc8fc293be186/pages/p004.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p005,Sc8fc293be186,page_render,5,assets/Sc8fc293be186/pages/p005.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p006,Sc8fc293be186,page_render,6,assets/Sc8fc293be186/pages/p006.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p007,Sc8fc293be186,page_render,7,assets/Sc8fc293be186/pages/p007.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p008,Sc8fc293be186,page_render,8,assets/Sc8fc293be186/pages/p008.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p009,Sc8fc293be186,page_render,9,assets/Sc8fc293be186/pages/p009.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p010,Sc8fc293be186,page_render,10,assets/Sc8fc293be186/pages/p010.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-p011,Sc8fc293be186,page_render,11,assets/Sc8fc293be186/pages/p011.png,含图表/扫描内容的整页图，供显式打开核验
Sc8fc293be186-img-000,Sc8fc293be186,embedded_image,,assets/Sc8fc293be186/embedded/img-000.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sc8fc293be186-img-001,Sc8fc293be186,embedded_image,,assets/Sc8fc293be186/embedded/img-001.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sc8fc293be186-img-002,Sc8fc293be186,embedded_image,,assets/Sc8fc293be186/embedded/img-002.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
Sc8fc293be186-img-003,Sc8fc293be186,embedded_image,,assets/Sc8fc293be186/embedded/img-003.png,PDF 内嵌位图（矢量线条/组合图形不在此列，须看整页图）
