question_id,exam_id,qnum,material_source_id,material_rel_path,material_role,material_kind,pair_status,exam_rubric_status,overlap,num_from_name,evidence
BJ-2023-DC-YIMO-Q21,BJ-2023-DC-YIMO,21,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,已匹配正式材料,已匹配正式材料,1.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干719字/材料段721字)；分值文本 7；同题另一来源块状态较弱(已匹配正式材料)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-DC-YIMO-Q21,BJ-2023-DC-YIMO,21,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,已匹配正式材料,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第21题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干719字/材料段0字)；分值文本 7；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-DC-YIMO-Q1,BJ-2023-DC-YIMO,1,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第1题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干229字/材料段0字)
BJ-2023-DC-YIMO-Q1,BJ-2023-DC-YIMO,1,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第1题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干229字/材料段0字)
BJ-2023-DC-YIMO-Q2,BJ-2023-DC-YIMO,2,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第2题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干302字/材料段0字)
BJ-2023-DC-YIMO-Q2,BJ-2023-DC-YIMO,2,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第2题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干302字/材料段0字)
BJ-2023-DC-YIMO-Q3,BJ-2023-DC-YIMO,3,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第3题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干283字/材料段0字)
BJ-2023-DC-YIMO-Q3,BJ-2023-DC-YIMO,3,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第3题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干283字/材料段0字)
BJ-2023-DC-YIMO-Q4,BJ-2023-DC-YIMO,4,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第4题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干241字/材料段0字)
BJ-2023-DC-YIMO-Q4,BJ-2023-DC-YIMO,4,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第4题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干241字/材料段0字)
BJ-2023-DC-YIMO-Q5,BJ-2023-DC-YIMO,5,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第5题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干227字/材料段0字)
BJ-2023-DC-YIMO-Q5,BJ-2023-DC-YIMO,5,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第5题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干227字/材料段0字)
BJ-2023-DC-YIMO-Q6,BJ-2023-DC-YIMO,6,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第6题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干234字/材料段0字)
BJ-2023-DC-YIMO-Q6,BJ-2023-DC-YIMO,6,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第6题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干234字/材料段0字)
BJ-2023-DC-YIMO-Q7,BJ-2023-DC-YIMO,7,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第7题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干308字/材料段0字)
BJ-2023-DC-YIMO-Q7,BJ-2023-DC-YIMO,7,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第7题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干308字/材料段0字)
BJ-2023-DC-YIMO-Q8,BJ-2023-DC-YIMO,8,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第8题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干284字/材料段0字)
BJ-2023-DC-YIMO-Q8,BJ-2023-DC-YIMO,8,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第8题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干284字/材料段0字)
BJ-2023-DC-YIMO-Q9,BJ-2023-DC-YIMO,9,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第9题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干285字/材料段0字)
BJ-2023-DC-YIMO-Q9,BJ-2023-DC-YIMO,9,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第9题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干285字/材料段0字)
BJ-2023-DC-YIMO-Q10,BJ-2023-DC-YIMO,10,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第10题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干180字/材料段0字)
BJ-2023-DC-YIMO-Q10,BJ-2023-DC-YIMO,10,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第10题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干180字/材料段0字)
BJ-2023-DC-YIMO-Q11,BJ-2023-DC-YIMO,11,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第11题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干467字/材料段0字)
BJ-2023-DC-YIMO-Q11,BJ-2023-DC-YIMO,11,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第11题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干467字/材料段0字)
BJ-2023-DC-YIMO-Q12,BJ-2023-DC-YIMO,12,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第12题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干191字/材料段0字)
BJ-2023-DC-YIMO-Q12,BJ-2023-DC-YIMO,12,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第12题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干191字/材料段0字)
BJ-2023-DC-YIMO-Q13,BJ-2023-DC-YIMO,13,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第13题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干346字/材料段0字)
BJ-2023-DC-YIMO-Q13,BJ-2023-DC-YIMO,13,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第13题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干346字/材料段0字)
BJ-2023-DC-YIMO-Q14,BJ-2023-DC-YIMO,14,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第14题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干263字/材料段0字)
BJ-2023-DC-YIMO-Q14,BJ-2023-DC-YIMO,14,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第14题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干263字/材料段0字)
BJ-2023-DC-YIMO-Q15,BJ-2023-DC-YIMO,15,S55473ddd97c8,2023模拟题/2023各区模拟题(1)/各区一模/东城/2023.3高三政治一模统阅-题组长（细则讨论）.pptx,评分材料,正式评分材料,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第15题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干247字/材料段0字)
BJ-2023-DC-YIMO-Q15,BJ-2023-DC-YIMO,15,Sc90c72fbae63,2023模拟题/2023各区模拟题(1)/各区一模/东城/北京市东城区2022-2023学年度第二学期高三综合练习（一）思想政治答案.pdf,参考答案,参考答案,存在候选,存在候选,0.0,,考试身份同(BJ-2023-DC-YIMO)；文件名未限定题号；未能在材料正文定位到第15题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干247字/材料段0字)
BJ-2023-HD-QIZHONG-Q1,BJ-2023-HD-QIZHONG,1,S007642ce939e,2023模拟题/2023各区模拟题(1)/期末和期中/2023北京海淀高三（上）期中政治（教师版）.docx,教师版,参考答案,已匹配参考答案,仅有参考答案,1.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干259字/材料段260字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q1,BJ-2023-HD-QIZHONG,1,Sfe51d8a7d585,2023模拟题/2023各区模拟题(1)/期末和期中/23海淀政治期中评标(1).pdf,评分材料,正式评分材料,存在候选,仅有参考答案,0.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；未能在材料正文定位到第1题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干306字/材料段0字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q2,BJ-2023-HD-QIZHONG,2,S007642ce939e,2023模拟题/2023各区模拟题(1)/期末和期中/2023北京海淀高三（上）期中政治（教师版）.docx,教师版,参考答案,已匹配参考答案,仅有参考答案,1.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干280字/材料段281字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q2,BJ-2023-HD-QIZHONG,2,Sfe51d8a7d585,2023模拟题/2023各区模拟题(1)/期末和期中/23海淀政治期中评标(1).pdf,评分材料,正式评分材料,存在候选,仅有参考答案,0.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；未能在材料正文定位到第2题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干270字/材料段0字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q3,BJ-2023-HD-QIZHONG,3,S007642ce939e,2023模拟题/2023各区模拟题(1)/期末和期中/2023北京海淀高三（上）期中政治（教师版）.docx,教师版,参考答案,已匹配参考答案,仅有参考答案,1.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干260字/材料段261字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q3,BJ-2023-HD-QIZHONG,3,Sfe51d8a7d585,2023模拟题/2023各区模拟题(1)/期末和期中/23海淀政治期中评标(1).pdf,评分材料,正式评分材料,存在候选,仅有参考答案,0.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；未能在材料正文定位到第3题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干303字/材料段0字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q4,BJ-2023-HD-QIZHONG,4,S007642ce939e,2023模拟题/2023各区模拟题(1)/期末和期中/2023北京海淀高三（上）期中政治（教师版）.docx,教师版,参考答案,已匹配参考答案,仅有参考答案,1.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干406字/材料段406字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q4,BJ-2023-HD-QIZHONG,4,Sfe51d8a7d585,2023模拟题/2023各区模拟题(1)/期末和期中/23海淀政治期中评标(1).pdf,评分材料,正式评分材料,存在候选,仅有参考答案,0.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；未能在材料正文定位到第4题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干292字/材料段0字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q5,BJ-2023-HD-QIZHONG,5,S007642ce939e,2023模拟题/2023各区模拟题(1)/期末和期中/2023北京海淀高三（上）期中政治（教师版）.docx,教师版,参考答案,已匹配参考答案,仅有参考答案,1.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干178字/材料段180字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q5,BJ-2023-HD-QIZHONG,5,Sfe51d8a7d585,2023模拟题/2023各区模拟题(1)/期末和期中/23海淀政治期中评标(1).pdf,评分材料,正式评分材料,存在候选,仅有参考答案,0.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；未能在材料正文定位到第5题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干416字/材料段0字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q6,BJ-2023-HD-QIZHONG,6,S007642ce939e,2023模拟题/2023各区模拟题(1)/期末和期中/2023北京海淀高三（上）期中政治（教师版）.docx,教师版,参考答案,已匹配参考答案,仅有参考答案,1.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干183字/材料段184字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q6,BJ-2023-HD-QIZHONG,6,Sfe51d8a7d585,2023模拟题/2023各区模拟题(1)/期末和期中/23海淀政治期中评标(1).pdf,评分材料,正式评分材料,存在候选,仅有参考答案,0.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；未能在材料正文定位到第6题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干286字/材料段0字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q7,BJ-2023-HD-QIZHONG,7,S007642ce939e,2023模拟题/2023各区模拟题(1)/期末和期中/2023北京海淀高三（上）期中政治（教师版）.docx,教师版,参考答案,已匹配参考答案,仅有参考答案,1.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干353字/材料段354字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q7,BJ-2023-HD-QIZHONG,7,Sfe51d8a7d585,2023模拟题/2023各区模拟题(1)/期末和期中/23海淀政治期中评标(1).pdf,评分材料,正式评分材料,存在候选,仅有参考答案,0.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；未能在材料正文定位到第7题段，仅按同卷材料登记为候选；题干块6-gram重叠0.0000(题干312字/材料段0字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并
BJ-2023-HD-QIZHONG-Q8,BJ-2023-HD-QIZHONG,8,S007642ce939e,2023模拟题/2023各区模拟题(1)/期末和期中/2023北京海淀高三（上）期中政治（教师版）.docx,教师版,参考答案,已匹配参考答案,仅有参考答案,1.0,,考试身份同(BJ-2023-HD-QIZHONG)；文件名未限定题号；正文定位方式=题号起首；题干块6-gram重叠1.0000(题干282字/材料段283字)；同题另一来源块状态较弱(存在候选)，已按最强状态归并
