source_id,exam_id,rel_path,format,size,pages,role,role_evidence,is_assembly,year,school_year,region,institution,grade,stage,paper_type,version,exam_id_evidence,in_scope
S38162016129f,BJ-2023-CY-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√朝阳/202305朝阳高三2模政治试题.pdf,pdf,743076,7,原卷,路径/文件名含 试卷/试题/原卷,N,2023,2022-2023学年,朝阳,unknown,高三,二模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `各区二模` -> 二模; 路径含地区 朝阳,Y
Scd8eee06ecf3,BJ-2023-HD-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√海淀/海淀二模 细则(1).pptx,pptx,11575858,43,评分材料,路径/文件名含 细则/评标,N,2023,2022-2023学年,海淀,unknown,高三,二模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `海淀二模 细则(1).pptx` -> 二模; 路径含地区 海淀,Y
Sdf79f0c4f74e,BJ-2023-HD-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√海淀/海淀区2022-2023学年第二学期期末练习高三思想政治(1).pdf,pdf,785501,8,原卷,无角色线索,N,2023,2022-2023学年,海淀,unknown,高三,期末,期末考试,,顶层目录 2023模拟题; 最深含阶段段 `海淀区2022-2023学年第二学期期末练习高三思想政治(1).pdf` -> 期末; 路径含地区 海淀,Y
S0a294f8799f7,BJ-2023-HD-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√海淀/海淀区2022-2023学年第二学期期末练习高三思想政治参考答案 (2)(1).doc,doc,52224,unknown,参考答案,文件名含 答案,N,2023,2022-2023学年,海淀,unknown,高三,期末,期末考试,,顶层目录 2023模拟题; 最深含阶段段 `海淀区2022-2023学年第二学期期末练习高三思想政治参考答案 (2)(1).doc` -> 期末; 路径含地区 海淀,Y
Sb42be5c9eb5e,BJ-2023-XC-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√西城/细则-高三政治二模5-10(2).docx,docx,50543,unknown,评分材料,路径/文件名含 细则/评标,N,2023,2022-2023学年,西城,unknown,高三,二模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `细则-高三政治二模5-10(2).docx` -> 二模; 路径含地区 西城,Y
S9b1eec88807b,BJ-2023-XC-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√西城/西城-高三政治二模答案-定(2).docx,docx,44876,unknown,参考答案,文件名含 答案,N,2023,2022-2023学年,西城,unknown,高三,二模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `西城-高三政治二模答案-定(2).docx` -> 二模; 路径含地区 西城,Y
Sed25ab572782,BJ-2023-XC-ERMO,2023模拟题/2023各区模拟题(1)/各区二模/√西城/西城-高三政治二模试卷-定(2).docx,docx,2921001,unknown,原卷,路径/文件名含 试卷/试题/原卷,N,2023,2022-2023学年,西城,unknown,高三,二模,模拟考试,,顶层目录 2023模拟题; 最深含阶段段 `西城-高三政治二模试卷-定(2).docx` -> 二模; 路径含地区 西城,Y
S007642ce939e,BJ-2023-HD-QIZHONG,2023模拟题/2023各区模拟题(1)/期末和期中/2023北京海淀高三（上）期中政治（教师版）.docx,docx,911224,unknown,教师版,文件名含 教师版,N,2023,2022-2023学年,海淀,unknown,高三,期中,期中考试,教师版,顶层目录 2023模拟题; 最深含阶段段 `2023北京海淀高三（上）期中政治（教师版）.docx` -> 期中; 路径含地区 海淀,Y
Sfe51d8a7d585,BJ-2023-HD-QIZHONG,2023模拟题/2023各区模拟题(1)/期末和期中/23海淀政治期中评标(1).pdf,pdf,1387026,4,评分材料,路径/文件名含 细则/评标,N,2023,2022-2023学年,海淀,unknown,高三,期中,期中考试,,顶层目录 2023模拟题; 最深含阶段段 `23海淀政治期中评标(1).pdf` -> 期中; 路径含地区 海淀,Y
S14501f7fbb96,ASM-2024届各区一模试题分类汇编必修1,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,docx,568828,unknown,汇编,路径/文件名含 汇编/分类/各区考题,Y,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,汇编文件独立登记，题目出处须逐题核实,Y
S3965bc306d35,ASM-2024届各区一模试题分类汇编必修2 ,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,docx,1633889,unknown,汇编,路径/文件名含 汇编/分类/各区考题,Y,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,汇编文件独立登记，题目出处须逐题核实,Y
Sb2adb9acbea5,ASM-2024届各区一模试题分类汇编必修3,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修3.docx,docx,366309,unknown,汇编,路径/文件名含 汇编/分类/各区考题,Y,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,汇编文件独立登记，题目出处须逐题核实,Y
S3423b62eb032,ASM-2024届各区一模试题分类汇编必修4,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修4.docx,docx,1517404,unknown,汇编,路径/文件名含 汇编/分类/各区考题,Y,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,汇编文件独立登记，题目出处须逐题核实,Y
S0f4414a153ba,ASM-2024届各区一模试题分类汇编选必1,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,docx,1940457,unknown,汇编,路径/文件名含 汇编/分类/各区考题,Y,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,汇编文件独立登记，题目出处须逐题核实,Y
Sc22ac0d594c5,ASM-2024届各区一模试题分类汇编选必2,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必2.docx,docx,779706,unknown,汇编,路径/文件名含 汇编/分类/各区考题,Y,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,汇编文件独立登记，题目出处须逐题核实,Y
S4b25cddd4dc2,ASM-2024届各区一模试题分类汇编选必3,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,doc,674304,unknown,汇编,路径/文件名含 汇编/分类/各区考题,Y,2024,2023-2024学年,unknown,unknown,高三,一模,模拟考试,,汇编文件独立登记，题目出处须逐题核实,Y
S4b2073bcc9e2,BJ-2024-DC-YIMO,2024模拟题/2024东城一模/细则/细则.pptx,pptx,18611296,74,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,东城,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024东城一模` -> 一模; 路径含地区 东城,Y
S7b4eece29632,BJ-2024-DC-YIMO,2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,pdf,2611809,1,评分材料,混合载体；原生标题为‘思想政治参考答案及评分标准’，含Q1-Q15答案键及Q16-Q21参考答案；Q16/Q21附5～7、3～4、1～2、0分通用等级表；无题级逐点槽；同卷S4b2073bcc9e2承载详细评分。,N,2024,2023-2024学年,东城,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024东城一模` -> 一模; 路径含地区 东城,Y
S74cdfac92537,BJ-2024-DC-YIMO,2024模拟题/2024东城一模/试卷/试卷.pdf,pdf,12078779,12,原卷,路径/文件名含 试卷/试题/原卷,N,2024,2023-2024学年,东城,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024东城一模` -> 一模; 路径含地区 东城,Y
Sd64506799887,BJ-2024-CY-YIMO,2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,pptx,7699972,50,讲评,路径/文件名含 讲评,N,2024,2023-2024学年,朝阳,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `202404朝阳高三政治一模试卷讲评.pptx` -> 一模; 路径含地区 朝阳,Y
Sd64506799887,BJ-2024-CY-YIMO,2024模拟题/2024朝阳一模/细则/细则.pptx,pptx,7699972,50,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,朝阳,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024朝阳一模` -> 一模; 路径含地区 朝阳,Y
Sf6013d54b52c,BJ-2024-CY-YIMO,2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,docx,29215,unknown,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,朝阳,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024朝阳一模` -> 一模; 路径含地区 朝阳,Y
S25b655e73b74,BJ-2024-CY-YIMO,2024模拟题/2024朝阳一模/试卷/试卷.pdf,pdf,1324697,8,原卷,路径/文件名含 试卷/试题/原卷,N,2024,2023-2024学年,朝阳,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024朝阳一模` -> 一模; 路径含地区 朝阳,Y
S84218459671a,BJ-2024-CY-ERMO,2024模拟题/2024朝阳二模/细则/细则.pdf,pdf,558870,5,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,朝阳,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024朝阳二模` -> 二模; 路径含地区 朝阳,Y
Sf7c4cc4ac52e,BJ-2024-CY-ERMO,2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,docx,28300,unknown,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,朝阳,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024朝阳二模` -> 二模; 路径含地区 朝阳,Y
S9223488a4b5e,BJ-2024-CY-ERMO,2024模拟题/2024朝阳二模/试卷/试卷.pdf,pdf,686177,8,原卷,路径/文件名含 试卷/试题/原卷,N,2024,2023-2024学年,朝阳,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024朝阳二模` -> 二模; 路径含地区 朝阳,Y
S0f8ea3bbe262,BJ-2024-CY-QIZHONG,2024模拟题/2024朝阳期中/细则/细则.docx,docx,29099,unknown,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,朝阳,unknown,高三,期中,期中考试,,顶层目录 2024模拟题; 最深含阶段段 `2024朝阳期中` -> 期中; 路径含地区 朝阳,Y
S92a268ce852f,BJ-2024-CY-QIZHONG,2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx,docx,121373,unknown,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,朝阳,unknown,高三,期中,期中考试,,顶层目录 2024模拟题; 最深含阶段段 `2024.11期中政治朝阳评标2.docx` -> 期中; 路径含地区 朝阳,Y
S25b6e8c2207d,BJ-2024-CY-QIZHONG,2024模拟题/2024朝阳期中/细则/补充材料/细则.rtf,rtf,186917,unknown,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,朝阳,unknown,高三,期中,期中考试,,顶层目录 2024模拟题; 最深含阶段段 `2024朝阳期中` -> 期中; 路径含地区 朝阳,Y
S0a50f76fd1e1,BJ-2024-CY-QIZHONG,2024模拟题/2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf,pdf,532797,8,原卷,路径/文件名含 试卷/试题/原卷,N,2024,2023-2024学年,朝阳,unknown,高三,期中,期中考试,,顶层目录 2024模拟题; 最深含阶段段 `202411朝阳高三政治 期中1试题(1).pdf` -> 期中; 路径含地区 朝阳,Y
S0a50f76fd1e1,BJ-2024-CY-QIZHONG,2024模拟题/2024朝阳期中/试卷/试卷.pdf,pdf,532797,8,原卷,路径/文件名含 试卷/试题/原卷,N,2024,2023-2024学年,朝阳,unknown,高三,期中,期中考试,,顶层目录 2024模拟题; 最深含阶段段 `2024朝阳期中` -> 期中; 路径含地区 朝阳,Y
Sb692254ceb1b,BJ-2024-HD-YIMO,2024模拟题/2024海淀一模/细则/细则.docx,docx,67046,unknown,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,海淀,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024海淀一模` -> 一模; 路径含地区 海淀,Y
S98d1d762f302,BJ-2024-HD-YIMO,2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx,docx,22184,unknown,参考答案,Sol采纳独立Luna/max实物裁定：Q1-Q15答案键、Q16-Q20主观参考答案及通用等级描述；非正式E1细则,N,2024,2023-2024学年,海淀,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `一模政治-答案.docx` -> 一模; 路径含地区 海淀,Y
S4bc0edec2a08,BJ-2024-HD-YIMO,2024模拟题/2024海淀一模/试卷/试卷.pdf,pdf,658903,8,原卷,路径/文件名含 试卷/试题/原卷,N,2024,2023-2024学年,海淀,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024海淀一模` -> 一模; 路径含地区 海淀,Y
Sfee5258a9b73,BJ-2024-HD-QIZHONG,2024模拟题/2024海淀期中/细则/细则.pdf,pdf,5808964,71,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,海淀,unknown,高三,期中,期中考试,,顶层目录 2024模拟题; 最深含阶段段 `2024海淀期中` -> 期中; 路径含地区 海淀,Y
S16c75dff224a,BJ-2024-HD-QIZHONG,2024模拟题/2024海淀期中/试卷/试卷.pdf,pdf,4988708,8,原卷,路径/文件名含 试卷/试题/原卷,N,2024,2023-2024学年,海淀,unknown,高三,期中,期中考试,,顶层目录 2024模拟题; 最深含阶段段 `2024海淀期中` -> 期中; 路径含地区 海淀,Y
S3fe06deac367,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,docx,1030669,unknown,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `16题二模阅卷总结.docx` -> 二模; 路径含地区 东城,Y
S896b0f378cbd,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx,pptx,42333,6,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
S47c34e3af056,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17(1).docx,docx,887638,unknown,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
S72fd64a3dddd,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17-2.docx,docx,819612,unknown,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
S4238b9f0bc92,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18(1).docx,docx,1488308,unknown,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
S6c445538df98,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx,docx,1472682,unknown,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
Sd682ecb2695e,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx,docx,1545984,unknown,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
S5c18cbecb82d,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx,docx,20052,unknown,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
S4c98484a2246,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/20小题二模阅卷总结.docx,docx,941301,unknown,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `20小题二模阅卷总结.docx` -> 二模; 路径含地区 东城,Y
S9019906692e8,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21.docx,docx,840466,unknown,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
Sbdc183dc9541,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21题(1).pptx,pptx,1014166,9,评分细则_分题切片,路径含 分题细则,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
S8db78abe18de,BJ-2024-DC-ERMO,2024模拟题/东城二模/细则/补充材料/细则.pdf,pdf,3561061,1,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
Sda9fdcae666d,BJ-2024-DC-ERMO,2024模拟题/东城二模/试卷/试卷.pdf,pdf,18119420,12,原卷,路径/文件名含 试卷/试题/原卷,N,2024,2023-2024学年,东城,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `东城二模` -> 二模; 路径含地区 东城,Y
S950d6b2d3cdd,BJ-2024-FT-YIMO,2024模拟题/丰台一模/细则/细则.docx,docx,24557,unknown,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,丰台,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `丰台一模` -> 一模; 路径含地区 丰台,Y
S5f5486bfc3ba,BJ-2024-FT-YIMO,2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,pdf,458340,9,参考答案,文件名含 答案,N,2024,2023-2024学年,丰台,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `2024北京丰台高三一模政治试题及答案.pdf` -> 一模; 路径含地区 丰台,Y
S4800d0b858f0,BJ-2024-FT-YIMO,2024模拟题/丰台一模/试卷/试卷.pdf,pdf,4148690,8,原卷,路径/文件名含 试卷/试题/原卷,N,2024,2023-2024学年,丰台,unknown,高三,一模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `丰台一模` -> 一模; 路径含地区 丰台,Y
S71fcaa9e66af,BJ-2024-FT-ERMO,2024模拟题/丰台二模/细则/细则.docx,docx,58578,unknown,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,丰台,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `丰台二模` -> 二模; 路径含地区 丰台,Y
S57ddd500c48e,BJ-2024-FT-ERMO,2024模拟题/丰台二模/试卷/试卷.pdf,pdf,10551122,8,原卷,路径/文件名含 试卷/试题/原卷,N,2024,2023-2024学年,丰台,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `丰台二模` -> 二模; 路径含地区 丰台,Y
Sbe4202246df3,ASM-北京2024各区《经济与社会》考题-wlfwlf,2024模拟题/北京2024各区《经济与社会》考题-wlfwlf.docx,docx,3158520,unknown,汇编,路径/文件名含 汇编/分类/各区考题,Y,2024,2023-2024学年,unknown,unknown,高三,unknown,unknown,,汇编文件独立登记，题目出处须逐题核实,Y
S9a3f865ff2f0,ASM-北京及2024各区《经济与社会》考题-wlf,2024模拟题/北京及2024各区《经济与社会》考题-wlf.pdf,pdf,2437451,19,汇编,路径/文件名含 汇编/分类/各区考题,Y,2024,2023-2024学年,unknown,unknown,高三,unknown,unknown,,汇编文件独立登记，题目出处须逐题核实,Y
S227192d22e10,BJ-2024-HD-ERMO,2024模拟题/海淀二模/细则/细则.docx,docx,535443,unknown,评分材料,路径/文件名含 细则/评标,N,2024,2023-2024学年,海淀,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `海淀二模` -> 二模; 路径含地区 海淀,Y
S8f109fb09efc,BJ-2024-HD-ERMO,2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx,docx,22380,unknown,参考答案,原生标题为‘高三思想政治参考答案’，正文含Q1-Q15答案键及Q16-Q21参考答案；附两张通用等级描述，非题级正式评分细则,N,2024,2023-2024学年,海淀,unknown,高三,二模,模拟考试,,顶层目录 2024模拟题; 最深含阶段段 `高三二模：政治答案(2).docx` -> 二模; 路径含地区 海淀,Y
