unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_B3,admission,evidence,evidence_detail,script_tier,rule_version
BJ-2023-BJ-GAOKAO-Q19#1,BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO,19,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q19#2,BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO,19,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2022-BJ-GAOKAO-Q16,BJ-2022-BJ-GAOKAO-Q16,BJ-2022-BJ-GAOKAO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2022-BJ-GAOKAO-Q17,BJ-2022-BJ-GAOKAO-Q17,BJ-2022-BJ-GAOKAO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-DC-ERMO-Q16,BJ-2025-DC-ERMO-Q16,BJ-2025-DC-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-DC-ERMO-Q20,BJ-2025-DC-ERMO-Q20,BJ-2025-DC-ERMO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-CY-ERMO-Q16#1,BJ-2023-CY-ERMO-Q16,BJ-2023-CY-ERMO,16,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2023-CY-ERMO-Q16#2,BJ-2023-CY-ERMO-Q16,BJ-2023-CY-ERMO,16,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v2
BJ-2023-CY-ERMO-Q19#1,BJ-2023-CY-ERMO-Q19,BJ-2023-CY-ERMO,19,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2023-CY-ERMO-Q19#2,BJ-2023-CY-ERMO-Q19,BJ-2023-CY-ERMO,19,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2023-CY-ERMO-Q20#1,BJ-2023-CY-ERMO-Q20,BJ-2023-CY-ERMO,20,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2023-CY-ERMO-Q20#2,BJ-2023-CY-ERMO-Q20,BJ-2023-CY-ERMO,20,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2021-BJ-GAOKAO-Q16,BJ-2021-BJ-GAOKAO-Q16,BJ-2021-BJ-GAOKAO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2024-HD-QIZHONG-Q12,BJ-2024-HD-QIZHONG-Q12,BJ-2024-HD-QIZHONG,12,选择题,,整题,OUT,完整题-选择题照收,缺答案键-已核实,"题库rubric_links.csv对该题有明确负例记录(已检查,本题不适用)",不明,2026-09-24-attribution-v2
BJ-2024-HD-QIZHONG-Q17,BJ-2024-HD-QIZHONG-Q17,BJ-2024-HD-QIZHONG,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-CY-QIMO-Q16,BJ-2026-CY-QIMO-Q16,BJ-2026-CY-QIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-CY-QIMO-Q20,BJ-2026-CY-QIMO-Q20,BJ-2026-CY-QIMO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-HD-ERMO-Q17,BJ-2023-HD-ERMO-Q17,BJ-2023-HD-ERMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-HD-ERMO-Q18,BJ-2023-HD-ERMO-Q18,BJ-2023-HD-ERMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2023-HD-ERMO-Q19,BJ-2023-HD-ERMO-Q19,BJ-2023-HD-ERMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-HD-ERMO-Q21#1,BJ-2023-HD-ERMO-Q21,BJ-2023-HD-ERMO,21,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2023-DC-YIMO-Q16,BJ-2023-DC-YIMO-Q16,BJ-2023-DC-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2023-DC-YIMO-Q19,BJ-2023-DC-YIMO-Q19,BJ-2023-DC-YIMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v2
BJ-2023-XC-YIMO-Q16,BJ-2023-XC-YIMO-Q16,BJ-2023-XC-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-XC-YIMO-Q19#1,BJ-2023-XC-YIMO-Q19,BJ-2023-XC-YIMO,19,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-XC-YIMO-Q19#2,BJ-2023-XC-YIMO-Q19,BJ-2023-XC-YIMO,19,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-XC-ERMO-Q18,BJ-2023-XC-ERMO-Q18,BJ-2023-XC-ERMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-XC-ERMO-Q21#1,BJ-2023-XC-ERMO-Q21,BJ-2023-XC-ERMO,21,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2023-XC-ERMO-Q21#2,BJ-2023-XC-ERMO-Q21,BJ-2023-XC-ERMO,21,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2024-DC-YIMO-Q20,BJ-2024-DC-YIMO-Q20,BJ-2024-DC-YIMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v2
BJ-2024-HD-YIMO-Q16,BJ-2024-HD-YIMO-Q16,BJ-2024-HD-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2024-DC-ERMO-Q16,BJ-2024-DC-ERMO-Q16,BJ-2024-DC-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2024-FT-YIMO-Q20,BJ-2024-FT-YIMO-Q20,BJ-2024-FT-YIMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v2
BJ-2024-FT-YIMO-Q21,BJ-2024-FT-YIMO-Q21,BJ-2024-FT-YIMO,21,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v2
BJ-2024-FT-ERMO-Q17,BJ-2024-FT-ERMO-Q17,BJ-2024-FT-ERMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2024-FT-ERMO-Q19,BJ-2024-FT-ERMO-Q19,BJ-2024-FT-ERMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2024-FT-ERMO-Q20,BJ-2024-FT-ERMO-Q20,BJ-2024-FT-ERMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,确定,2026-09-24-attribution-v2
BJ-2024-HD-ERMO-Q20,BJ-2024-HD-ERMO-Q20,BJ-2024-HD-ERMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,确定,2026-09-24-attribution-v2
BJ-2024-HD-ERMO-Q16,BJ-2024-HD-ERMO-Q16,BJ-2024-HD-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2024-SJS-YIMO-Q17,BJ-2024-SJS-YIMO-Q17,BJ-2024-SJS-YIMO,17,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v2
BJ-2024-SJS-YIMO-Q19#1,BJ-2024-SJS-YIMO-Q19,BJ-2024-SJS-YIMO,19,主观题,1,小问,OUT,收-具名例外,具名例外,具名例外:item_level_no_rubric，只覆盖Q19(1)，不扩张到同卷其他题目 | project-constitution.md:13 special_override：2026-08-27 用户明确特批 2024 石景山一模第19题第（1）问为题级无正式细则例外; project-constitution.md:50 用户于2026-08-27又明确特批必修二2024石景山一模第19题第（1）问为题级例外；该特批只覆盖这一小问，不扩张到同卷其他题目,不明,2026-09-24-attribution-v2
BJ-2024-SJS-YIMO-Q19#2,BJ-2024-SJS-YIMO-Q19,BJ-2024-SJS-YIMO,19,主观题,2,小问,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v2
BJ-2024-SJS-YIMO-Q19#3,BJ-2024-SJS-YIMO-Q19,BJ-2024-SJS-YIMO,19,主观题,3,小问,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v2
BJ-2024-XC-YIMO-Q17,BJ-2024-XC-YIMO-Q17,BJ-2024-XC-YIMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2024-XC-ERMO-Q19,BJ-2024-XC-ERMO-Q19,BJ-2024-XC-ERMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-DC-YIMO-Q16,BJ-2025-DC-YIMO-Q16,BJ-2025-DC-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-DC-YIMO-Q20,BJ-2025-DC-YIMO-Q20,BJ-2025-DC-YIMO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-FT-YIMO-Q18,BJ-2025-FT-YIMO-Q18,BJ-2025-FT-YIMO,18,选择题,,整题,OUT,身份错误-不计入分母,身份层标记:split_error_fake_choice_question,题库把该题登记为选择题（4个选项），但 units.jsonl 的 stem 实际是 “18.54~24 正常/24~28 超重/≥28 肥胖”——这是Q12题干里BMI分级表的尾部行随页面换行被误切成“Q18”，选项A-D的文字与Q13“下列选项中犯了与示例相同逻辑错误的是”一题的语境高度吻合，而题库里Q13的stem恰好缺选项（只到“第4页/共11页”截断）。可确认这是抽取阶段的切分错误，不是一道真实独立的第18题。该卷原卷“第二部分共6题”，但题库只登记了Q16/17/19/20/21五道主观题，真实的主观题“第18题”未被登记为任何 qid，书稿如引用“2025丰台一模Q18(1)”，指的是这道缺失的真实主观题，不是题库里的这个伪选择题。本表不猜测真实Q18内容，只标记该qid不计入选择题“照收”分母，并将“回补真实Q18、修正Q13选项归属”列入回传题库线清单，不直接改题库文件。,确定,2026-09-24-attribution-v2
BJ-2025-YQ-YIMO-Q16,BJ-2025-YQ-YIMO-Q16,BJ-2025-YQ-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-FS-YIMO-Q16#1,BJ-2025-FS-YIMO-Q16,BJ-2025-FS-YIMO,16,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-FS-YIMO-Q16#3,BJ-2025-FS-YIMO-Q16,BJ-2025-FS-YIMO,16,主观题,3,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-SJS-YIMO-Q20,BJ-2025-SJS-YIMO-Q20,BJ-2025-SJS-YIMO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v2
BJ-2025-XC-YIMO-Q16,BJ-2025-XC-YIMO-Q16,BJ-2025-XC-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-XC-YIMO-Q17,BJ-2025-XC-YIMO-Q17,BJ-2025-XC-YIMO,17,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-XC-YIMO-Q18,BJ-2025-XC-YIMO-Q18,BJ-2025-XC-YIMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-FT-ERMO-Q16#1,BJ-2025-FT-ERMO-Q16,BJ-2025-FT-ERMO,16,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-FT-ERMO-Q18,BJ-2025-FT-ERMO-Q18,BJ-2025-FT-ERMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-CP-ERMO-Q16,BJ-2025-CP-ERMO-Q16,BJ-2025-CP-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-CP-ERMO-Q19,BJ-2025-CP-ERMO-Q19,BJ-2025-CP-ERMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-CP-ERMO-Q21,BJ-2025-CP-ERMO-Q21,BJ-2025-CP-ERMO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-HD-ERMO-Q20,BJ-2025-HD-ERMO-Q20,BJ-2025-HD-ERMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v2
BJ-2025-HD-ERMO-Q16,BJ-2025-HD-ERMO-Q16,BJ-2025-HD-ERMO,16,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v2
BJ-2025-XC-ERMO-Q16#1,BJ-2025-XC-ERMO-Q16,BJ-2025-XC-ERMO,16,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-XC-ERMO-Q16#2,BJ-2025-XC-ERMO-Q16,BJ-2025-XC-ERMO,16,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2025-XC-ERMO-Q18,BJ-2025-XC-ERMO-Q18,BJ-2025-XC-ERMO,18,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v2
BJ-2025-XC-ERMO-Q19#1,BJ-2025-XC-ERMO-Q19,BJ-2025-XC-ERMO,19,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-XC-ERMO-Q19#2,BJ-2025-XC-ERMO-Q19,BJ-2025-XC-ERMO,19,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-DC-QIMO-Q16,BJ-2025-DC-QIMO-Q16,BJ-2025-DC-QIMO,16,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v2
BJ-2025-DC-QIMO-Q20,BJ-2025-DC-QIMO-Q20,BJ-2025-DC-QIMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v2
BJ-2025-CY-QIMO-Q20,BJ-2025-CY-QIMO-Q20,BJ-2025-CY-QIMO,20,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v2
BJ-2025-HD-QIZHONG-Q6,BJ-2025-HD-QIZHONG-Q6,BJ-2024-HD-QIZHONG,6,选择题,,整题,OUT,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v2
BJ-2025-HD-QIMO-Q16,BJ-2025-HD-QIMO-Q16,BJ-2025-HD-QIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-HD-QIMO-Q14,BJ-2025-HD-QIMO-Q14,BJ-2025-HD-QIMO,14,选择题,,整题,OUT,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v2
BJ-2025-XC-QIMO-Q17#1,BJ-2025-XC-QIMO-Q17,BJ-2025-XC-QIMO,17,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-XC-QIMO-Q20#1,BJ-2025-XC-QIMO-Q20,BJ-2025-XC-QIMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2025-XC-QIMO-Q20#2,BJ-2025-XC-QIMO-Q20,BJ-2025-XC-QIMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-DC-YIMO-Q16,BJ-2026-DC-YIMO-Q16,BJ-2026-DC-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-CY-YIMO-Q16,BJ-2026-CY-YIMO-Q16,BJ-2026-CY-YIMO,16,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v2
BJ-2026-MTG-YIMO-Q16,BJ-2026-MTG-YIMO-Q16,BJ-2026-MTG-YIMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-MTG-YIMO-Q20,BJ-2026-MTG-YIMO-Q20,BJ-2026-MTG-YIMO,20,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-DC-ERMO-Q16,BJ-2026-DC-ERMO-Q16,BJ-2026-DC-ERMO,16,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v2
BJ-2026-DC-ERMO-Q20#1,BJ-2026-DC-ERMO-Q20,BJ-2026-DC-ERMO,20,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-DC-ERMO-Q20#2,BJ-2026-DC-ERMO-Q20,BJ-2026-DC-ERMO,20,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-DC-ERMO-Q20#3,BJ-2026-DC-ERMO-Q20,BJ-2026-DC-ERMO,20,主观题,3,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-FT-ERMO-Q16,BJ-2026-FT-ERMO-Q16,BJ-2026-FT-ERMO,16,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2026-FT-ERMO-Q19,BJ-2026-FT-ERMO-Q19,BJ-2026-FT-ERMO,19,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,确定,2026-09-24-attribution-v2
BJ-2026-FT-ERMO-Q21,BJ-2026-FT-ERMO-Q21,BJ-2026-FT-ERMO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-FS-ERMO-Q18#1,BJ-2026-FS-ERMO-Q18,BJ-2026-FS-ERMO,18,主观题,1,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-FS-ERMO-Q18#2,BJ-2026-FS-ERMO-Q18,BJ-2026-FS-ERMO,18,主观题,2,小问,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,倾向,2026-09-24-attribution-v2
BJ-2026-CP-ERMO-Q21,BJ-2026-CP-ERMO-Q21,BJ-2026-CP-ERMO,21,主观题,,整题,OUT,完整题-有E1,E1,逐题已匹配正式评分材料,不明,2026-09-24-attribution-v2
BJ-2026-CY-ERMO-Q16,BJ-2026-CY-ERMO-Q16,BJ-2026-CY-ERMO,16,主观题,,整题,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v2
BJ-2026-CY-ERMO-Q20#1,BJ-2026-CY-ERMO-Q20,BJ-2026-CY-ERMO,20,主观题,1,小问,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v2
BJ-2026-CY-ERMO-Q20#2,BJ-2026-CY-ERMO-Q20,BJ-2026-CY-ERMO,20,主观题,2,小问,OUT,待裁决-证据未核实,待裁决-证据未核实候选,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v2
BJ-2026-HD-ERMO-Q16,BJ-2026-HD-ERMO-Q16,BJ-2026-HD-ERMO,16,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2026-HD-ERMO-Q20#1,BJ-2026-HD-ERMO-Q20,BJ-2026-HD-ERMO,20,主观题,1,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2026-HD-ERMO-Q20#2,BJ-2026-HD-ERMO-Q20,BJ-2026-HD-ERMO,20,主观题,2,小问,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
BJ-2026-HD-ERMO-Q19,BJ-2026-HD-ERMO-Q19,BJ-2026-HD-ERMO,19,主观题,,整题,OUT,不收-无E1,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v2
