unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_CU,admission,evidence,evidence_detail,downgrade_notes,script_tier,rule_version
BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG,3,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q4,BJ-2024-CY-QIZHONG-Q4,BJ-2024-CY-QIZHONG,4,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q5,BJ-2024-CY-QIZHONG-Q5,BJ-2024-CY-QIZHONG,5,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q7,BJ-2024-CY-QIZHONG-Q7,BJ-2024-CY-QIZHONG,7,选择题,,整题,IN,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q8,BJ-2024-CY-QIZHONG-Q8,BJ-2024-CY-QIZHONG,8,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q9,BJ-2024-CY-QIZHONG-Q9,BJ-2024-CY-QIZHONG,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG,16,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q2,BJ-2025-CY-ERMO-Q2,BJ-2025-CY-ERMO,2,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q5,BJ-2025-CY-ERMO-Q5,BJ-2025-CY-ERMO,5,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q6,BJ-2025-CY-ERMO-Q6,BJ-2025-CY-ERMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q7,BJ-2025-CY-ERMO-Q7,BJ-2025-CY-ERMO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q9,BJ-2025-CY-ERMO-Q9,BJ-2025-CY-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q15,BJ-2025-CY-ERMO-Q15,BJ-2025-CY-ERMO,15,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q19,BJ-2025-CY-ERMO-Q19,BJ-2025-CY-ERMO,19,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO,21,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2025-CY-ERMO-Q22,BJ-2025-CY-ERMO-Q22,BJ-2025-CY-ERMO,22,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q1,BJ-2023-FT-ERMO-Q1,BJ-2023-FT-ERMO,1,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q2,BJ-2023-FT-ERMO-Q2,BJ-2023-FT-ERMO,2,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q3,BJ-2023-FT-ERMO-Q3,BJ-2023-FT-ERMO,3,选择题,,整题,IN,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q4,BJ-2023-FT-ERMO-Q4,BJ-2023-FT-ERMO,4,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q5,BJ-2023-FT-ERMO-Q5,BJ-2023-FT-ERMO,5,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q6,BJ-2023-FT-ERMO-Q6,BJ-2023-FT-ERMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q7,BJ-2023-FT-ERMO-Q7,BJ-2023-FT-ERMO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q9,BJ-2023-FT-ERMO-Q9,BJ-2023-FT-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q10,BJ-2023-FT-ERMO-Q10,BJ-2023-FT-ERMO,10,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q14,BJ-2023-FT-ERMO-Q14,BJ-2023-FT-ERMO,14,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q15,BJ-2023-FT-ERMO-Q15,BJ-2023-FT-ERMO,15,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q16,BJ-2023-FT-ERMO-Q16,BJ-2023-FT-ERMO,16,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q18#1,BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO,18,主观题,1,小问,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q19,BJ-2023-FT-ERMO-Q19,BJ-2023-FT-ERMO,19,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO,21,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2020-BJ-GAOKAO-Q4,BJ-2020-BJ-GAOKAO-Q4,BJ-2020-BJ-GAOKAO,4,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2020-BJ-GAOKAO-Q5,BJ-2020-BJ-GAOKAO-Q5,BJ-2020-BJ-GAOKAO,5,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2020-BJ-GAOKAO-Q6,BJ-2020-BJ-GAOKAO-Q6,BJ-2020-BJ-GAOKAO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2020-BJ-GAOKAO-Q7,BJ-2020-BJ-GAOKAO-Q7,BJ-2020-BJ-GAOKAO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2020-BJ-GAOKAO-Q8,BJ-2020-BJ-GAOKAO-Q8,BJ-2020-BJ-GAOKAO,8,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2020-BJ-GAOKAO-Q9,BJ-2020-BJ-GAOKAO-Q9,BJ-2020-BJ-GAOKAO,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2020-BJ-GAOKAO-Q21,BJ-2020-BJ-GAOKAO-Q21,BJ-2020-BJ-GAOKAO,21,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q1,BJ-2023-CY-YIMO-Q1,BJ-2023-CY-YIMO,1,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q2,BJ-2023-CY-YIMO-Q2,BJ-2023-CY-YIMO,2,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q3,BJ-2023-CY-YIMO-Q3,BJ-2023-CY-YIMO,3,选择题,,整题,IN,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q4,BJ-2023-CY-YIMO-Q4,BJ-2023-CY-YIMO,4,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q5,BJ-2023-CY-YIMO-Q5,BJ-2023-CY-YIMO,5,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q6,BJ-2023-CY-YIMO-Q6,BJ-2023-CY-YIMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q7,BJ-2023-CY-YIMO-Q7,BJ-2023-CY-YIMO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q9,BJ-2023-CY-YIMO-Q9,BJ-2023-CY-YIMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q15,BJ-2023-CY-YIMO-Q15,BJ-2023-CY-YIMO,15,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q16,BJ-2023-CY-YIMO-Q16,BJ-2023-CY-YIMO,16,主观题,,整题,IN,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q17,BJ-2023-CY-YIMO-Q17,BJ-2023-CY-YIMO,17,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q18,BJ-2023-CY-YIMO-Q18,BJ-2023-CY-YIMO,18,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q19#1,BJ-2023-CY-YIMO-Q19,BJ-2023-CY-YIMO,19,主观题,1,小问,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-CY-YIMO-Q21,BJ-2023-CY-YIMO-Q21,BJ-2023-CY-YIMO,21,主观题,,整题,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q2,BJ-2024-CY-YIMO-Q2,BJ-2024-CY-YIMO,2,选择题,,整题,IN,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q3,BJ-2024-CY-YIMO-Q3,BJ-2024-CY-YIMO,3,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q4,BJ-2024-CY-YIMO-Q4,BJ-2024-CY-YIMO,4,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q6,BJ-2024-CY-YIMO-Q6,BJ-2024-CY-YIMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q7,BJ-2024-CY-YIMO-Q7,BJ-2024-CY-YIMO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q9,BJ-2024-CY-YIMO-Q9,BJ-2024-CY-YIMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q15,BJ-2024-CY-YIMO-Q15,BJ-2024-CY-YIMO,15,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q16,BJ-2024-CY-YIMO-Q16,BJ-2024-CY-YIMO,16,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q18#1,BJ-2024-CY-YIMO-Q18,BJ-2024-CY-YIMO,18,主观题,1,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q18#2,BJ-2024-CY-YIMO-Q18,BJ-2024-CY-YIMO,18,主观题,2,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2024-CY-YIMO-Q19,BJ-2024-CY-YIMO-Q19,BJ-2024-CY-YIMO,19,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,倾向,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q1,BJ-2023-DC-ERMO-Q1,BJ-2023-DC-ERMO,1,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q2,BJ-2023-DC-ERMO-Q2,BJ-2023-DC-ERMO,2,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q3,BJ-2023-DC-ERMO-Q3,BJ-2023-DC-ERMO,3,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q4,BJ-2023-DC-ERMO-Q4,BJ-2023-DC-ERMO,4,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q5,BJ-2023-DC-ERMO-Q5,BJ-2023-DC-ERMO,5,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q6,BJ-2023-DC-ERMO-Q6,BJ-2023-DC-ERMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q7,BJ-2023-DC-ERMO-Q7,BJ-2023-DC-ERMO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q9,BJ-2023-DC-ERMO-Q9,BJ-2023-DC-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q15,BJ-2023-DC-ERMO-Q15,BJ-2023-DC-ERMO,15,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO,16,主观题,,整题,IN,完整题-有E1,E1,逐题已匹配正式评分材料,,倾向,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q18#2,BJ-2023-DC-ERMO-Q18,BJ-2023-DC-ERMO,18,主观题,2,小问,MAYBE,不收-无E1,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-DC-ERMO-Q21,BJ-2023-DC-ERMO-Q21,BJ-2023-DC-ERMO,21,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q2,BJ-2023-BJ-GAOKAO-Q2,BJ-2023-BJ-GAOKAO,2,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q3,BJ-2023-BJ-GAOKAO-Q3,BJ-2023-BJ-GAOKAO,3,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q5,BJ-2023-BJ-GAOKAO-Q5,BJ-2023-BJ-GAOKAO,5,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q6,BJ-2023-BJ-GAOKAO-Q6,BJ-2023-BJ-GAOKAO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q7,BJ-2023-BJ-GAOKAO-Q7,BJ-2023-BJ-GAOKAO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q8,BJ-2023-BJ-GAOKAO-Q8,BJ-2023-BJ-GAOKAO,8,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q9,BJ-2023-BJ-GAOKAO-Q9,BJ-2023-BJ-GAOKAO,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO,16,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,倾向,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q17,BJ-2023-BJ-GAOKAO-Q17,BJ-2023-BJ-GAOKAO,17,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q18#1,BJ-2023-BJ-GAOKAO-Q18,BJ-2023-BJ-GAOKAO,18,主观题,1,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q18#2,BJ-2023-BJ-GAOKAO-Q18,BJ-2023-BJ-GAOKAO,18,主观题,2,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2023-BJ-GAOKAO-Q18#3,BJ-2023-BJ-GAOKAO-Q18,BJ-2023-BJ-GAOKAO,18,主观题,3,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q1,BJ-2024-CY-ERMO-Q1,BJ-2024-CY-ERMO,1,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q2,BJ-2024-CY-ERMO-Q2,BJ-2024-CY-ERMO,2,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q5,BJ-2024-CY-ERMO-Q5,BJ-2024-CY-ERMO,5,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q6,BJ-2024-CY-ERMO-Q6,BJ-2024-CY-ERMO,6,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q7,BJ-2024-CY-ERMO-Q7,BJ-2024-CY-ERMO,7,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q9,BJ-2024-CY-ERMO-Q9,BJ-2024-CY-ERMO,9,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,不明,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q15,BJ-2024-CY-ERMO-Q15,BJ-2024-CY-ERMO,15,选择题,,整题,MAYBE,完整题-选择题照收,E3,逐题已匹配参考答案,,倾向,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q16#1,BJ-2024-CY-ERMO-Q16,BJ-2024-CY-ERMO,16,主观题,1,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q16#2,BJ-2024-CY-ERMO-Q16,BJ-2024-CY-ERMO,16,主观题,2,小问,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q17,BJ-2024-CY-ERMO-Q17,BJ-2024-CY-ERMO,17,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,,不明,2026-09-24-attribution-v2
BJ-2024-CY-ERMO-Q18,BJ-2024-CY-ERMO-Q18,BJ-2024-CY-ERMO,18,主观题,,整题,MAYBE,完整题-有E1,E1,逐题已匹配正式评分材料,B1:rubric_unreadable_not_OUT;B2:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,倾向,2026-09-24-attribution-v2
